,english,spanish,en_pos,es_pos
0,It now has a highly multicultural government which is making a conscious effort to forge links with the Albanian sector of the population.,Allí existe ahora un gobierno de carácter muy multicultural y que está haciendo esfuerzos muy conscientes para establecer puentes con la parte albanesa de la población.,PRON ADV VERB DET ADV ADJ NOUN DET VERB VERB DET ADJ NOUN PART VERB NOUN ADP DET ADJ NOUN ADP DET NOUN PUNCT ,ADV VERB ADV DET NOUN ADP NOUN ADV ADJ CCONJ PRON AUX VERB NOUN ADV ADJ ADP VERB NOUN ADP DET NOUN ADJ ADP DET NOUN PUNCT 
1,"But it needs economic success, otherwise nationalism will break out there again.","Sin embargo, necesita obtener logros económicos o de lo contrario se volverá a reavivar el nacionalismo. Este es el motivo de mi pregunta.",CCONJ PRON VERB ADJ NOUN PUNCT ADV NOUN VERB VERB PART ADV ADV PUNCT ,ADP NOUN PUNCT VERB VERB NOUN ADJ CCONJ ADP DET NOUN PRON AUX ADP VERB DET NOUN PUNCT PRON AUX DET NOUN ADP DET NOUN PUNCT 
2,"Hence my question: first, do you believe that you personally could visit Macedonia in the foreseeable future and, secondly, do you believe, although you have already almost said as much, that an association agreement could be signed by next year?","En primer lugar, ¿cree usted que podrá visitar Macedonia en un futuro próximo? Y, en segundo lugar -aunque esto ya casi lo ha respondido-, ¿cree que se podría establecer un acuerdo de asociación dentro del próximo año?",ADV DET NOUN PUNCT ADV PUNCT VERB PRON VERB ADP PRON ADV VERB VERB PROPN ADP DET ADJ NOUN CCONJ PUNCT ADV PUNCT VERB PRON VERB PUNCT ADP PRON VERB ADV ADV VERB ADV ADV PUNCT ADP DET NOUN NOUN VERB VERB VERB ADP ADJ NOUN PUNCT ,ADP ADJ NOUN PUNCT PUNCT VERB PRON SCONJ AUX VERB PROPN ADP DET NOUN ADJ PUNCT CCONJ PUNCT ADP ADJ NOUN PUNCT PRON ADV ADV PRON AUX VERB PUNCT PUNCT VERB SCONJ PRON AUX VERB DET NOUN ADP NOUN ADV ADP ADJ NOUN PUNCT 
3,"First of all, I have already threatened the Foreign Minister of FYROM with a visit.","En primer lugar, ya he amenazado al Ministro de Asuntos Exteriores de la ARYM con una visita.",ADV ADP DET PUNCT PRON VERB ADV VERB DET PROPN PROPN ADP PROPN ADP DET NOUN PUNCT ,ADP ADJ NOUN PUNCT ADV AUX VERB ADP PROPN ADP PROPN PROPN ADP DET PROPN ADP DET NOUN PUNCT 
4,He seemed to welcome that prospect. So I am looking forward to going in the early months of next year.,"Pareció acoger con beneplácito esa perspectiva, conque estoy deseoso de ir en los primeros meses del próximo año.",PRON VERB PART VERB DET NOUN PUNCT ADV PRON VERB VERB ADV ADP VERB ADP DET ADJ NOUN ADP ADJ NOUN PUNCT ,AUX VERB ADP NOUN DET NOUN PUNCT VERB AUX ADJ ADP VERB ADP DET ADJ NOUN ADP ADJ NOUN PUNCT 
5,"I have also said that when I go I want to be in a position to open a European Union office in FYROM, because we need a more substantial full-time presence there than we have at present.","También he dicho que, cuando vaya, quiero estar en condiciones de inaugurar una oficina de la Unión Europea en la ARYM, porque necesitamos una mayor presencia permanente en ese país que la que tenemos actualmente.",PRON VERB ADV VERB ADP ADV PRON VERB PRON VERB PART VERB ADP DET NOUN PART VERB DET PROPN PROPN NOUN ADP PROPN PUNCT ADP PRON VERB DET ADV ADJ ADJ PUNCT NOUN NOUN ADV ADP PRON VERB ADP ADJ PUNCT ,ADV AUX VERB SCONJ PUNCT SCONJ VERB PUNCT VERB AUX ADP NOUN ADP VERB DET NOUN ADP DET PROPN PROPN ADP DET PROPN PUNCT SCONJ VERB DET ADJ NOUN ADJ ADP DET NOUN PRON DET PRON VERB ADV PUNCT 
6,I very much hope that we will be able to launch the negotiations for a stabilisation and association agreement in earnest next year.,Espero encarecidamente que podamos lanzar en serio las negociaciones para un acuerdo de estabilización y asociación el año próximo.,PRON ADV ADV VERB ADP PRON VERB VERB ADJ PART VERB DET NOUN ADP DET NOUN CCONJ NOUN NOUN ADP ADJ ADJ NOUN PUNCT ,VERB ADV SCONJ AUX VERB ADP NOUN DET NOUN ADP DET NOUN ADP NOUN CCONJ NOUN DET NOUN ADJ PUNCT 
7,The sooner we can complete those negotiations with FYROM the better; the sooner we can then proceed to ratify the agreement with the Member States.,"Cuanto antes concluyamos esas negociaciones con la ARYM, mejor: antes podremos ratificar el acuerdo con los Estados miembros.",DET ADV PRON VERB VERB DET NOUN ADP PROPN DET ADJ PUNCT DET ADV PRON VERB ADV VERB PART VERB DET NOUN ADP DET PROPN PROPN PUNCT ,NOUN ADV VERB DET NOUN ADP DET PROPN PUNCT ADJ PUNCT ADV AUX VERB DET NOUN ADP DET NOUN NOUN PUNCT 
8,"FYROM is just the first country with which, as the honourable Member knows, we are seeking to negotiate an agreement.","La ARYM es precisamente el primer país con el que, como sabe Su Señoría, queremos negociar un acuerdo.",PROPN VERB ADV DET ADJ NOUN ADP DET PUNCT ADP DET ADJ PROPN VERB PUNCT PRON VERB VERB PART VERB DET NOUN PUNCT ,DET PROPN AUX ADV DET ADJ NOUN ADP DET PRON PUNCT SCONJ VERB DET PROPN PUNCT VERB VERB DET NOUN PUNCT 
9,"I very much hope that not long after we have begun these negotiations we will be able to move to negotiations with other countries, perhaps first of all, Albania.","Espero encarecidamente que poco después de que hayamos iniciado las negociaciones, podamos pasar a las negociaciones con otros países: tal vez Albania en primer lugar.",PRON ADV ADV VERB ADP ADV ADV ADP PRON VERB VERB DET NOUN PRON VERB VERB ADJ PART VERB ADP NOUN ADP ADJ NOUN PUNCT ADV ADV ADP DET PUNCT PROPN PUNCT ,VERB ADV SCONJ ADV ADV ADP SCONJ AUX VERB DET NOUN PUNCT AUX VERB ADP DET NOUN ADP DET NOUN PUNCT NOUN NOUN PROPN ADP ADJ NOUN PUNCT 
