,error_type,Negative transfer?,Likely reason for mistake,incorrect_ud_tags,incorrect_ud_tags_padded,incorrect_ud_tags_unigram,incorrect_ud_tags_bigram,en,zhs,nlt
0,W,True,Sentence could be valid in Chinese,SCONJ DET NOUN AUX PROPN PROPN CCONJ PROPN PROPN ADP DET NOUN,VERB SCONJ DET NOUN AUX PROPN PROPN CCONJ PROPN PROPN ADP DET NOUN PUNCT,SCONJ DET NOUN AUX PROPN PROPN CCONJ PROPN PROPN ADP DET NOUN PUNCT,SCONJ DET NOUN AUX PROPN PROPN CCONJ PROPN PROPN ADP DET NOUN PUNCT ADV,-14.77891731262207,-22.373632431030273,False
1,FN,True,Missing plural,NOUN AUX ADV ADV PART ADJ ADV PUNCT,ADP NOUN AUX ADV ADV PART ADJ ADV PUNCT,NOUN AUX ADV ADV PART ADJ ADV PUNCT,NOUN AUX ADV ADV PART ADJ ADV PUNCT,-10.155555725097656,-14.923757553100586,False
2,AS,False,Incorrect introduction to subordinate phrase/modifier,PART ADV VERB ADP NOUN AUX ADV ADV PART ADJ ADV,PUNCT PART ADV VERB ADP NOUN AUX ADV ADV PART ADJ ADV PUNCT,PART ADV VERB ADP NOUN AUX ADV ADV PART ADJ ADV PUNCT,PART ADV VERB ADP NOUN AUX ADV ADV PART ADJ ADV PUNCT,-16.417238235473633,-21.748315811157227,False
3,AS,False,Incorrect introduction to subordinate phrase/modifier,PROPN PUNCT ADP ADJ DET NOUN PRON AUX ADV,PROPN PUNCT ADP ADJ DET NOUN PRON AUX ADV ADJ,PROPN PUNCT ADP ADJ DET NOUN PRON AUX ADV ADJ,PROPN PUNCT ADP ADJ DET NOUN PRON AUX ADV ADJ SCONJ,-14.942623138427734,-20.131336212158203,False
4,W,True,Sentence could be valid in Chinese,PUNCT PRON VERB DET NOUN PUNCT PROPN,NOUN PUNCT PRON VERB DET NOUN PUNCT PROPN AUX,PUNCT PRON VERB DET NOUN PUNCT PROPN AUX,PUNCT PRON VERB DET NOUN PUNCT PROPN AUX PUNCT,-9.765579223632812,-14.691984176635742,False
5,FN,False,Number disagreement,NOUN PART VERB ADP DET PROPN,DET NOUN PART VERB ADP DET PROPN,NOUN PART VERB ADP DET PROPN,NOUN PART VERB ADP DET PROPN,-8.782414436340332,-9.457982063293457,False
6,W,True,Sentence could be valid in Chinese,DET NOUN AUX VERB PRON DET NOUN,ADP DET NOUN AUX VERB PRON DET NOUN PART,DET NOUN AUX VERB PRON DET NOUN PART,DET NOUN AUX VERB PRON DET NOUN PART VERB,-9.421599388122559,-16.425647735595703,False
7,U,True,Chinese sentence structure differs from English,DET AUX VERB ADP DET ADJ NOUN,NOUN DET AUX VERB ADP DET ADJ NOUN PUNCT,DET AUX VERB ADP DET ADJ NOUN PUNCT,DET AUX VERB ADP DET ADJ NOUN PUNCT PRON,-10.462313652038574,-17.107261657714844,False
8,AS,False,Incorrect introduction to subordinate phrase/modifier,VERB ADP DET NOUN PUNCT PRON VERB,VERB ADP DET NOUN PUNCT PRON VERB ADV,VERB ADP DET NOUN PUNCT PRON VERB ADV,VERB ADP DET NOUN PUNCT PRON VERB ADV SCONJ,-10.96837043762207,-13.978099822998047,False
9,W,True,Sentence could be valid in Chinese,NOUN NOUN PRON AUX NOUN NOUN,PUNCT NOUN NOUN PRON AUX NOUN NOUN PUNCT,NOUN NOUN PRON AUX NOUN NOUN PUNCT,NOUN NOUN PRON AUX NOUN NOUN PUNCT ADV,-12.21235179901123,-18.331153869628906,False
10,W,False,Order is incorrect in Chinese and English,PRON VERB VERB ADV ADJ ADV,ADV PRON VERB VERB ADV ADJ ADV PUNCT,PRON VERB VERB ADV ADJ ADV PUNCT,PRON VERB VERB ADV ADJ ADV PUNCT CCONJ,-10.440468788146973,-14.815011978149414,False
11,AS,True,Chinese sentence structure differs from English,NOUN CCONJ NOUN ADP PRON PUNCT,PRON NOUN CCONJ NOUN ADP PRON PUNCT PRON,NOUN CCONJ NOUN ADP PRON PUNCT PRON,NOUN CCONJ NOUN ADP PRON PUNCT PRON VERB,-10.39266586303711,-11.480074882507324,False
12,AS,True,Chinese sentence structure differs from English,DET ADV AUX DET ADJ NOUN,PUNCT DET ADV AUX DET ADJ NOUN PUNCT,DET ADV AUX DET ADJ NOUN PUNCT,DET ADV AUX DET ADJ NOUN PUNCT,-7.113799095153809,-12.055460929870605,False
13,AS,False,Misunderstanding of word usage/meaning,ADV PRON VERB SCONJ ADP PROPN,VERB ADV PRON VERB SCONJ ADP PROPN PUNCT,ADV PRON VERB SCONJ ADP PROPN PUNCT,ADV PRON VERB SCONJ ADP PROPN PUNCT,-6.820023059844971,-10.470534324645996,False
14,W,False,Interrogative structure used in a non-interrogative sentence,AUX DET ADJ NOUN SCONJ,PRON AUX DET ADJ NOUN SCONJ PUNCT,AUX DET ADJ NOUN SCONJ PUNCT,AUX DET ADJ NOUN SCONJ PUNCT CCONJ,-11.559564590454102,-17.66133689880371,False
20,L,True,Chinese sentence structure differs from English,PRON CCONJ DET NOUN VERB,PUNCT PRON CCONJ DET NOUN VERB ADP,PRON CCONJ DET NOUN VERB ADP,PRON CCONJ DET NOUN VERB ADP DET,-9.398345947265625,-12.223649978637695,False
21,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT DET NOUN CCONJ PRON,ADV PUNCT DET NOUN CCONJ PRON VERB,PUNCT DET NOUN CCONJ PRON VERB,PUNCT DET NOUN CCONJ PRON VERB ADP,-10.366286277770996,-12.248063087463379,False
22,AS,True,Chinese sentence structure differs from English,VERB DET NOUN ADP PRON,ADP VERB DET NOUN ADP PRON PUNCT,VERB DET NOUN ADP PRON PUNCT,VERB DET NOUN ADP PRON PUNCT PRON,-10.05074405670166,-11.276545524597168,False
24,TV,False,Past progressive used instead of past tense,ADV AUX VERB PUNCT,AUX ADV AUX VERB PUNCT ADV,ADV AUX VERB PUNCT ADV,ADV AUX VERB PUNCT ADV ADP,-11.206902503967285,-16.0357666015625,False
25,W,True,Sentence could be valid in Chinese,ADP DET NOUN ADV,NOUN ADP DET NOUN ADV ADV,ADP DET NOUN ADV ADV,ADP DET NOUN ADV ADV PRON,-9.156133651733398,-10.11958122253418,False
27,W,True,Adjective/modifier precedes described object,NOUN ADP PROPN PROPN,DET NOUN ADP PROPN PROPN,NOUN ADP PROPN PROPN,NOUN ADP PROPN PROPN,-3.815734624862671,-5.871469497680664,False
28,AS,False,Error,NOUN PART VERB PUNCT,PRON NOUN PART VERB PUNCT SCONJ,NOUN PART VERB PUNCT SCONJ,NOUN PART VERB PUNCT SCONJ ADJ,-10.514228820800781,-11.105542182922363,False
29,AS,False,Incorrect introduction to subordinate phrase/modifier,AUX DET ADJ NOUN,ADV AUX DET ADJ NOUN SCONJ,AUX DET ADJ NOUN SCONJ,AUX DET ADJ NOUN SCONJ DET,-9.410943984985352,-15.812095642089844,False
31,TV,True,Chinese generally expresses actions in present tense,AUX DET ADJ NOUN,PRON AUX DET ADJ NOUN SCONJ,AUX DET ADJ NOUN SCONJ,AUX DET ADJ NOUN SCONJ PUNCT,-8.30099105834961,-14.55441951751709,False
32,W,False,Order is incorrect in Chinese and English,PART VERB NOUN ADP,NOUN PART VERB NOUN ADP DET,PART VERB NOUN ADP DET,PART VERB NOUN ADP DET NOUN,-6.974515914916992,-9.266778945922852,False
33,L,True,Chinese sentence structure differs from English,PRON CCONJ DET NOUN,PUNCT PRON CCONJ DET NOUN AUX,PRON CCONJ DET NOUN AUX,PRON CCONJ DET NOUN AUX DET,-9.372316360473633,-12.400654792785645,False
34,W,True,Sentence could be valid in Chinese,ADP PROPN PROPN ADP,NOUN ADP PROPN PROPN ADP DET,ADP PROPN PROPN ADP DET,ADP PROPN PROPN ADP DET PROPN,-7.029532432556152,-8.731414794921875,False
36,W,True,Sentence could be valid in Chinese,ADJ NOUN PRON VERB,DET ADJ NOUN PRON VERB VERB,ADJ NOUN PRON VERB VERB,ADJ NOUN PRON VERB VERB PART,-10.121150016784668,-10.078744888305664,True
37,W,True,Sentence could be valid in Chinese,ADV DET ADJ NOUN,VERB ADV DET ADJ NOUN ADV,ADV DET ADJ NOUN ADV,ADV DET ADJ NOUN ADV PRON,-9.31654167175293,-9.735812187194824,False
38,X,True,Chinese sentence structure differs from English,VERB NOUN PART ADJ,ADP VERB NOUN PART ADJ PUNCT,VERB NOUN PART ADJ PUNCT,VERB NOUN PART ADJ PUNCT SCONJ,-12.86418628692627,-11.97236156463623,True
