,error_type,Negative transfer?,Likely reason for mistake,incorrect_ud_tags,incorrect_ud_tags_padded,incorrect_ud_tags_unigram,incorrect_ud_tags_bigram,en,zhs,nlt
0,W,True,Sentence could be valid in Chinese,SCONJ DET NOUN AUX PROPN PROPN CCONJ PROPN PROPN ADP DET NOUN,VERB SCONJ DET NOUN AUX PROPN PROPN CCONJ PROPN PROPN ADP DET NOUN PUNCT,SCONJ DET NOUN AUX PROPN PROPN CCONJ PROPN PROPN ADP DET NOUN PUNCT,SCONJ DET NOUN AUX PROPN PROPN CCONJ PROPN PROPN ADP DET NOUN PUNCT ADV,-10.42296028137207,-17.336788177490234,False
1,FN,True,Missing plural,NOUN AUX ADV ADV PART ADJ ADV PUNCT,ADP NOUN AUX ADV ADV PART ADJ ADV PUNCT,NOUN AUX ADV ADV PART ADJ ADV PUNCT,NOUN AUX ADV ADV PART ADJ ADV PUNCT,-10.155555725097656,-14.923757553100586,False
2,AS,False,Incorrect introduction to subordinate phrase/modifier,PART ADV VERB ADP NOUN AUX ADV ADV PART ADJ ADV,PUNCT PART ADV VERB ADP NOUN AUX ADV ADV PART ADJ ADV PUNCT,PART ADV VERB ADP NOUN AUX ADV ADV PART ADJ ADV PUNCT,PART ADV VERB ADP NOUN AUX ADV ADV PART ADJ ADV PUNCT,-16.417238235473633,-21.748315811157227,False
3,AS,False,Incorrect introduction to subordinate phrase/modifier,PROPN PUNCT ADP ADJ DET NOUN PRON AUX ADV,PROPN PUNCT ADP ADJ DET NOUN PRON AUX ADV ADJ,PROPN PUNCT ADP ADJ DET NOUN PRON AUX ADV ADJ,PROPN PUNCT ADP ADJ DET NOUN PRON AUX ADV ADJ SCONJ,-12.633589744567871,-18.233415603637695,False
4,W,True,Sentence could be valid in Chinese,PUNCT PRON VERB DET NOUN PUNCT PROPN,NOUN PUNCT PRON VERB DET NOUN PUNCT PROPN AUX,PUNCT PRON VERB DET NOUN PUNCT PROPN AUX,PUNCT PRON VERB DET NOUN PUNCT PROPN AUX PUNCT,-11.13528823852539,-13.599050521850586,False
5,FN,False,Number disagreement,NOUN PART VERB ADP DET PROPN,DET NOUN PART VERB ADP DET PROPN,NOUN PART VERB ADP DET PROPN,NOUN PART VERB ADP DET PROPN,-8.782414436340332,-9.457982063293457,False
6,W,True,Sentence could be valid in Chinese,DET NOUN AUX VERB PRON DET NOUN,ADP DET NOUN AUX VERB PRON DET NOUN PART,DET NOUN AUX VERB PRON DET NOUN PART,DET NOUN AUX VERB PRON DET NOUN PART VERB,-10.105215072631836,-14.977831840515137,False
7,U,True,Chinese sentence structure differs from English,DET AUX VERB ADP DET ADJ NOUN,NOUN DET AUX VERB ADP DET ADJ NOUN PUNCT,DET AUX VERB ADP DET ADJ NOUN PUNCT,DET AUX VERB ADP DET ADJ NOUN PUNCT PRON,-5.270984172821045,-12.540263175964355,False
8,AS,False,Incorrect introduction to subordinate phrase/modifier,VERB ADP DET NOUN PUNCT PRON VERB,VERB ADP DET NOUN PUNCT PRON VERB ADV,VERB ADP DET NOUN PUNCT PRON VERB ADV,VERB ADP DET NOUN PUNCT PRON VERB ADV SCONJ,-8.51168155670166,-10.972211837768555,False
9,W,True,Sentence could be valid in Chinese,NOUN NOUN PRON AUX NOUN NOUN,PUNCT NOUN NOUN PRON AUX NOUN NOUN PUNCT,NOUN NOUN PRON AUX NOUN NOUN PUNCT,NOUN NOUN PRON AUX NOUN NOUN PUNCT ADV,-7.988509178161621,-13.383370399475098,False
