,error_type,Negative transfer?,Likely reason for mistake,incorrect_ud_tags,incorrect_ud_tags_padded,incorrect_ud_tags_unigram,incorrect_ud_tags_bigram,nlt,result
0,W,True,Sentence could be valid in Chinese,SCONJ DET NOUN AUX PROPN PROPN CCONJ PROPN PROPN ADP DET NOUN,VERB SCONJ DET NOUN AUX PROPN PROPN CCONJ PROPN PROPN ADP DET NOUN PUNCT,SCONJ DET NOUN AUX PROPN PROPN CCONJ PROPN PROPN ADP DET NOUN PUNCT,SCONJ DET NOUN AUX PROPN PROPN CCONJ PROPN PROPN ADP DET NOUN PUNCT ADV,False,False
1,FN,True,Missing plural,NOUN AUX ADV ADV PART ADJ ADV PUNCT,ADP NOUN AUX ADV ADV PART ADJ ADV PUNCT,NOUN AUX ADV ADV PART ADJ ADV PUNCT,NOUN AUX ADV ADV PART ADJ ADV PUNCT,False,False
2,AS,False,Incorrect introduction to subordinate phrase/modifier,PART ADV VERB ADP NOUN AUX ADV ADV PART ADJ ADV,PUNCT PART ADV VERB ADP NOUN AUX ADV ADV PART ADJ ADV PUNCT,PART ADV VERB ADP NOUN AUX ADV ADV PART ADJ ADV PUNCT,PART ADV VERB ADP NOUN AUX ADV ADV PART ADJ ADV PUNCT,False,True
3,AS,False,Incorrect introduction to subordinate phrase/modifier,PROPN PUNCT ADP ADJ DET NOUN PRON AUX ADV,PROPN PUNCT ADP ADJ DET NOUN PRON AUX ADV ADJ,PROPN PUNCT ADP ADJ DET NOUN PRON AUX ADV ADJ,PROPN PUNCT ADP ADJ DET NOUN PRON AUX ADV ADJ SCONJ,False,True
4,W,True,Sentence could be valid in Chinese,PUNCT PRON VERB DET NOUN PUNCT PROPN,NOUN PUNCT PRON VERB DET NOUN PUNCT PROPN AUX,PUNCT PRON VERB DET NOUN PUNCT PROPN AUX,PUNCT PRON VERB DET NOUN PUNCT PROPN AUX PUNCT,False,False
5,FN,False,Number disagreement,NOUN PART VERB ADP DET PROPN,DET NOUN PART VERB ADP DET PROPN,NOUN PART VERB ADP DET PROPN,NOUN PART VERB ADP DET PROPN,False,True
6,W,True,Sentence could be valid in Chinese,DET NOUN AUX VERB PRON DET NOUN,ADP DET NOUN AUX VERB PRON DET NOUN PART,DET NOUN AUX VERB PRON DET NOUN PART,DET NOUN AUX VERB PRON DET NOUN PART VERB,False,False
7,U,True,Chinese sentence structure differs from English,DET AUX VERB ADP DET ADJ NOUN,NOUN DET AUX VERB ADP DET ADJ NOUN PUNCT,DET AUX VERB ADP DET ADJ NOUN PUNCT,DET AUX VERB ADP DET ADJ NOUN PUNCT PRON,False,False
8,AS,False,Incorrect introduction to subordinate phrase/modifier,VERB ADP DET NOUN PUNCT PRON VERB,VERB ADP DET NOUN PUNCT PRON VERB ADV,VERB ADP DET NOUN PUNCT PRON VERB ADV,VERB ADP DET NOUN PUNCT PRON VERB ADV SCONJ,False,True
9,W,True,Sentence could be valid in Chinese,NOUN NOUN PRON AUX NOUN NOUN,PUNCT NOUN NOUN PRON AUX NOUN NOUN PUNCT,NOUN NOUN PRON AUX NOUN NOUN PUNCT,NOUN NOUN PRON AUX NOUN NOUN PUNCT ADV,False,False
