,Unnamed: 0,error_type,Negative transfer?,Likely reason for mistake,correct_sentence,correct_trigram_ud,incorrect_sentence,incorrect_trigram_ud,nlt,result
0,0,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same","The idea of an ""International Art Festival"" was great. But I feel the word ""International"" was not really | suitable; because you only had six countries' stars and artists . I think you should invite more than ten countries. The other problem was choosing space . As , as the hall of the classical concert was too small and crowded. Next year, you should calculate or examine how many people will come before you choose a hall, which I feel very good was plays and films. It can show more for next year's festival. The Dance Shows as well . And the offer of a ""weekend ticket"" was an excellent idea . Because , because the price was cheaper than buying it separately and more convenient . ",ADJ PUNCT ADP,"The idea of an ""International Art Festival"" was great. But I feel the word ""International"" was not really | suit; because you only had six countries' stars and artists . I think you should invite more than ten countries. The other problem was choosing space . As , as the hall of the classical concert was too small and crowded. Next year, you should calculate or examine how many people will come before you choose a hall, which I feel very good was plays and films. It can show more for next year's festival. The Dance Shows as well . And the offer of a ""weekend ticket"" was an excellent idea . Because , because the price was cheaper than buying it separately and more convenient . ",NOUN PUNCT ADP,True,True
1,1,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same","The idea of an ""International Art Festival"" was great. But I feel the word ""International"" was not really suitable; because you only had six countries' stars and artists . I think you should invite more than ten countries. The other problem was choosing space . As , as the hall of the classical concert was too small and crowded. Next year, you should calculate or examine how many people will come before you choose a hall, which I feel very good was plays and films. It can show more for next year's festival. The Dance Shows as well . And the offer of a ""weekend ticket"" was an excellent idea . Because , because the price was cheaper than buying it separately and more | convenient . ",ADJ PUNCT _,"The idea of an ""International Art Festival"" was great. But I feel the word ""International"" was not really suitable; because you only had six countries' stars and artists . I think you should invite more than ten countries. The other problem was choosing space . As , as the hall of the classical concert was too small and crowded. Next year, you should calculate or examine how many people will come before you choose a hall, which I feel very good was plays and films. It can show more for next year's festival. The Dance Shows as well . And the offer of a ""weekend ticket"" was an excellent idea . Because , because the price was cheaper than buying it separately and more | convenience . ",NOUN PUNCT _,True,True
2,2,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same","These are only my | immature views , if . If it is considerable for you , I will be very pleased , thank . Thank you very much. ",ADJ NOUN PUNCT,"These are only my | inmature views , if . If it is considerable for you , I will be very pleased , thank . Thank you very much. ",ADJ NOUN PUNCT,True,True
3,3,DJ,False,Derived form is wrong,"You mentioned the rules at home and at school in the letter. This reminds me of what I experienced during my teenage years. In my country the children go to secondary school when they are in the first year of being a teenager. You know, this age is the | troublesome age, boys have too much energy and girls want to fall in love with someone. They always annoy the schoolteacher and their parents. As a result of this, the teachers make very strict rules at school, such as students aren't allowed to speak to each other in class. They have to finish homework within a limited time. They cannot oppose the teacher, girls are not allowed to wear make-up or wear any jewellery. At home, in my experience, my parents didn't allow me to go out in the evening and gave me a lot of homework to do, even in the holiday. They also forbade me to have a boyfriend. I think it is not just what happened in my home, many of my friends had the same experience. ",ADJ NOUN PUNCT,"You mentioned the rules at home and at school in the letter. This reminds me of what I experienced during my teenage years. In my country the children go to secondary school when they are in the first year of being a teenager. You know, this age is the | trouble age, boys have too much energy and girls want to fall in love with someone. They always annoy the schoolteacher and their parents. As a result of this, the teachers make very strict rules at school, such as students aren't allowed to speak to each other in class. They have to finish homework within a limited time. They cannot oppose the teacher, girls are not allowed to wear make-up or wear any jewellery. At home, in my experience, my parents didn't allow me to go out in the evening and gave me a lot of homework to do, even in the holiday. They also forbade me to have a boyfriend. I think it is not just what happened in my home, many of my friends had the same experience. ",NOUN NOUN PUNCT,True,False
4,4,FJ,True,Chinese would use word in this context,"I went there at 19.00 because the show started at 19.30 as the advertisement said but I queued for at least an hour because the ticket machine broke down. Finally, after an hour, when my turn came to buy the entrance ticket, your staff said I couldn't have a discount and so as anyone . However, I bought the ticket, even though it was | expensive, because I'd been queuing for ages and I really wanted to see my idol, Danny Brook. ",ADJ PUNCT ADP,"I went there at 19.00 because the show started at 19.30 as the advertisement said but I queued for at least an hour because the ticket machine broke down. Finally, after an hour, when my turn came to buy the entrance ticket, your staff said I couldn't have a discount and so as anyone . However, I bought the ticket, even though it was | more expensive, because I'd been queuing for ages and I really wanted to see my idol, Danny Brook. ",ADV ADJ PUNCT,True,True
5,5,RJ,False,Misunderstanding of word usage/meaning,I had a very disappointing evening and my anger influenced me for the rest of my holidays. I'd like to know if you can give the money back to me or I'll write letters to all the media departments to show how | deceitful you were.,ADJ PRON VERB,I had a very disappointing evening and my anger influenced me for the rest of my holidays. I'd like to know if you can give the money back to me or I'll write letters to all the media departments to show how | tricky you were.,ADJ PRON VERB,,
6,6,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same","Unfortunately, Pat wasn't very good at keeping secrets. My story had already been spread the next day. Although failing in the exams wasn't really a big deal, it was awful that people kept mentioning it. I didn't think I was going to survive after failing the exams and my best friend had been | untrustworthy. But this idea was soon be put off since I noticed in the newspaper that I had won the writing competition. I couldn't believe my luck , . I was really sure that I won a return ticket to the Mediterranean Sea. During the trip, I made friends with other people who had also won the competition in their towns. They were so kind to me that we soon became good friends. For the last few days, we spent our time sightseeing and shopping. I must admit that it was the greatest time I have ever had in my life. On the last day when I was packing and getting ready to leave, I realised I had lost my passport and tickets. A horrible thought suddenly came into my mind. My bad luck had never left me. It had only hidden away from me and when there was a chance, it was going to give me a 'surprise'. ",ADJ PUNCT CCONJ,"Unfortunately, Pat wasn't very good at keeping secrets. My story had already been spread the next day. Although failing in the exams wasn't really a big deal, it was awful that people kept mentioning it. I didn't think I was going to survive after failing the exams and my best friend had been | untrustful. But this idea was soon be put off since I noticed in the newspaper that I had won the writing competition. I couldn't believe my luck , . I was really sure that I won a return ticket to the Mediterranean Sea. During the trip, I made friends with other people who had also won the competition in their towns. They were so kind to me that we soon became good friends. For the last few days, we spent our time sightseeing and shopping. I must admit that it was the greatest time I have ever had in my life. On the last day when I was packing and getting ready to leave, I realised I had lost my passport and tickets. A horrible thought suddenly came into my mind. My bad luck had never left me. It had only hidden away from me and when there was a chance, it was going to give me a 'surprise'. ",ADJ PUNCT CCONJ,False,False
7,7,RJ,True,The two words map to the same word in Chinese,"A week later, when I was still in a bad mood, my form teacher, Mrs Brown, talked about jobs in our English lesson. She told us there were numerous types of job in the world. Some offered a high salary while some did not. However, they are equally important for our society. 'Who wants to be a doctor?' She asked. Many students raised their hands. 'Who wants to be a lawyer?' Again, many students put up their hand. But when she asked who wanted to be a cleaner, nobody raised his hand and I felt so | ashamed that I lowered my head. 'Cleaner is a very good job.' Mrs Brown said in a loud voice. 'If there were no cleaners, who would clean the school for us , who ? Who would keep the environment nice and tidy . ? ' Suddenly, all my classmates applauded and smiled at me with respect. The teacher also grinned and I was so impressed and repeated the words in my heart: 'All jobs have the same importance.' ",ADJ ADP PRON,"A week later, when I was still in a bad mood, my form teacher, Mrs Brown, talked about jobs in our English lesson. She told us there were numerous types of job in the world. Some offered a high salary while some did not. However, they are equally important for our society. 'Who wants to be a doctor?' She asked. Many students raised their hands. 'Who wants to be a lawyer?' Again, many students put up their hand. But when she asked who wanted to be a cleaner, nobody raised his hand and I felt so | shameful that I lowered my head. 'Cleaner is a very good job.' Mrs Brown said in a loud voice. 'If there were no cleaners, who would clean the school for us , who ? Who would keep the environment nice and tidy . ? ' Suddenly, all my classmates applauded and smiled at me with respect. The teacher also grinned and I was so impressed and repeated the words in my heart: 'All jobs have the same importance.' ",ADJ ADP PRON,,
8,8,RJ,False,"Chinese verbs, adjectives, and nouns sometimes are the same","That evening we didn't want to have our supper before the show. Anyway I thought it would be too early to eat and also because the timetable or candidates you give me have say : ""visit our theatre restaurant after the show"". So we did, but unfortunately it was | closed and I was so disappointed about it, not only because we had expected Danny Brook and Tina Truelove to be the actor of starring . Also I don't really mind that the show started late but the rute of that evening was rucented . And there were no discounts when you said there would be! Why is it everything that on the canidates was wrong and different from what we experienced. We don't expect much bad to happen on our holiday, but this was a perfect show as well , it was the worst show and theatre I have ever been to in my life. ",VERB CCONJ PRON,"That evening we didn't want to have our supper before the show. Anyway I thought it would be too early to eat and also because the timetable or candidates you give me have say : ""visit our theatre restaurant after the show"". So we did, but unfortunately it was | close and I was so disappointed about it, not only because we had expected Danny Brook and Tina Truelove to be the actor of starring . Also I don't really mind that the show started late but the rute of that evening was rucented . And there were no discounts when you said there would be! Why is it everything that on the canidates was wrong and different from what we experienced. We don't expect much bad to happen on our holiday, but this was a perfect show as well , it was the worst show and theatre I have ever been to in my life. ",ADJ CCONJ PRON,,
9,9,IJ,False,Derived form is wrong,"That evening we didn't want to have our supper before the show. Anyway I thought it would be too early to eat and also because the timetable or candidates you give me have say : ""visit our theatre restaurant after the show"". So we did, but unfortunately it was closed and I was so disappointed about it, not only because we had expected Danny Brook and Tina Truelove to be the actor of starring . Also I don't really mind that the show started late but the rute of that evening was rucented . And there were no discounts when you said there would be! Why is it everything that on the canidates was wrong and different from what we experienced. We don't expect much bad to happen on our holiday, but this was a perfect show as well , it was the | worst show and theatre I have ever been to in my life. ",ADJ NOUN CCONJ,"That evening we didn't want to have our supper before the show. Anyway I thought it would be too early to eat and also because the timetable or candidates you give me have say : ""visit our theatre restaurant after the show"". So we did, but unfortunately it was closed and I was so disappointed about it, not only because we had expected Danny Brook and Tina Truelove to be the actor of starring . Also I don't really mind that the show started late but the rute of that evening was rucented . And there were no discounts when you said there would be! Why is it everything that on the canidates was wrong and different from what we experienced. We don't expect much bad to happen on our holiday, but this was a perfect show as well , it was the | worstest show and theatre I have ever been to in my life. ",ADJ NOUN CCONJ,True,False
