,error_type,Negative transfer?,Likely reason for mistake,correct_sentence,correct_trigram_ud,incorrect_sentence,incorrect_trigram_ud,incorrect_error_index,zhs,en,nlt,result
0,DY,True,"Chinese verbs, adjectives, and nouns sometimes are the same","The idea of an ""International Art Festival"" was great. But I feel the word ""International"" was not really suitable; because you only had six countries' stars and artists . I think you should invite more than ten countries. The other problem was choosing space . As , as the hall of the classical concert was too small and crowded. Next year, you should calculate or examine how many people will come before you choose a hall, which I feel very good was plays and films. It can show more for next year's festival. The Dance Shows as well . And the offer of a ""weekend ticket"" was an excellent idea . Because , because the price was cheaper than buying it | separately and more convenient . ",ADV CCONJ ADV,"The idea of an ""International Art Festival"" was great. But I feel the word ""International"" was not really suitable; because you only had six countries' stars and artists . I think you should invite more than ten countries. The other problem was choosing space . As , as the hall of the classical concert was too small and crowded. Next year, you should calculate or examine how many people will come before you choose a hall, which I feel very good was plays and films. It can show more for next year's festival. The Dance Shows as well . And the offer of a ""weekend ticket"" was an excellent idea . Because , because the price was cheaper than buying it | separate and more convenient . ",ADJ CCONJ ADV,137,17.956393638103698,19.553512969042487,False,False
1,DY,True,"Chinese verbs, adjectives, and nouns sometimes are the same","I went to the theatre to buy the ticket and expected to get a discount as I was a student. However, the salesman in the box office told me the discount tickets had sold out. I could not understand why but I still bought the ticket because I was crazy about Danny Brook. Then, I went into the theatre on time but became a little bit angry after waiting until 20:15, forty-five minutes after the expected starting time. Furthermore, I was so disappointed to find out that Danny Brook was not on the stage and the leading actor sang so | badly that I left the theatre before it finished. Last, I went to the theatre restaurant but it was closed because it needed cleaning. ",ADV ADP PRON,"I went to the theatre to buy the ticket and expected to get a discount as I was a student. However, the salesman in the box office told me the discount tickets had sold out. I could not understand why but I still bought the ticket because I was crazy about Danny Brook. Then, I went into the theatre on time but became a little bit angry after waiting until 20:15, forty-five minutes after the expected starting time. Furthermore, I was so disappointed to find out that Danny Brook was not on the stage and the leading actor sang so | bad that I left the theatre before it finished. Last, I went to the theatre restaurant but it was closed because it needed cleaning. ",ADJ ADP PRON,110,18.04641557528015,20.693478350866357,False,False
2,DY,True,"Chinese verbs, adjectives, and nouns sometimes are the same","A week later, when I was still in a bad mood, my form teacher, Mrs Brown, talked about jobs in our English lesson. She told us there were numerous types of job in the world. Some offered a high salary while some did not. However, they are | equally important for our society. 'Who wants to be a doctor?' She asked. Many students raised their hands. 'Who wants to be a lawyer?' Again, many students put up their hand. But when she asked who wanted to be a cleaner, nobody raised his hand and I felt so ashamed that I lowered my head. 'Cleaner is a very good job.' Mrs Brown said in a loud voice. 'If there were no cleaners, who would clean the school for us , who ? Who would keep the environment nice and tidy . ? ' Suddenly, all my classmates applauded and smiled at me with respect. The teacher also grinned and I was so impressed and repeated the words in my heart: 'All jobs have the same importance.' ",ADV ADJ ADP,"A week later, when I was still in a bad mood, my form teacher, Mrs Brown, talked about jobs in our English lesson. She told us there were numerous types of job in the world. Some offered a high salary while some did not. However, they are | equal important for our society. 'Who wants to be a doctor?' She asked. Many students raised their hands. 'Who wants to be a lawyer?' Again, many students put up their hand. But when she asked who wanted to be a cleaner, nobody raised his hand and I felt so ashamed that I lowered my head. 'Cleaner is a very good job.' Mrs Brown said in a loud voice. 'If there were no cleaners, who would clean the school for us , who ? Who would keep the environment nice and tidy . ? ' Suddenly, all my classmates applauded and smiled at me with respect. The teacher also grinned and I was so impressed and repeated the words in my heart: 'All jobs have the same importance.' ",ADJ ADJ ADP,55,17.731104958914173,20.148493819878148,False,False
3,DY,True,English words map to the same Chinese word,"I think people in the future will | probably wear helmets with oxygen gas well provided . It is because of the increasing size of the population and the shortage of oxygen gas in the atmosphere. They will also wear water-proof, ultra-violet proof ultra-violet-proof and other dangerous liquid-proof dangerous-liquid-proof clothes to protect themselves. These clothes have to be made of something light, comfortable to wear and protective. All the above ideas are needed to make them bear no burden when wearing these specially designed clothes. ",ADV VERB NOUN,"I think people in the future will | likely wear helmets with oxygen gas well provided . It is because of the increasing size of the population and the shortage of oxygen gas in the atmosphere. They will also wear water-proof, ultra-violet proof ultra-violet-proof and other dangerous liquid-proof dangerous-liquid-proof clothes to protect themselves. These clothes have to be made of something light, comfortable to wear and protective. All the above ideas are needed to make them bear no burden when wearing these specially designed clothes. ",ADV VERB NOUN,7,20.24224463369152,19.40997532251712,True,True
4,DY,True,"Chinese verbs, adjectives, and nouns sometimes are the same","I think people in the future will probably wear helmets with oxygen gas well provided . It is because of the increasing size of the population and the shortage of oxygen gas in the atmosphere. They will also wear water-proof, ultra-violet proof ultra-violet-proof and other dangerous liquid-proof dangerous-liquid-proof clothes to protect themselves. These clothes have to be made of something light, comfortable to wear and protective. All the above ideas are needed to make them bear no burden when wearing these | specially designed clothes. ",ADV VERB NOUN,"I think people in the future will probably wear helmets with oxygen gas well provided . It is because of the increasing size of the population and the shortage of oxygen gas in the atmosphere. They will also wear water-proof, ultra-violet proof ultra-violet-proof and other dangerous liquid-proof dangerous-liquid-proof clothes to protect themselves. These clothes have to be made of something light, comfortable to wear and protective. All the above ideas are needed to make them bear no burden when wearing these | special designed clothes. ",ADJ VERB NOUN,100,19.544391834997626,20.423047617286173,False,False
5,FY,True,"Chinese verbs, adjectives, and nouns sometimes are the same","It said in the advertisement that the singers are Danny Brook and Tina Truelove. However, there was a different, unknown actor in that. The show started | late, at 20:15, which was very different from '19.30' as shown . There was no discount at all, which was in contrast with 'Discounts Available'. After the show, I wanted to have something in the theatre restaurant and found it was closed for no reason. ",ADV PUNCT ADP,"It said in the advertisement that the singers are Danny Brook and Tina Truelove. However, there was a different, unknown actor in that. The show started | later, at 20:15, which was very different from '19.30' as shown . There was no discount at all, which was in contrast with 'Discounts Available'. After the show, I wanted to have something in the theatre restaurant and found it was closed for no reason. ",ADV PUNCT ADP,30,20.336943731760567,19.81287352050652,True,True
6,DY,False,Spelling error,"I felt very upset about your advertisement was | totally different from the musical show. Firstly, I could not buy a discount ticket as you mentioned. Secondly, the show started at 20:15 p.m. instead of 19:30 p.m . Thirdly, the theatre restaurant was closed. But the worst thing is the actors were not Danny Brook and Tina Truelove. , It was really a letdown!! ",ADV ADJ ADP,"I felt very upset about your advertisement was | totaly different from the musical show. Firstly, I could not buy a discount ticket as you mentioned. Secondly, the show started at 20:15 p.m. instead of 19:30 p.m . Thirdly, the theatre restaurant was closed. But the worst thing is the actors were not Danny Brook and Tina Truelove. , It was really a letdown!! ",ADV ADJ ADP,8,18.428957757608064,19.135421525109095,False,True
7,DY,False,Spelling error,"| Finally, I want to know what the weather is like in California in July. Do I need some special clothes for the camp and how much money shall I bring for other expenses . ? ",ADV PUNCT PRON,"| Finaly, I want to know what the weather is like in California in July. Do I need some special clothes for the camp and how much money shall I bring for other expenses . ? ",PROPN PUNCT PRON,0,20.74017477526045,21.55037504475892,False,True
8,DY,False,Spelling error,"In my opinion, maths, politics, Chinese, English and painting lessons are the most interesting ones. They are also the lessons which English people and other foreigners are | particularly curious about. ",ADV ADJ ADP,"In my opinion, maths, politics, Chinese, English and painting lessons are the most interesting ones. They are also the lessons which English people and other foreigners are | particularlly curious about. ",ADV ADJ ADP,32,18.428957757608064,19.135421525109095,False,True
9,DY,True,"Chinese verbs, adjectives, and nouns sometimes are the same","For | frankly , I like to shop. Of course not because of buying things . I like to go window shopping that is good to go around the shopping centre. It helps you keep up to date . With what with what fashion is in now. ",ADV PUNCT PRON,"For | frank , I like to shop. Of course not because of buying things . I like to go window shopping that is good to go around the shopping centre. It helps you keep up to date . With what with what fashion is in now. ",ADJ PUNCT PRON,1,19.63909093306668,20.825945815275574,False,False
