,Unnamed: 0,error_type,Negative transfer?,Likely reason for mistake,correct_sentence,correct_trigram_ud,incorrect_sentence,incorrect_trigram_ud,incorrect_error_index,type_and_trigram_ud,ud_quadgram,penn_quadgram,nlt,result
2497,42,M,True,Chinese conventions conflict with English,"However, shopping is | a nice way to spend your leisure time and give yourself a chance to relax sometimes, but I suggest that you never do it at the weekend. ",DET ADJ NOUN,"However, shopping is | nice to spend your leisure time and give yourself a chance to relax sometimes, but I suggest that you never do it at the weekend. ",ADJ PART VERB,4,M ADJ PART VERB,AUX ADJ PART VERB,M VBZ JJ TO VB,True,True
2514,59,M,False,Incorrect/incomplete expression used,"Moreover, the TV is great company for people who live alone or feel alone. I like to turn on the TV when I stay at home. Someone is talking, laughing, crying on there, so join them , you . You will feel much better than | you would just by yourself. Some TV programmes are enjoyable! ",PRON VERB ADV,"Moreover, the TV is great company for people who live alone or feel alone. I like to turn on the TV when I stay at home. Someone is talking, laughing, crying on there, so join them , you . You will feel much better than | just yourself. Some TV programmes are enjoyable! ",ADV PRON PUNCT,51,M ADV PRON PUNCT,SCONJ ADV PRON PUNCT,M IN RB PRP .,True,False
1947,54,UT,False,Overgeneralization of word pairs,"When I, with mixed feelings, went home I found my parents were standing at the door looking | very cheerful. 'Surely it doesn't mean that they have learnt the exciting news?' I said to myself . Much to my surprise, they told me in high voices that they never went bankrupt , they . They wanted to give me an opportunity to do something impressive by myself. Now, they are both proud of me! ",ADV ADJ PUNCT,"When I, with mixed feelings, went home I found my parents were standing at the door looking | like very cheerful. 'Surely it doesn't mean that they have learnt the exciting news?' I said to myself . Much to my surprise, they told me in high voices that they never went bankrupt , they . They wanted to give me an opportunity to do something impressive by myself. Now, they are both proud of me! ",ADP ADV ADJ,19,UT ADP ADV ADJ,VERB INTJ ADV ADJ,UT VBG UH RB JJ,True,False
1656,119,MP,True,Chinese sentence structure differs from English,"Every day, something changes and we become more modern | . Companies use computers instead of books, dentists use modernized electric tools instead of just a pair of pliers , even . Even homes are affected. From letters to emails, from gas stoves to electric stoves and microwaves , but . But we aren't just going to stop here are we? No, in the future, the present will be the past and those things now new to us will be old, outdated and changed. ",PUNCT NOUN VERB,"Every day, something changes and we become more modern | companies use computers instead of books, dentists use modernized electric tools instead of just a pair of pliers , even . Even homes are affected. From letters to emails, from gas stoves to electric stoves and microwaves , but . But we aren't just going to stop here are we? No, in the future, the present will be the past and those things now new to us will be old, outdated and changed. ",NOUN VERB NOUN,10,MP NOUN VERB NOUN,ADJ NOUN VERB NOUN,MP JJ NNS VBP NNS,True,True
1089,54,MV,True,Chinese conventions conflict with English	,"First of all, when I went and bought my ticket, there was no discount, but in your advertisement it clearly said that discounts are available and as a result the ticket I bought | was more expensive. ",VERB ADV ADJ,"First of all, when I went and bought my ticket, there was no discount, but in your advertisement it clearly said that discounts are available and as a result the ticket I bought | more expensive. ",ADV ADJ PUNCT,36,MV ADV ADJ PUNCT,VERB ADV ADJ PUNCT,MV VBD RBR JJ .,True,True
1239,42,MT,True,Chinese doesn't use the word in this context,"You wanted to hear about my experience at the pop concert which I enjoyed helping | at last month? I must say that was great fun , . I'd never had this kind of experience before. Before the concert actually started I had to give out lots of leaflets , they . They were lists of pop bands and groups which would appear in the concert in order, and some information about their performance and backgrounds. After that, I had to help people who had a ticket but couldn't find their seat. During the concert, I didn't have a lot to do, so I had a chance to see most of the performance , that . That was excellent. I was excited that I had a closer look at so many famous pop stars. During the break time I did give a lot of directions to people who couldn't find the toilet, and gave people information such as where they could have a cup of coffee. That was a bit boring, but it was part of my job. ",ADP ADJ NOUN,"You wanted to hear about my experience at the pop concert which I enjoyed helping | last month? I must say that was great fun , . I'd never had this kind of experience before. Before the concert actually started I had to give out lots of leaflets , they . They were lists of pop bands and groups which would appear in the concert in order, and some information about their performance and backgrounds. After that, I had to help people who had a ticket but couldn't find their seat. During the concert, I didn't have a lot to do, so I had a chance to see most of the performance , that . That was excellent. I was excited that I had a closer look at so many famous pop stars. During the break time I did give a lot of directions to people who couldn't find the toilet, and gave people information such as where they could have a cup of coffee. That was a bit boring, but it was part of my job. ",ADJ NOUN PUNCT,15,MT ADJ NOUN PUNCT,VERB ADJ NOUN PUNCT,MT VBG JJ NN .,True,True
1531,272,TV,True,Will and would map to the same word in Chinese,"At the end of the conference, we will have a party. The party is to let all the students get to know each other better. The party will be in the dance hall next to the conference room. I | would suggest they wear formal clothing, such as tie, trousers and blazer. ",VERB VERB PRON,"At the end of the conference, we will have a party. The party is to let all the students get to know each other better. The party will be in the dance hall next to the conference room. I | will suggest they wear formal clothing, such as tie, trousers and blazer. ",VERB VERB PRON,43,TV VERB VERB PRON,PRON VERB VERB PRON,TV PRP MD VB PRP,True,True
1676,139,MP,True,Chinese uses commas to mark the end of a complete thought,"Regarding the end-of-conference party . We , we have planned a barbecue for 5 oo pm . on our most idyllic playing field | , which overlooks the endless Countryside and farms. At 7:00pm . we can move to our student hall to have a disco dance until 10:00pm. ",PUNCT DET VERB,"Regarding the end-of-conference party . We , we have planned a barbecue for 5 oo pm . on our most idyllic playing field | which overlooks the endless Countryside and farms. At 7:00pm . we can move to our student hall to have a disco dance until 10:00pm. ",DET VERB DET,27,MP DET VERB DET,NOUN DET VERB DET,MP NN WDT VBZ DT,True,True
1118,29,RQ,False,Quantifier would not be used in this context in Chinese,"We need light every day, not just at nighttime. We need lamplight in offices and schools and | other places during the daytime. How wonderful life is since the invention of electric light. Here we are just talking about the light we invented apart from natural light. ",ADJ NOUN ADP,"We need light every day, not just at nighttime. We need lamplight in offices and schools and | some places during the daytime. How wonderful life is since the invention of electric light. Here we are just talking about the light we invented apart from natural light. ",DET NOUN ADP,19,RQ DET NOUN ADP,CCONJ DET NOUN ADP,RQ CC DT NNS IN,True,False
1841,153,MD,True,Chinese has no articles and doesn't use classifiers in this situation,"So I must find a way to help my great father. One day, I suddenly had a good idea. 'Why not go to | the stock exchange?' I said to myself. Almost every day I went there and researched the exchange decline-line, which gave me lots of information . Finally, I decided to join in the dangerous game, which meant losing everything or suddenly becoming a millionaire. With luck, I won by chance . ",DET NOUN NOUN,"So I must find a way to help my great father. One day, I suddenly had a good idea. 'Why not go to | stock exchange?' I said to myself. Almost every day I went there and researched the exchange decline-line, which gave me lots of information . Finally, I decided to join in the dangerous game, which meant losing everything or suddenly becoming a millionaire. With luck, I won by chance . ",NOUN NOUN PUNCT,27,MD NOUN NOUN PUNCT,ADP NOUN NOUN PUNCT,MD IN NN NN .,True,True
