,correct_trigram_poss,count
513,VERB DET NOUN,248
484,VERB ADP DET,173
541,VERB PART VERB,105
487,VERB ADP PRON,87
501,VERB ADV VERB,62
577,VERB VERB DET,59
574,VERB VERB ADP,58
509,VERB DET ADJ,54
381,PRON VERB VERB,51
552,VERB PRON PUNCT,49
208,DET ADJ NOUN,47
36,ADJ NOUN PUNCT,46
543,VERB PRON ADP,46
485,VERB ADP NOUN,46
373,PRON VERB ADV,42
78,ADP DET NOUN,41
553,VERB PRON VERB,40
5,ADJ ADP DET,39
580,VERB VERB PART,38
521,VERB NOUN ADP,36
581,VERB VERB PRON,35
28,ADJ NOUN ADP,33
573,VERB VERB ADJ,32
528,VERB NOUN PUNCT,32
374,PRON VERB DET,30
338,PART VERB DET,30
335,PART VERB ADP,29
491,VERB ADV ADJ,29
55,ADJ PUNCT _,29
575,VERB VERB ADV,28
475,VERB ADJ NOUN,27
582,VERB VERB PUNCT,27
544,VERB PRON ADV,26
8,ADJ ADP PRON,24
583,VERB VERB VERB,24
39,ADJ PART VERB,24
164,ADV PUNCT _,24
571,VERB PUNCT _,24
546,VERB PRON DET,23
122,ADV ADJ PUNCT,22
567,VERB PUNCT PRON,21
500,VERB ADV PUNCT,21
371,PRON VERB ADJ,20
470,PUNCT _ _,20
549,VERB PRON PART,20
126,ADV ADP DET,19
46,ADJ PUNCT CCONJ,19
492,VERB ADV ADP,18
493,VERB ADV ADV,18
372,PRON VERB ADP,18
222,DET NOUN ADP,17
533,VERB NUM NOUN,17
50,ADJ PUNCT PRON,17
178,AUX ADV VERB,17
479,VERB ADJ PUNCT,17
160,ADV PUNCT PRON,17
152,ADV PRON VERB,17
461,PUNCT VERB ADP,16
342,PART VERB PRON,16
472,VERB ADJ ADP,16
34,ADJ NOUN PRON,16
98,ADP PRON VERB,15
512,VERB DET DET,15
120,ADV ADJ NOUN,15
167,ADV VERB ADV,15
213,DET ADV ADJ,14
432,PUNCT ADV PRON,14
229,DET NOUN VERB,14
147,ADV DET NOUN,14
16,ADJ CCONJ ADJ,14
228,DET NOUN PUNCT,13
30,ADJ NOUN CCONJ,13
488,VERB ADP PROPN,13
176,ADV _ _,13
169,ADV VERB DET,12
166,ADV VERB ADP,12
281,NOUN NOUN PUNCT,12
540,VERB PART PUNCT,12
561,VERB PUNCT ADV,12
225,DET NOUN NOUN,11
523,VERB NOUN CCONJ,11
302,NOUN PUNCT _,11
441,PUNCT CCONJ PRON,11
495,VERB ADV DET,11
344,PART VERB PUNCT,11
48,ADJ PUNCT NOUN,11
428,PUNCT ADV ADV,10
535,VERB PART ADP,10
311,NOUN VERB VERB,10
578,VERB VERB NOUN,10
173,ADV VERB PRON,10
433,PUNCT ADV PUNCT,10
548,VERB PRON NOUN,9
37,ADJ NOUN VERB,9
175,ADV VERB VERB,9
499,VERB ADV PRON,9
45,ADJ PUNCT ADV,9
510,VERB DET ADP,9
111,ADP VERB DET,9
296,NOUN PUNCT NOUN,9
165,ADV VERB ADJ,9
321,NUM PUNCT NUM,9
163,ADV PUNCT VERB,9
563,VERB PUNCT DET,9
288,NOUN PRON VERB,8
463,PUNCT VERB DET,8
174,ADV VERB PUNCT,8
377,PRON VERB PART,8
542,VERB PRON ADJ,8
466,PUNCT VERB PRON,8
380,PRON VERB PUNCT,8
560,VERB PUNCT ADP,8
256,NOUN ADP DET,8
198,CCONJ PRON VERB,8
59,ADP ADJ NOUN,8
47,ADJ PUNCT DET,8
234,DET PROPN PROPN,8
427,PUNCT ADV ADP,8
334,PART VERB ADJ,8
41,ADJ PRON VERB,8
545,VERB PRON CCONJ,8
247,DET VERB VERB,8
340,PART VERB NOUN,8
451,PUNCT PRON VERB,8
157,ADV PUNCT DET,7
131,ADV ADP VERB,7
298,NOUN PUNCT PRON,7
10,ADJ ADP VERB,7
242,DET VERB ADV,7
538,VERB PART DET,7
345,PART VERB VERB,7
526,VERB NOUN PART,7
486,VERB ADP NUM,7
336,PART VERB ADV,7
550,VERB PRON PRON,7
44,ADJ PUNCT ADP,7
263,NOUN ADV PUNCT,7
480,VERB ADP ADJ,7
106,ADP PUNCT PRON,7
268,NOUN CCONJ NOUN,7
490,VERB ADP VERB,6
170,ADV VERB NOUN,6
529,VERB NOUN VERB,6
494,VERB ADV CCONJ,6
156,ADV PUNCT CCONJ,6
515,VERB DET PROPN,6
458,PUNCT PUNCT PRON,6
243,DET VERB DET,6
293,NOUN PUNCT ADV,6
31,ADJ NOUN DET,6
397,PROPN PART NOUN,6
109,ADP VERB ADP,6
21,ADJ CCONJ PRON,6
423,PUNCT ADJ NOUN,6
17,ADJ CCONJ ADV,6
566,VERB PUNCT PART,6
562,VERB PUNCT CCONJ,6
29,ADJ NOUN ADV,6
559,VERB PROPN PUNCT,5
223,DET NOUN ADV,5
115,ADP VERB PRON,5
180,CCONJ ADJ NOUN,5
453,PUNCT PROPN PUNCT,5
434,PUNCT ADV VERB,5
508,VERB CCONJ VERB,5
221,DET NOUN ADJ,5
257,NOUN ADP NOUN,5
76,ADP DET ADJ,5
189,CCONJ DET NOUN,5
227,DET NOUN PRON,5
565,VERB PUNCT NOUN,5
482,VERB ADP ADV,5
360,PRON DET NOUN,5
518,VERB DET VERB,5
444,PUNCT DET VERB,5
149,ADV NOUN VERB,5
161,ADV PUNCT PROPN,5
410,PROPN PUNCT DET,5
151,ADV PART VERB,5
464,PUNCT VERB NOUN,5
310,NOUN VERB PUNCT,5
306,NOUN VERB DET,5
155,ADV PUNCT ADV,5
303,NOUN VERB ADJ,5
276,NOUN NOUN ADP,5
353,PRON ADV PRON,5
455,PUNCT PUNCT ADP,5
576,VERB VERB CCONJ,5
128,ADV ADP PRON,5
489,VERB ADP PUNCT,4
259,NOUN ADP PROPN,4
89,ADP NUM NOUN,4
86,ADP NOUN PUNCT,4
481,VERB ADP ADP,4
226,DET NOUN PART,4
305,NOUN VERB ADV,4
81,ADP DET PUNCT,4
341,PART VERB PART,4
304,NOUN VERB ADP,4
71,ADP ADV VERB,4
38,ADJ NOUN _,4
6,ADJ ADP NOUN,4
300,NOUN PUNCT VERB,4
424,PUNCT ADP DET,4
14,ADJ ADV PRON,4
43,ADJ PUNCT ADJ,4
295,NOUN PUNCT DET,4
294,NOUN PUNCT CCONJ,4
1,ADJ ADJ NOUN,4
271,NOUN CCONJ VERB,4
232,DET PRON VERB,4
317,NUM NUM NOUN,4
376,PRON VERB NUM,4
527,VERB NOUN PRON,4
117,ADV ADJ ADP,4
366,PRON PUNCT CCONJ,4
154,ADV PUNCT ADP,4
141,ADV CCONJ ADV,4
438,PUNCT CCONJ DET,4
162,ADV PUNCT PUNCT,4
138,ADV ADV PUNCT,4
137,ADV ADV PRON,4
112,ADP VERB NOUN,4
445,PUNCT INTJ PUNCT,4
355,PRON ADV VERB,4
520,VERB NOUN ADJ,4
439,PUNCT CCONJ NOUN,4
354,PRON ADV PUNCT,4
33,ADJ NOUN PART,3
299,NOUN PUNCT PUNCT,3
52,ADJ PUNCT PUNCT,3
258,NOUN ADP PRON,3
425,PUNCT ADP NOUN,3
92,ADP PART VERB,3
364,PRON PRON VERB,3
570,VERB PUNCT VERB,3
183,CCONJ ADV ADJ,3
524,VERB NOUN DET,3
331,PART PUNCT PRON,3
32,ADJ NOUN NOUN,3
118,ADV ADJ ADV,3
473,VERB ADJ ADV,3
274,NOUN DET VERB,3
119,ADV ADJ CCONJ,3
121,ADV ADJ PART,3
127,ADV ADP NOUN,3
378,PRON VERB PRON,3
134,ADV ADV ADV,3
477,VERB ADJ PART,3
462,PUNCT VERB ADV,3
287,NOUN PART VERB,3
132,ADV ADV ADJ,3
292,NOUN PUNCT ADP,3
139,ADV ADV VERB,3
