,error_type,count
43,RV,529
48,TV,476
45,S,471
16,FV,309
29,MP,194
24,MA,168
40,RP,144
3,AGV,131
58,W,130
34,R,118
38,RJ,115
32,MV,92
21,IV,92
26,MD,84
23,M,81
44,RY,81
31,MT,77
56,UV,68
47,SX,68
9,DJ,64
12,DY,59
57,UY,47
33,MY,35
36,RC,29
4,AS,27
28,MN,27
11,DV,26
25,MC,21
18,ID,19
10,DN,19
59,X,18
19,IJ,18
14,FJ,16
49,U,16
53,UN,16
46,SA,14
52,UJ,14
54,UP,12
42,RT,12
51,UC,11
17,FY,11
55,UT,9
30,MQ,9
22,L,9
39,RN,9
35,RA,8
37,RD,7
7,CQ,6
2,AGQ,5
1,AGN,4
6,CN,3
27,MJ,3
41,RQ,2
50,UA,2
15,FN,2
5,CL,2
20,IN,1
8,DA,1
13,FA,1
0,AGA,1
