,incorrect_trigram_poss,correct_trigram_poss,count
1179,VERB DET NOUN,VERB DET NOUN,216
986,VERB ADP DET,VERB ADP DET,135
1018,VERB ADP PRON,VERB ADP PRON,80
1303,VERB PART VERB,VERB PART VERB,80
1138,VERB DET ADJ,VERB DET ADJ,44
1313,VERB PRON ADP,VERB PRON ADP,43
118,ADJ NOUN PUNCT,ADJ NOUN PUNCT,39
999,VERB ADP NOUN,VERB ADP NOUN,39
1351,VERB PRON PUNCT,VERB PRON PUNCT,37
1369,VERB PRON VERB,VERB PRON VERB,36
1482,VERB VERB DET,VERB VERB DET,36
1451,VERB VERB ADP,VERB VERB ADP,33
13,ADJ ADP DET,ADJ ADP DET,31
1216,VERB NOUN ADP,VERB NOUN ADP,29
69,ADJ NOUN ADP,ADJ NOUN ADP,27
1325,VERB PRON ADV,VERB PRON ADV,25
1257,VERB NOUN PUNCT,VERB NOUN PUNCT,25
1105,VERB ADV VERB,VERB ADV VERB,22
1499,VERB VERB PART,VERB VERB PART,22
946,VERB ADJ NOUN,VERB ADJ NOUN,21
123,ADJ NOUN PUNCT,DET ADJ NOUN,21
24,ADJ ADP PRON,ADJ ADP PRON,21
148,ADJ PART VERB,ADJ PART VERB,20
1332,VERB PRON DET,VERB PRON DET,20
240,ADV ADJ PUNCT,ADV ADJ PUNCT,20
1432,VERB VERB ADJ,VERB VERB ADJ,20
1041,VERB ADV ADJ,VERB ADV ADJ,19
186,ADJ PUNCT _,ADJ PUNCT _,18
1040,VERB ADV ADJ,PRON VERB ADV,18
1172,VERB DET NOUN,PART VERB DET,17
1424,VERB PUNCT _,VERB PUNCT _,17
429,ADV PUNCT _,ADV PUNCT _,17
1407,VERB PUNCT PRON,VERB PUNCT PRON,16
1506,VERB VERB PRON,VERB VERB PRON,16
1338,VERB PRON PART,VERB PRON PART,16
1136,VERB DET ADJ,PRON VERB DET,15
1462,VERB VERB ADV,VERB VERB ADV,15
1159,VERB DET DET,VERB DET DET,15
1514,VERB VERB PUNCT,VERB VERB PUNCT,15
1304,VERB PART VERB,VERB VERB PART,15
1100,VERB ADV VERB,AUX ADV VERB,15
177,ADJ PUNCT PRON,ADJ PUNCT PRON,15
111,ADJ NOUN PRON,ADJ NOUN PRON,14
1271,VERB NUM NOUN,VERB NUM NOUN,13
1365,VERB PRON VERB,PRON VERB VERB,13
89,ADJ NOUN CCONJ,ADJ NOUN CCONJ,13
226,ADV ADJ NOUN,DET ADV ADJ,13
1089,VERB ADV PUNCT,VERB ADV PUNCT,13
1185,VERB DET NOUN,VERB VERB DET,12
1056,VERB ADV ADV,VERB ADV ADV,12
167,ADJ PUNCT CCONJ,ADJ PUNCT CCONJ,12
493,ADV _ _,ADV _ _,12
646,PART VERB ADP,VERB ADP DET,12
419,ADV PUNCT PRON,ADV PUNCT PRON,12
489,ADV VERB VERB,VERB ADV VERB,12
929,VERB ADJ ADP,VERB ADJ ADP,11
960,VERB ADJ PUNCT,VERB ADJ PUNCT,11
1169,VERB DET NOUN,DET NOUN VERB,11
1234,VERB NOUN CCONJ,VERB NOUN CCONJ,11
40,ADJ CCONJ ADJ,ADJ CCONJ ADJ,11
983,VERB ADP DET,PUNCT VERB ADP,10
1444,VERB VERB ADP,VERB ADP DET,10
388,ADV PRON VERB,PUNCT ADV PRON,10
1527,VERB VERB VERB,VERB VERB VERB,10
1066,VERB ADV DET,VERB ADV DET,10
256,ADV ADP DET,ADV ADP DET,10
608,NUM NUM NOUN,NUM PUNCT NUM,9
669,PART VERB DET,VERB DET NOUN,9
332,ADV DET NOUN,ADV DET NOUN,9
1049,VERB ADV ADP,VERB ADV ADP,9
137,ADJ NOUN VERB,ADJ NOUN VERB,9
1027,VERB ADP PROPN,VERB ADP PROPN,8
1173,VERB DET NOUN,PRON VERB DET,8
1388,VERB PUNCT ADV,VERB PUNCT ADV,8
990,VERB ADP DET,VERB VERB ADP,8
1328,VERB PRON CCONJ,VERB PRON CCONJ,8
1291,VERB PART PUNCT,VERB PART PUNCT,8
980,VERB ADP DET,PART VERB ADP,8
1533,_ _ _,PUNCT _ _,7
1175,VERB DET NOUN,PUNCT VERB DET,7
1439,VERB VERB ADP,PRON VERB VERB,7
377,ADV PRON VERB,ADV PRON VERB,7
127,ADJ NOUN PUNCT,NOUN NOUN PUNCT,7
170,ADJ PUNCT DET,ADJ PUNCT DET,7
296,ADV ADV DET,PUNCT ADV ADV,7
553,CCONJ PRON VERB,PUNCT CCONJ PRON,7
1395,VERB PUNCT DET,VERB PUNCT DET,7
1144,VERB DET ADP,VERB DET ADP,7
1242,VERB NOUN PART,VERB NOUN PART,7
446,ADV VERB ADV,ADV VERB ADV,7
222,ADV ADJ NOUN,ADV ADJ NOUN,7
1163,VERB DET NOUN,ADP VERB DET,7
890,PUNCT PRON VERB,ADP PUNCT PRON,7
1382,VERB PUNCT ADP,VERB PUNCT ADP,7
1341,VERB PRON PRON,VERB PRON PRON,7
1360,VERB PRON VERB,PRON VERB ADP,6
435,ADV PUNCT _,PUNCT _ _,6
898,PUNCT PRON VERB,PUNCT PUNCT PRON,6
1012,VERB ADP PRON,ADP VERB ADP,6
1261,VERB NOUN VERB,VERB NOUN VERB,6
32,ADJ ADP VERB,ADJ ADP VERB,6
154,ADJ PRON VERB,ADJ PRON VERB,6
162,ADJ PUNCT ADP,ADJ PUNCT ADP,6
1084,VERB ADV PRON,VERB ADV PRON,6
1335,VERB PRON NOUN,VERB PRON NOUN,6
1014,VERB ADP PRON,PART VERB ADP,6
165,ADJ PUNCT ADV,ADJ PUNCT ADV,6
570,INTJ PRON VERB,ADP PRON VERB,6
1279,VERB PART ADP,VERB PART ADP,6
545,CCONJ PRON VERB,CCONJ PRON VERB,6
928,VERB ADJ ADP,PRON VERB ADJ,5
1318,VERB PRON ADP,VERB VERB PRON,5
1474,VERB VERB DET,PRON VERB VERB,5
1044,VERB ADV ADJ,VERB VERB ADV,5
173,ADJ PUNCT NOUN,ADJ PUNCT NOUN,5
888,PUNCT PRON VERB,ADP DET NOUN,5
472,ADV VERB PRON,ADV VERB PRON,5
83,ADJ NOUN ADV,ADJ NOUN ADV,5
951,VERB ADJ PART,PRON VERB ADJ,5
457,ADV VERB DET,ADV VERB DET,5
214,ADV ADJ ADP,VERB ADV ADJ,5
1391,VERB PUNCT CCONJ,VERB PUNCT CCONJ,5
495,CCONJ ADJ NOUN,CCONJ ADJ NOUN,5
668,PART VERB DET,VERB DET ADJ,5
284,ADV ADP VERB,ADV ADP VERB,5
994,VERB ADP NOUN,PART VERB ADP,5
440,ADV VERB ADP,ADV VERB ADP,5
1488,VERB VERB NOUN,VERB VERB NOUN,5
