,incorrect_trigram_poss,error_type,count
1253,VERB DET NOUN,RV,83
1035,VERB ADP DET,RV,61
1256,VERB DET NOUN,TV,43
1254,VERB DET NOUN,S,42
1244,VERB DET NOUN,FV,39
1397,VERB PART VERB,TV,38
1591,VERB VERB ADP,TV,33
1038,VERB ADP DET,TV,28
1066,VERB ADP PRON,FV,25
1395,VERB PART VERB,RV,24
1617,VERB VERB DET,TV,23
1036,VERB ADP DET,S,22
1216,VERB DET ADJ,RV,22
1025,VERB ADP DET,FV,20
1068,VERB ADP PRON,IV,19
1097,VERB ADV ADJ,MA,18
1241,VERB DET NOUN,AGV,18
1409,VERB PRON ADP,RV,18
164,ADJ NOUN PUNCT,S,17
1075,VERB ADP PRON,RV,17
1210,VERB DET ADJ,MA,16
1246,VERB DET NOUN,IV,16
151,ADJ NOUN PUNCT,MD,16
729,PART VERB DET,FV,15
1639,VERB VERB PRON,TV,15
1484,VERB PRON VERB,RV,15
1077,VERB ADP PRON,TV,15
25,ADJ ADP DET,S,15
1412,VERB PRON ADP,TV,15
192,ADJ PART VERB,S,15
1291,VERB NOUN ADP,RV,15
1258,VERB DET NOUN,W,14
715,PART VERB ADP,FV,14
1396,VERB PART VERB,S,14
1489,VERB PRON VERB,UV,14
161,ADJ NOUN PUNCT,RJ,14
1630,VERB VERB PART,TV,14
280,ADV ADJ NOUN,MD,13
1338,VERB NOUN PUNCT,RV,13
96,ADJ NOUN ADP,RJ,13
1599,VERB VERB ADV,TV,13
1577,VERB VERB ADJ,TV,12
1247,VERB DET NOUN,MA,12
1179,VERB ADV VERB,TV,12
1490,VERB PRON VERB,W,12
1469,VERB PRON PUNCT,S,12
1044,VERB ADP NOUN,FV,12
1054,VERB ADP NOUN,RV,12
98,ADJ NOUN ADP,S,11
984,VERB ADJ NOUN,RV,11
1565,VERB PUNCT _,RV,11
1178,VERB ADV VERB,RV,11
574,ADV VERB VERB,W,11
1468,VERB PRON PUNCT,RV,11
1415,VERB PRON ADV,FV,11
1030,VERB ADP DET,MP,10
1027,VERB ADP DET,IV,10
1615,VERB VERB DET,RV,10
1076,VERB ADP PRON,S,10
1177,VERB ADV VERB,RP,10
434,ADV PRON VERB,MP,10
