,error_type,count
53,S,424
50,RT,393
56,TV,272
51,RV,265
37,MP,218
22,FV,180
42,R,151
47,RN,128
68,W,127
48,RP,108
32,MA,105
34,MD,103
65,UT,99
39,MT,89
55,SX,78
3,AGN,78
43,RA,68
5,AGV,65
46,RJ,62
40,MV,61
52,RY,46
31,M,44
25,ID,41
29,IV,40
17,DY,38
13,DJ,36
21,FN,33
66,UV,33
57,U,31
58,UA,29
60,UD,29
14,DN,28
67,UY,27
62,UN,24
41,MY,16
33,MC,16
44,RC,15
6,AS,15
36,MN,15
38,MQ,15
16,DV,14
69,X,14
45,RD,13
49,RQ,13
54,SA,12
26,IJ,12
10,DA,12
20,FJ,11
59,UC,9
63,UP,7
2,AGD,7
11,DD,6
28,IQ,5
27,IN,5
1,AGA,5
8,CN,5
61,UJ,5
30,L,5
64,UQ,4
35,MJ,4
4,AGQ,2
24,IA,1
23,FY,1
19,FD,1
18,FA,1
15,DT,1
12,DI,1
9,CQ,1
7,CL,1
0,AG,1
