,incorrect_trigram_poss,count
30,ADP DET NOUN,411
171,NOUN ADP DET,160
130,DET NOUN PUNCT,115
334,PRON VERB VERB,112
257,NOUN PUNCT _,110
64,ADP PRON VERB,104
99,DET ADJ NOUN,103
252,NOUN PUNCT PRON,96
25,ADP DET ADJ,95
122,DET NOUN ADP,91
172,NOUN ADP NOUN,90
220,NOUN NOUN PUNCT,86
244,NOUN PUNCT ADP,72
325,PRON VERB ADV,72
237,NOUN PRON VERB,68
131,DET NOUN VERB,67
175,NOUN ADP PRON,60
269,NOUN VERB VERB,53
247,NOUN PUNCT DET,50
246,NOUN PUNCT CCONJ,47
212,NOUN NOUN ADP,46
45,ADP NOUN PUNCT,45
124,DET NOUN CCONJ,38
37,ADP NOUN ADP,38
230,NOUN PART VERB,37
63,ADP PRON PUNCT,37
65,ADP PROPN ADP,37
245,NOUN PUNCT ADV,34
324,PRON VERB ADP,34
259,NOUN VERB ADP,33
327,PRON VERB DET,33
176,NOUN ADP PROPN,32
198,NOUN CCONJ PRON,29
128,DET NOUN PRON,28
260,NOUN VERB ADV,28
55,ADP PART VERB,28
210,NOUN DET VERB,27
123,DET NOUN ADV,27
126,DET NOUN NOUN,27
196,NOUN CCONJ NOUN,26
39,ADP NOUN CCONJ,26
154,DET VERB DET,23
5,ADP ADJ NOUN,22
278,PRON ADP PRON,22
119,DET DET NOUN,22
330,PRON VERB PART,21
249,NOUN PUNCT NOUN,21
201,NOUN CCONJ VERB,21
195,NOUN CCONJ DET,21
331,PRON VERB PRON,20
152,DET VERB ADV,20
323,PRON VERB ADJ,20
214,NOUN NOUN CCONJ,19
33,ADP DET PROPN,19
160,DET VERB VERB,17
262,NOUN VERB DET,17
258,NOUN VERB ADJ,17
188,NOUN ADV PUNCT,16
116,DET ADV _,16
254,NOUN PUNCT PUNCT,16
255,NOUN PUNCT VERB,16
221,NOUN NOUN VERB,15
168,NOUN ADP ADJ,15
125,DET NOUN DET,15
227,NOUN PART NOUN,15
213,NOUN NOUN ADV,15
178,NOUN ADP VERB,14
71,ADP PROPN PROPN,14
95,AUX ADV VERB,14
333,PRON VERB PUNCT,13
301,PRON DET NOUN,13
11,ADP ADP DET,13
206,NOUN DET NOUN,13
155,DET VERB NOUN,12
194,NOUN CCONJ ADV,12
110,DET ADV ADJ,12
207,NOUN DET PRON,12
136,DET PRON VERB,11
293,PRON AUX VERB,11
181,NOUN ADV ADP,11
115,DET ADV PUNCT,11
265,NOUN VERB PART,11
328,PRON VERB NOUN,10
142,DET PROPN PROPN,10
310,PRON PART VERB,10
266,NOUN VERB PRON,10
276,PRON ADP DET,10
87,ADP VERB DET,10
85,ADP VERB ADP,10
35,ADP DET VERB,10
46,ADP NOUN VERB,10
51,ADP NUM NOUN,10
192,NOUN CCONJ ADJ,10
43,ADP NOUN PRON,10
58,ADP PRON CCONJ,9
151,DET VERB ADP,9
103,DET ADJ PUNCT,9
219,NOUN NOUN PRON,9
32,ADP DET PRON,9
288,PRON ADV VERB,9
287,PRON ADV PUNCT,9
169,NOUN ADP ADP,9
187,NOUN ADV PRON,8
182,NOUN ADV ADV,8
29,ADP DET DET,8
34,ADP DET PUNCT,8
314,PRON PRON VERB,8
127,DET NOUN PART,8
319,PRON PUNCT PRON,8
