,incorrect_trigram_poss,correct_trigram_poss,count
102,ADP DET NOUN,ADP DET NOUN,269
764,NOUN ADP DET,NOUN ADP DET,112
1121,NOUN PUNCT _,NOUN PUNCT _,75
72,ADP DET ADJ,ADP DET ADJ,67
1092,NOUN PUNCT PRON,NOUN PUNCT PRON,63
783,NOUN ADP NOUN,NOUN ADP NOUN,56
1034,NOUN PRON VERB,NOUN PRON VERB,45
1050,NOUN PUNCT ADP,NOUN PUNCT ADP,40
1395,PRON VERB VERB,PUNCT PRON VERB,38
1174,NOUN VERB VERB,NOUN VERB VERB,38
1075,NOUN PUNCT DET,NOUN PUNCT DET,36
599,DET NOUN PUNCT,DET NOUN PUNCT,33
332,ADP PROPN ADP,ADP PROPN ADP,32
811,NOUN ADP PRON,NOUN ADP PRON,32
976,NOUN NOUN PUNCT,NOUN NOUN PUNCT,31
417,DET ADJ NOUN,DET ADJ NOUN,30
1067,NOUN PUNCT CCONJ,NOUN PUNCT CCONJ,30
498,DET NOUN ADP,DET NOUN ADP,28
295,ADP PRON PUNCT,ADP PRON PUNCT,27
1325,PRON VERB ADV,PUNCT PRON VERB,27
1015,NOUN PART VERB,NOUN PART VERB,26
593,DET NOUN PUNCT,ADP DET NOUN,23
1060,NOUN PUNCT ADV,NOUN PUNCT ADV,23
1137,NOUN VERB ADP,NOUN VERB ADP,23
891,NOUN CCONJ PRON,NOUN CCONJ PRON,23
972,NOUN NOUN PUNCT,ADJ NOUN PUNCT,22
329,ADP PRON VERB,PUNCT ADP PRON,22
1394,PRON VERB VERB,PRON VERB VERB,22
1080,NOUN PUNCT NOUN,NOUN PUNCT NOUN,20
628,DET NOUN VERB,DET NOUN VERB,19
821,NOUN ADP PROPN,NOUN ADP PROPN,19
313,ADP PRON VERB,ADP PRON VERB,19
1047,NOUN PUNCT ADP,DET NOUN PUNCT,18
411,DET ADJ NOUN,ADJ NOUN PUNCT,18
163,ADP DET PROPN,ADP DET PROPN,18
925,NOUN DET VERB,NOUN DET VERB,18
881,NOUN CCONJ DET,NOUN CCONJ DET,18
493,DET NOUN ADP,ADP DET NOUN,17
322,ADP PRON VERB,PRON ADP PRON,17
1309,PRON VERB ADP,PUNCT PRON VERB,17
225,ADP NOUN PUNCT,ADP NOUN PUNCT,16
763,NOUN ADP DET,DET NOUN ADP,16
175,ADP NOUN ADP,ADP NOUN ADP,15
414,DET ADJ NOUN,ADP DET ADJ,15
885,NOUN CCONJ NOUN,NOUN CCONJ NOUN,15
1143,NOUN VERB ADV,NOUN VERB ADV,15
143,ADP DET NOUN,PUNCT ADP DET,14
127,ADP DET NOUN,DET NOUN PUNCT,13
940,NOUN NOUN ADP,NOUN NOUN ADP,13
1194,PRON ADP PRON,ADP PRON ADP,12
10,ADP ADJ NOUN,ADP ADJ NOUN,12
1128,NOUN VERB ADJ,NOUN VERB ADJ,12
120,ADP DET NOUN,DET NOUN ADP,12
347,ADP PROPN PROPN,ADP PROPN PROPN,11
746,NOUN ADP ADJ,NOUN ADP ADJ,11
1324,PRON VERB ADV,PRON VERB ADV,11
149,ADP DET NOUN,VERB DET NOUN,11
706,DET VERB DET,PUNCT DET VERB,11
611,DET NOUN PUNCT,NOUN PUNCT _,10
856,NOUN ADV PUNCT,NOUN ADV PUNCT,10
1110,NOUN PUNCT VERB,NOUN PUNCT VERB,10
810,NOUN ADP PRON,DET NOUN ADP,10
1366,PRON VERB PRON,PUNCT PRON VERB,10
528,DET NOUN ADV,PRON DET NOUN,9
316,ADP PRON VERB,ADV PRON VERB,9
199,ADP NOUN CCONJ,PUNCT ADP NOUN,9
917,NOUN DET PRON,NOUN DET PRON,9
834,NOUN ADP VERB,NOUN ADP VERB,9
501,DET NOUN ADP,NOUN ADP DET,9
395,AUX ADV VERB,AUX ADV VERB,9
974,NOUN NOUN PUNCT,DET NOUN NOUN,9
1091,NOUN PUNCT PRON,DET NOUN PUNCT,9
898,NOUN CCONJ VERB,NOUN CCONJ VERB,9
1101,NOUN PUNCT PUNCT,NOUN PUNCT PUNCT,9
637,DET NOUN VERB,NOUN VERB VERB,8
643,DET NOUN VERB,PUNCT DET NOUN,8
1400,PRON VERB VERB,VERB PRON VERB,8
464,DET ADV _,PRON ADV _,8
191,ADP NOUN CCONJ,ADP NOUN CCONJ,8
932,NOUN NOUN ADP,ADJ NOUN ADP,8
461,DET ADV PUNCT,DET ADV PUNCT,8
1300,PRON VERB ADJ,PUNCT PRON VERB,8
1311,PRON VERB ADV,ADP PRON VERB,8
378,ADP VERB DET,ADP VERB DET,8
1032,NOUN PRON VERB,DET NOUN PRON,8
936,NOUN NOUN ADP,DET NOUN NOUN,8
533,DET NOUN CCONJ,DET NOUN CCONJ,8
1338,PRON VERB DET,PUNCT PRON VERB,8
1230,PRON AUX VERB,PRON AUX VERB,8
843,NOUN ADV ADV,NOUN ADV ADV,8
1359,PRON VERB PART,PUNCT PRON VERB,8
701,DET VERB ADV,PUNCT DET VERB,7
264,ADP PART VERB,PART VERB ADP,7
514,DET NOUN ADP,PRON NOUN ADP,7
1140,NOUN VERB ADV,DET NOUN VERB,7
139,ADP DET NOUN,PRON ADP DET,7
850,NOUN ADV PRON,NOUN ADV PRON,7
1120,NOUN PUNCT _,DET NOUN PUNCT,7
1336,PRON VERB DET,PRON VERB DET,7
538,DET NOUN CCONJ,NOUN CCONJ NOUN,7
582,DET NOUN PRON,DET NOUN PRON,7
412,DET ADJ NOUN,ADJ NOUN VERB,7
782,NOUN ADP NOUN,DET NOUN ADP,7
1159,NOUN VERB PART,NOUN VERB PART,7
463,DET ADV _,DET ADV _,7
1189,PRON ADP DET,ADP PRON ADP,7
1163,NOUN VERB PRON,NOUN VERB PRON,7
608,DET NOUN PUNCT,NOUN PUNCT PRON,7
875,NOUN CCONJ ADV,NOUN CCONJ ADV,7
993,NOUN NOUN VERB,NOUN NOUN VERB,6
436,DET ADJ PUNCT,ADP DET ADJ,6
236,ADP NOUN PUNCT,PUNCT ADP NOUN,6
871,NOUN CCONJ ADP,NOUN CCONJ ADP,6
279,ADP PRON CCONJ,ADP PRON CCONJ,6
267,ADP PART VERB,PART VERB DET,6
1030,NOUN PRON VERB,ADP PRON VERB,6
164,ADP DET PUNCT,ADP DET PUNCT,6
704,DET VERB DET,DET VERB DET,6
883,NOUN CCONJ NOUN,DET NOUN CCONJ,6
1149,NOUN VERB DET,DET NOUN VERB,6
557,DET NOUN NOUN,ADP DET NOUN,6
1256,PRON NOUN PUNCT,DET NOUN PUNCT,6
633,DET NOUN VERB,NOUN VERB ADV,6
1151,NOUN VERB DET,NOUN VERB DET,6
407,DET ADJ NOUN,ADJ NOUN ADP,6
1014,NOUN PART VERB,DET NOUN PART,5
126,ADP DET NOUN,DET NOUN PRON,5
1308,PRON VERB ADP,PRON VERB ADP,5
371,ADP VERB ADP,ADP VERB ADP,5
1318,PRON VERB ADV,DET VERB ADV,5
1171,NOUN VERB VERB,DET NOUN VERB,5
800,NOUN ADP NUM,NOUN ADP NUM,5
1072,NOUN PUNCT DET,DET NOUN PUNCT,5
1070,NOUN PUNCT CCONJ,VERB PUNCT CCONJ,5
85,ADP DET ADJ,PUNCT ADP DET,5
1066,NOUN PUNCT CCONJ,DET NOUN PUNCT,5
839,NOUN ADV ADP,DET NOUN ADV,5
724,DET VERB VERB,PRON VERB VERB,5
725,DET VERB VERB,PUNCT DET VERB,5
955,NOUN NOUN CCONJ,NOUN NOUN CCONJ,5
604,DET NOUN PUNCT,NOUN PUNCT CCONJ,5
