,incorrect_trigram_penn,count
121,IN DT NN,256
277,NN IN DT,90
156,IN PRP$ NN,84
264,NN . _,77
608,VB DT NN,71
441,PRP MD VB,69
280,NN IN NN,50
122,IN DT NNS,49
835,VBP TO VB,44
615,VB IN DT,42
209,JJ NN IN,38
668,VBD DT NN,37
256,"NN , IN",37
144,IN NNP IN,37
714,VBG DT NN,33
312,NN TO VB,31
136,IN NN IN,30
282,NN IN NNS,29
794,VBP DT NN,28
207,"JJ NN ,",28
196,JJ IN DT,28
162,IN TO VB,28
188,JJ . _,27
508,RB . _,27
297,NN NN IN,26
281,NN IN NNP,26
216,JJ TO VB,26
639,VB PRP$ NN,25
583,TO VB IN,25
581,TO VB DT,24
240,MD VB DT,24
70,DT NN CC,21
241,MD VB IN,21
150,"IN PRP ,",19
151,IN PRP .,18
516,RB IN DT,18
158,IN PRP$ NNS,16
691,VBD TO VB,16
522,RB JJ .,16
879,VBZ RB JJ,16
544,RB TO VB,15
382,"NNS , IN",15
295,NN MD VB,15
717,VBG IN NN,14
781,VBN TO VB,14
856,VBZ DT NN,13
255,"NN , DT",13
462,PRP VBP IN,13
739,VBG TO VB,13
733,VBG PRP$ NN,13
894,WDT NN IN,12
75,DT NN RB,12
259,"NN , RB",12
250,MD VB TO,12
269,NN CC DT,12
683,VBD PRP$ NN,12
484,PRP$ NN .,12
133,IN JJ NN,12
130,IN IN DT,11
66,DT JJ NNS,11
646,VB TO VB,11
456,PRP VBD IN,11
455,PRP VBD DT,11
304,NN NNS IN,11
859,VBZ IN DT,11
528,RB MD VB,11
720,VBG IN PRP$,11
448,PRP TO VB,10
631,VB PRP DT,10
636,VB PRP RB,10
912,WRB PRP VBD,10
640,VB PRP$ NNS,10
324,NN VBZ IN,10
300,NN NN RB,10
723,VBG NN IN,10
139,IN NN PRP,9
829,VBP RB JJ,9
431,PDT DT NN,9
152,IN PRP CC,9
586,TO VB RB,9
900,WDT VBZ DT,9
491,PRP$ NN RB,9
520,"RB JJ ,",9
263,NN . IN,9
540,RB RB DT,9
155,IN PRP VBZ,9
757,VBN DT NN,9
918,_ _ _,9
619,VB IN PRP$,9
609,VB DT NNS,9
524,RB JJ IN,8
315,NN VBD IN,8
434,PRP . _,8
627,VB NN IN,8
468,PRP VBZ DT,8
115,IN CD NNS,8
486,PRP$ NN IN,8
616,VB IN NN,8
389,NNS CC DT,8
577,TO VB .,8
795,VBP DT NNS,8
412,NNS PRP VBP,7
482,PRP$ JJ NN,7
867,VBZ JJ TO,7
776,VBN PRP$ NN,7
695,VBD VBG IN,7
36,CC PRP VBD,7
824,VBP PRP$ NN,7
253,NN '' IN,7
750,VBN . _,7
323,NN VBZ DT,7
687,VBD RB DT,7
165,IN VBG IN,7
248,MD VB RB,7
485,PRP$ NN CC,7
715,VBG DT NNS,7
800,VBP IN PRP$,7
168,IN WDT NN,6
395,NNS IN NN,6
396,NNS IN NNP,6
279,NN IN IN,6
408,NNS NNS .,6
822,VBP PRP VBP,6
409,NNS NNS IN,6
645,"VB RP ,",6
430,NNS WDT PRP,6
761,VBN IN NN,6
818,VBP PRP .,6
820,VBP PRP DT,6
476,PRP VBZ VBN,6
844,VBP VBN IN,6
469,PRP VBZ IN,6
316,NN VBD JJ,6
536,RB PRP VBD,6
817,"VBP PRP ,",6
669,VBD DT NNS,6
330,NN WDT PRP,6
675,VBD JJ IN,5
21,. RB PRP,5
374,NNP VBZ NN,5
62,DT IN DT,5
299,NN NN PRP,5
173,"JJ , DT",5
349,NNP IN DT,5
363,NNP PRP VBD,5
625,VB JJ IN,5
187,JJ . RB,5
117,"IN DT ,",5
603,VB . _,5
887,VBZ VBN DT,5
762,VBN IN NNP,5
504,"RB , DT",5
541,RB RB JJ,5
712,VBG CD NNS,5
417,NNS TO VB,5
769,VBN NN IN,5
672,VBD IN PRP$,5
397,NNS IN NNS,5
909,WRB DT NN,4
888,VBZ VBN IN,4
732,VBG PRP VBP,4
736,VBG RB IN,4
211,JJ NNS IN,4
877,VBZ RB DT,4
681,VBD PRP DT,4
682,VBD PRP VBP,4
864,VBZ JJ .,4
713,VBG DT IN,4
866,VBZ JJ IN,4
673,"VBD JJ ,",4
199,JJ IN NN,4
307,NN PRP VBZ,4
310,NN RB JJ,4
518,RB IN NNP,4
808,VBP NN IN,4
505,"RB , IN",4
498,PRP$ RB .,4
497,"PRP$ RB ,",4
610,VB DT PRP$,4
617,VB IN NNP,4
483,"PRP$ NN ,",4
460,PRP VBP .,4
546,RB VB DT,4
549,RB VBD RB,4
437,PRP DT NNS,4
628,VB NN RB,4
633,VB PRP NN,4
764,VBN IN PRP$,4
390,NNS CC IN,4
792,VBP CD NNS,4
388,NNS . IN,4
385,"NNS , RB",4
642,VB RB IN,4
336,"NNP , IN",4
838,VBP VBG DT,4
839,VBP VBG IN,4
845,VBP VBN PRP$,4
311,NN RB PRP,4
585,TO VB NNS,4
0,'' IN DT,4
175,"JJ , IN",4
71,DT NN DT,4
98,DT VBZ DT,4
12,", RB PRP",4
56,CD NNS IN,4
119,IN DT CD,4
123,IN DT PRP,4
120,IN DT IN,4
183,JJ . IN,4
126,IN DT VBZ,4
48,CD IN NNP,4
77,"DT NNP ,",4
161,IN RB PRP,3
318,NN VBD TO,3
676,VBD NN IN,3
637,VB PRP VB,3
638,VB PRP VBD,3
67,DT MD VB,3
306,NN NNS RB,3
61,DT CD NNS,3
405,NNS NN IN,3
319,NN VBG IN,3
60,DT . _,3
559,RB VBN IN,3
680,VBD PRP CC,3
325,NN VBZ JJ,3
686,VBD RB .,3
688,VBD RB IN,3
698,VBD VBN DT,3
700,VBD VBN NN,3
702,VBD VBN PRP$,3
703,VBD VBN RB,3
709,VBG . _,3
180,JJ . CC,3
718,VBG IN NNP,3
727,VBG NNS IN,3
159,IN RB IN,3
576,"TO VB ,",3
83,DT NNS RB,3
514,RB DT NNS,3
423,NNS VBP IN,3
429,NNS WDT DT,3
140,IN NN RB,3
394,NNS IN IN,3
143,"IN NNP ,",3
145,IN NNP PRP,3
451,PRP VB .,3
381,"NNS , DT",3
467,PRP VBZ CD,3
470,PRP VBZ NN,3
376,NNP VBZ PRP$,3
473,PRP VBZ PRP$,3
513,RB DT NN,3
529,RB NN .,3
606,VB CD NNS,3
531,RB NN IN,3
356,NNP NNP .,3
535,RB NNS JJ,3
