,incorrect_trigram_penn,error_type,count
200,IN DT NN,RT,168
305,IN PRP$ NN,RT,54
1303,VB DT NN,RV,37
267,IN NNP IN,RT,33
950,PRP MD VB,MP,29
321,IN TO VB,UT,28
1811,VBP TO VB,TV,26
213,IN DT NNS,RT,26
554,NN . _,S,23
592,NN IN DT,RN,22
206,IN DT NN,UT,22
1326,VB IN DT,RV,20
594,NN IN DT,S,19
452,JJ TO VB,S,15
713,NN TO VB,S,15
552,NN . _,RN,15
953,PRP MD VB,RA,15
613,NN IN NN,RN,14
489,MD VB IN,TV,14
283,IN PRP .,RT,14
521,"NN , IN",MD,14
1254,TO VB IN,FV,14
280,"IN PRP ,",RT,13
391,JJ IN DT,S,13
484,MD VB DT,TV,13
615,NN IN NN,S,12
1300,VB DT NN,FV,12
191,IN DT NN,ID,12
197,IN DT NN,R,12
1892,VBZ RB JJ,MA,12
824,"NNS , IN",AGN,12
1304,VB DT NN,S,11
1245,TO VB DT,FV,11
1443,VBD DT NN,RV,11
505,MD VB TO,TV,11
313,IN PRP$ NNS,RT,11
430,JJ NN IN,RJ,11
1721,VBP DT NN,TV,11
432,JJ NN IN,S,10
1388,VB PRP$ NN,RV,10
1919,WDT NN IN,RQ,10
250,IN NN IN,RT,10
996,PRP VBP IN,MP,9
194,IN DT NN,MP,9
376,JJ . _,S,9
216,IN DT NNS,UT,9
248,IN NN IN,R,9
531,"NN , RB",S,9
1485,VBD PRP$ NN,S,8
1926,WDT VBZ DT,MP,8
1043,PRP$ NN .,MT,8
1323,VB IN DT,FV,8
662,NN NN IN,MD,8
632,NN IN NNS,AGN,8
389,JJ IN DT,RJ,8
1547,VBG DT NN,IV,8
1446,VBD DT NN,TV,8
685,NN NNS IN,AGN,7
641,NN IN NNS,S,7
204,IN DT NN,U,7
1063,PRP$ NN RB,MA,7
954,PRP MD VB,TV,7
981,PRP VBD DT,RA,7
374,JJ . _,RJ,7
1955,_ _ _,MP,7
1172,RB RB DT,MP,7
1507,VBD TO VB,TV,7
1136,RB JJ .,RY,7
1149,RB MD VB,W,7
1327,VB IN DT,S,7
1375,VB PRP RB,FV,6
655,NN MD VB,AGN,6
1366,VB PRP DT,RV,6
102,DT JJ NNS,UD,6
597,NN IN DT,W,6
287,IN PRP CC,RT,6
294,IN PRP VBZ,MP,6
588,NN IN DT,MD,6
584,NN IN DT,FN,6
583,NN IN DT,DN,6
546,NN . _,MD,6
581,NN IN DT,AGN,6
298,IN PRP$ NN,ID,6
301,IN PRP$ NN,MP,6
525,"NN , IN",S,6
1546,VBG DT NN,FV,6
1713,VBP DT NN,AGV,6
451,JJ TO VB,RJ,6
1572,VBG IN PRP$,RV,6
1601,VBG PRP$ NN,FV,6
1809,VBP TO VB,RV,6
1696,VBN TO VB,S,6
711,NN TO VB,RN,6
985,PRP VBD IN,MP,6
1447,VBD DT NN,W,5
523,"NN , IN",RN,5
956,PRP MD VB,UA,5
558,NN . _,UN,5
1097,RB . _,UY,5
241,IN JJ NN,RT,5
1561,VBG IN NN,IV,5
967,PRP TO VB,MT,5
1140,RB JJ IN,MV,5
516,"NN , DT",MD,5
195,IN DT NN,MV,5
512,NN '' IN,UN,5
1513,VBD VBG IN,TV,5
500,MD VB RB,TV,5
1132,RB JJ .,DY,5
1870,VBZ JJ TO,MA,5
1549,VBG DT NN,MP,5
481,MD VB DT,MA,5
114,DT NN CC,UD,5
1849,VBZ DT NN,W,5
1238,TO VB .,FV,5
427,JJ NN IN,MD,5
1329,VB IN NN,FV,5
1266,TO VB RB,FV,5
