,correct_trigram_poss,error_type,count
238,ADP DET NOUN,RT,247
222,ADP DET ADJ,RT,59
233,ADP DET NOUN,MT,35
313,ADP PROPN ADP,RT,32
300,ADP PRON PUNCT,RT,27
991,PRON VERB VERB,RA,20
248,ADP DET PROPN,RT,18
103,ADJ NOUN PUNCT,S,17
274,ADP NOUN PUNCT,RT,16
603,DET NOUN PUNCT,RD,16
15,ADJ ADP DET,S,15
512,DET ADJ NOUN,MD,14
602,DET NOUN PUNCT,R,14
558,DET NOUN ADP,R,14
123,ADJ PART VERB,S,13
637,DET PUNCT PRON,MP,13
510,DET ADJ NOUN,FD,12
557,DET NOUN ADP,MD,12
194,ADP ADJ NOUN,RT,12
101,ADJ NOUN PUNCT,RJ,11
260,ADP NOUN ADP,RT,11
499,CCONJ PUNCT ADP,MP,11
231,ADP DET NOUN,ID,11
744,NOUN NOUN PUNCT,UD,11
58,ADJ NOUN ADP,RJ,10
307,ADP PRON VERB,RC,10
745,NOUN NOUN PUNCT,UT,10
320,ADP PROPN PROPN,RT,10
60,ADJ NOUN ADP,S,9
216,ADP DET ADJ,ID,9
597,DET NOUN PUNCT,AGD,9
235,ADP DET NOUN,R,9
802,NOUN PUNCT _,U,9
166,ADJ PUNCT PRON,MP,9
1104,VERB DET NOUN,RT,9
181,ADJ PUNCT _,S,9
500,CCONJ PUNCT ADV,MP,8
612,DET NOUN VERB,RP,8
909,PRON AUX VERB,TV,8
309,ADP PRON VERB,RT,8
408,ADV PRON VERB,R,8
906,PRON ADV _,DA,8
264,ADP NOUN CCONJ,RT,8
600,DET NOUN PUNCT,DD,8
601,DET NOUN PUNCT,MD,8
649,DET VERB DET,RA,8
645,DET VERB ADV,RA,8
538,DET ADV PUNCT,DA,8
25,ADJ ADP PRON,S,8
968,PRON VERB DET,RA,8
38,ADJ CCONJ ADJ,S,8
543,DET ADV _,DA,7
652,DET VERB VERB,RA,7
14,ADJ ADP DET,RJ,7
495,CCONJ PRON VERB,RC,7
514,DET ADJ NOUN,R,7
106,ADJ NOUN PUNCT,UD,7
803,NOUN PUNCT _,UD,7
342,ADP VERB DET,RT,7
642,DET VERB ADP,RA,7
168,ADJ PUNCT PRON,S,6
931,PRON PUNCT ADV,MP,6
919,PRON NOUN ADP,RQ,6
149,ADJ PUNCT CCONJ,S,6
598,DET NOUN PUNCT,AGQ,6
113,ADJ NOUN VERB,S,6
1155,VERB PRON VERB,W,6
108,ADJ NOUN PUNCT,UT,6
561,DET NOUN ADP,RQ,6
954,PRON VERB ADP,RA,6
515,DET ADJ NOUN,RD,6
137,ADJ PUNCT ADP,MP,6
122,ADJ PART VERB,RJ,6
293,ADP PRON CCONJ,RT,6
573,DET NOUN CCONJ,MD,6
959,PRON VERB ADV,MP,6
574,DET NOUN CCONJ,R,5
90,ADJ NOUN PRON,S,5
517,DET ADJ NOUN,RP,5
575,DET NOUN CCONJ,RD,5
449,ADV VERB DET,RA,5
852,NOUN VERB VERB,UD,5
173,ADJ PUNCT VERB,MP,5
551,DET NOUN ADP,AGD,5
179,ADJ PUNCT _,RJ,5
990,PRON VERB VERB,R,5
315,ADP PROPN CCONJ,RT,5
332,ADP PUNCT PRON,MT,5
64,ADJ NOUN ADP,UT,5
338,ADP VERB ADP,RT,5
251,ADP DET PUNCT,RT,5
675,NOUN ADP DET,UD,5
975,PRON VERB NOUN,RA,5
607,DET NOUN VERB,AGD,5
230,ADP DET DET,RT,4
1030,PUNCT NOUN CCONJ,UD,4
115,ADJ NOUN VERB,UD,4
1114,VERB NOUN ADP,UT,4
641,DET VERB ADJ,RA,4
961,PRON VERB ADV,RA,4
962,PRON VERB ADV,RP,4
1128,VERB NOUN PUNCT,UT,4
18,ADJ ADP NOUN,S,4
629,DET PUNCT ADV,MP,4
967,PRON VERB DET,R,4
21,ADJ ADP PRON,DJ,4
24,ADJ ADP PRON,RJ,4
509,DET ADJ NOUN,DD,4
789,NOUN PUNCT PRON,UD,4
513,DET ADJ NOUN,MQ,4
559,DET NOUN ADP,RD,4
306,ADP PRON VERB,R,4
154,ADJ PUNCT DET,S,4
219,ADP DET ADJ,MT,4
620,DET PRON VERB,RA,4
521,DET ADJ NOUN,W,4
610,DET NOUN VERB,R,4
1061,VERB ADP DET,MV,4
74,ADJ NOUN CCONJ,S,4
1066,VERB ADP DET,UD,4
940,PRON PUNCT PRON,RA,4
941,PRON PUNCT PROPN,MP,4
1068,VERB ADP DET,W,4
468,AUX ADV VERB,TV,4
139,ADJ PUNCT ADP,S,4
102,ADJ NOUN PUNCT,RP,4
830,NOUN VERB DET,UT,4
157,ADJ PUNCT NOUN,RJ,4
1113,VERB NOUN ADP,UD,4
583,DET NOUN NOUN,MD,4
882,PART VERB ADP,R,3
996,PROPN CCONJ NOUN,UD,3
317,ADP PROPN PART,RT,3
992,PRON VERB VERB,TV,3
518,DET ADJ NOUN,RQ,3
1102,VERB DET NOUN,MV,3
290,ADP PRON ADP,RT,3
167,ADJ PUNCT PRON,RJ,3
740,NOUN NOUN PUNCT,RJ,3
1034,PUNCT NOUN VERB,UD,3
490,CCONJ NOUN PUNCT,RC,3
985,PRON VERB PUNCT,RA,3
200,ADP ADP DET,RT,3
228,ADP DET ADV,RT,3
237,ADP DET NOUN,RP,3
239,ADP DET NOUN,RY,3
244,ADP DET NUM,ID,3
246,ADP DET PRON,RT,3
459,ADV VERB PUNCT,DY,3
412,ADV PRON VERB,RY,3
467,AUX ADV VERB,RV,3
258,ADP NOUN ADP,ID,3
476,CCONJ ADV ADJ,RP,3
984,PRON VERB PUNCT,R,3
262,ADP NOUN ADV,RT,3
484,CCONJ DET NOUN,RC,3
268,ADP NOUN NOUN,RT,3
964,PRON VERB ADV,W,3
899,PRON ADP PRON,MA,3
970,PRON VERB DET,TV,3
281,ADP NUM NOUN,RT,3
885,PART VERB DET,R,3
981,PRON VERB PRON,RA,3
232,ADP DET NOUN,M,3
872,PART DET NOUN,MY,3
323,ADP PROPN PUNCT,RT,3
41,ADJ CCONJ ADV,ID,3
761,NOUN PRON VERB,UT,3
839,NOUN VERB PRON,UD,3
569,DET NOUN ADV,R,3
619,DET PRON VERB,R,3
850,NOUN VERB VERB,UA,3
72,ADJ NOUN CCONJ,RJ,3
579,DET NOUN DET,RD,3
73,ADJ NOUN CCONJ,RP,3
75,ADJ NOUN CCONJ,SA,3
611,DET NOUN VERB,RD,3
11,ADJ ADP DET,DJ,3
772,NOUN PUNCT ADV,UD,3
85,ADJ NOUN PRON,CQ,3
777,NOUN PUNCT CCONJ,UD,3
89,ADJ NOUN PRON,RJ,3
589,DET NOUN PART,R,3
794,NOUN PUNCT VERB,UD,3
30,ADJ ADP VERB,S,3
592,DET NOUN PRON,FD,3
593,DET NOUN PRON,R,3
128,ADJ PRON VERB,S,3
810,NOUN VERB ADP,R,3
565,DET NOUN ADP,W,3
142,ADJ PUNCT ADV,MP,3
628,DET PUNCT ADP,MP,3
534,DET ADV ADJ,MD,3
1172,VERB PUNCT PRON,UA,3
742,NOUN NOUN PUNCT,SX,3
63,ADJ NOUN ADP,UD,3
55,ADJ NOUN ADP,FJ,3
148,ADJ PUNCT CCONJ,RJ,3
724,NOUN NOUN ADP,UD,3
144,ADJ PUNCT ADV,S,3
147,ADJ PUNCT CCONJ,MP,3
135,ADJ PUNCT ADJ,RJ,3
819,NOUN VERB ADP,UT,3
624,DET PROPN PROPN,RP,3
