,error_type,count
47,RT,510
50,S,401
39,R,193
44,RN,153
48,RV,129
62,UT,124
45,RP,122
34,MP,118
36,MT,115
57,UD,108
1,AGN,100
31,MD,99
65,W,93
53,TV,90
19,FV,75
52,SX,70
29,MA,66
49,RY,58
43,RJ,52
28,M,51
21,ID,51
37,MV,44
18,FN,43
54,U,43
10,DJ,39
42,RD,38
14,DY,34
59,UN,33
38,MY,31
25,IV,31
11,DN,31
3,AGV,27
46,RQ,26
0,AGD,23
64,UY,21
40,RA,20
7,DA,20
35,MQ,20
51,SA,17
33,MN,16
30,MC,15
23,IN,13
41,RC,12
5,CN,11
27,L,10
22,IJ,8
17,FJ,8
66,X,7
2,AGQ,7
4,AS,7
55,UA,7
8,DD,6
56,UC,6
32,MJ,6
13,DV,6
16,FD,6
61,UQ,5
60,UP,4
20,FY,4
24,IQ,2
9,DI,1
15,FA,1
58,UJ,1
6,CQ,1
63,UV,1
26,IY,1
12,DT,1
