,incorrect_trigram_poss,count
106,ADP DET NOUN,378
45,ADJ NOUN PUNCT,101
232,DET NOUN PUNCT,91
101,ADP DET ADJ,87
202,DET ADJ NOUN,84
224,DET NOUN ADP,69
320,PRON VERB VERB,64
139,ADP PRON VERB,58
233,DET NOUN VERB,55
37,ADJ NOUN ADP,51
138,ADP PRON PUNCT,37
8,ADJ ADP DET,37
140,ADP PROPN ADP,35
11,ADJ ADP PRON,34
113,ADP NOUN ADP,34
120,ADP NOUN PUNCT,32
50,ADJ PART VERB,32
313,PRON VERB ADV,31
226,DET NOUN CCONJ,28
130,ADP PART VERB,28
68,ADJ PUNCT _,27
63,ADJ PUNCT PRON,27
39,ADJ NOUN CCONJ,24
230,DET NOUN PRON,24
240,DET PRON VERB,23
46,ADJ NOUN VERB,23
82,ADP ADJ NOUN,22
314,PRON VERB DET,21
228,DET NOUN NOUN,19
109,ADP DET PROPN,18
52,ADJ PRON VERB,18
43,ADJ NOUN PRON,17
115,ADP NOUN CCONJ,17
59,ADJ PUNCT CCONJ,16
221,DET DET NOUN,16
219,DET ADV _,15
225,DET NOUN ADV,15
255,DET VERB ADV,14
312,PRON VERB ADP,14
194,CCONJ PRON VERB,13
57,ADJ PUNCT ADP,13
146,ADP PROPN PROPN,13
256,DET VERB DET,12
41,ADJ NOUN NOUN,12
21,ADJ CCONJ ADJ,12
218,DET ADV PUNCT,12
261,DET VERB VERB,12
227,DET NOUN DET,12
171,AUX ADV VERB,12
319,PRON VERB PUNCT,11
87,ADP ADP DET,11
3,ADJ ADJ NOUN,11
311,PRON VERB ADJ,11
245,DET PROPN PROPN,10
38,ADJ NOUN ADV,10
257,DET VERB NOUN,10
298,PRON PRON VERB,10
318,PRON VERB PRON,10
126,ADP NUM NOUN,10
60,ADJ PUNCT DET,10
88,ADP ADP NOUN,9
161,ADP VERB ADP,9
58,ADJ PUNCT ADV,9
254,DET VERB ADP,9
213,DET ADV ADJ,9
268,PRON ADP PRON,9
163,ADP VERB DET,9
9,ADJ ADP NOUN,8
133,ADP PRON CCONJ,8
229,DET NOUN PART,8
147,ADP PROPN PUNCT,8
310,PRON PUNCT _,8
89,ADP ADP PRON,8
40,ADJ NOUN DET,8
279,PRON AUX VERB,8
291,PRON NOUN PUNCT,7
31,ADJ DET NOUN,7
14,ADJ ADP VERB,7
23,ADJ CCONJ ADV,7
119,ADP NOUN PRON,7
69,ADJ VERB ADP,7
26,ADJ CCONJ PRON,7
176,CCONJ ADP DET,7
105,ADP DET DET,6
315,PRON VERB NOUN,6
132,ADP PRON ADV,6
276,PRON ADV VERB,6
210,DET ADP DET,6
108,ADP DET PRON,6
178,CCONJ ADP PRON,6
97,ADP ADV PRON,6
260,DET VERB PUNCT,6
286,PRON DET NOUN,6
110,ADP DET PUNCT,6
307,PRON PUNCT PRON,6
317,PRON VERB PART,6
117,ADP NOUN NOUN,6
111,ADP DET VERB,5
116,ADP NOUN DET,5
316,PRON VERB NUM,5
103,ADP DET ADV,5
304,PRON PUNCT ADV,5
121,ADP NOUN VERB,5
66,ADJ PUNCT VERB,5
184,CCONJ ADV PUNCT,5
98,ADP ADV PUNCT,5
200,DET ADJ ADP,5
142,ADP PROPN CCONJ,5
20,ADJ ADV VERB,5
295,PRON PART VERB,5
223,DET NOUN ADJ,5
18,ADJ ADV PRON,5
246,DET PROPN PUNCT,5
151,ADP PUNCT CCONJ,4
199,DET ADJ ADJ,4
134,ADP PRON DET,4
190,CCONJ NOUN PUNCT,4
187,CCONJ DET NOUN,4
150,ADP PUNCT ADV,4
135,ADP PRON NOUN,4
275,PRON ADV PUNCT,4
168,ADP VERB VERB,4
114,ADP NOUN ADV,4
6,ADJ ADP ADP,4
107,ADP DET NUM,4
264,PRON ADJ NOUN,4
220,DET DET ADJ,4
99,ADP ADV VERB,4
267,PRON ADP NOUN,4
91,ADP ADV ADP,4
61,ADJ PUNCT NOUN,4
222,DET DET VERB,4
252,DET PUNCT _,4
251,DET PUNCT PRON,4
75,ADJ VERB PUNCT,4
266,PRON ADP DET,4
253,DET VERB ADJ,3
180,CCONJ ADV ADJ,3
157,ADP PUNCT VERB,3
177,CCONJ ADP NOUN,3
164,ADP VERB NOUN,3
217,DET ADV PRON,3
205,DET ADJ PROPN,3
215,DET ADV CCONJ,3
181,CCONJ ADV ADP,3
211,DET ADP NOUN,3
306,PRON PUNCT DET,3
186,CCONJ DET ADJ,3
206,DET ADJ PUNCT,3
243,DET PROPN PART,3
271,PRON ADV ADJ,3
274,PRON ADV PRON,3
272,PRON ADV ADP,3
197,CCONJ VERB PRON,3
235,DET NUM NOUN,3
0,ADJ ADJ ADP,3
118,ADP NOUN PART,3
25,ADJ CCONJ NOUN,3
65,ADJ PUNCT PUNCT,3
72,ADJ VERB NOUN,3
55,ADJ PROPN PUNCT,3
47,ADJ NOUN _,3
42,ADJ NOUN PART,3
144,ADP PROPN PART,3
145,ADP PROPN PRON,3
36,ADJ NOUN ADJ,3
29,ADJ DET ADJ,3
28,ADJ CCONJ VERB,3
70,ADJ VERB ADV,3
76,ADJ VERB VERB,3
84,ADP ADJ PRON,3
124,ADP NUM ADJ,3
102,ADP DET ADP,3
4,ADJ ADJ PUNCT,3
131,ADP PRON ADP,3
231,DET NOUN PROPN,2
77,ADJ _ _,2
78,ADP ADJ ADP,2
74,ADJ VERB PRON,2
236,DET NUM PUNCT,2
80,ADP ADJ CCONJ,2
93,ADP ADV CCONJ,2
94,ADP ADV DET,2
237,DET PART VERB,2
112,ADP NOUN ADJ,2
156,ADP PUNCT PUNCT,2
67,ADJ PUNCT X,2
24,ADJ CCONJ DET,2
7,ADJ ADP ADV,2
12,ADJ ADP PROPN,2
15,ADJ ADV ADJ,2
309,PRON PUNCT VERB,2
19,ADJ ADV PUNCT,2
305,PRON PUNCT CCONJ,2
303,PRON PUNCT ADP,2
56,ADJ PUNCT ADJ,2
300,PRON PROPN PUNCT,2
299,PRON PROPN ADP,2
292,PRON NOUN VERB,2
283,PRON CCONJ PRON,2
273,PRON ADV ADV,2
204,DET ADJ PART,2
44,ADJ NOUN PROPN,2
238,DET PRON ADV,2
125,ADP NUM ADP,2
143,ADP PROPN NOUN,2
129,ADP NUM PUNCT,2
173,CCONJ ADJ NOUN,2
141,ADP PROPN ADV,2
128,ADP NUM PROPN,2
1,ADJ ADJ ADV,2
136,ADP PRON PART,2
154,ADP PUNCT PRON,2
193,CCONJ PRON DET,2
162,ADP VERB ADV,2
137,ADP PRON PRON,2
203,DET ADJ NUM,1
284,PRON CCONJ VERB,1
172,CCONJ ADJ ADP,1
285,PRON DET ADJ,1
281,PRON CCONJ DET,1
287,PRON DET PUNCT,1
288,PRON INTJ PUNCT,1
282,PRON CCONJ PART,1
278,PRON AUX PART,1
280,PRON CCONJ ADV,1
30,ADJ DET ADV,1
290,PRON NOUN CCONJ,1
277,PRON AUX NOUN,1
32,ADJ DET PRON,1
33,ADJ DET VERB,1
34,ADJ INTJ ADP,1
174,CCONJ ADJ PUNCT,1
35,ADJ INTJ PUNCT,1
175,CCONJ ADP ADJ,1
270,PRON ADP VERB,1
269,PRON ADP PROPN,1
289,PRON NOUN ADP,1
294,PRON PART CCONJ,1
148,ADP PROPN VERB,1
170,AUX ADV DET,1
2,ADJ ADJ CCONJ,1
158,ADP PUNCT _,1
5,ADJ ADP ADJ,1
159,ADP SYM NUM,1
10,ADJ ADP NUM,1
13,ADJ ADP PUNCT,1
