,incorrect_trigram_poss,correct_trigram_poss,count
310,ADP DET NOUN,ADP DET NOUN,269
280,ADP DET ADJ,ADP DET ADJ,67
118,ADJ NOUN PUNCT,ADJ NOUN PUNCT,39
1219,PRON VERB VERB,PUNCT PRON VERB,38
877,DET NOUN PUNCT,DET NOUN PUNCT,33
540,ADP PROPN ADP,ADP PROPN ADP,32
13,ADJ ADP DET,ADJ ADP DET,31
695,DET ADJ NOUN,DET ADJ NOUN,30
776,DET NOUN ADP,DET NOUN ADP,28
1149,PRON VERB ADV,PUNCT PRON VERB,27
69,ADJ NOUN ADP,ADJ NOUN ADP,27
503,ADP PRON PUNCT,ADP PRON PUNCT,27
871,DET NOUN PUNCT,ADP DET NOUN,23
1218,PRON VERB VERB,PRON VERB VERB,22
537,ADP PRON VERB,PUNCT ADP PRON,22
123,ADJ NOUN PUNCT,DET ADJ NOUN,21
24,ADJ ADP PRON,ADJ ADP PRON,21
148,ADJ PART VERB,ADJ PART VERB,20
521,ADP PRON VERB,ADP PRON VERB,19
906,DET NOUN VERB,DET NOUN VERB,19
689,DET ADJ NOUN,ADJ NOUN PUNCT,18
371,ADP DET PROPN,ADP DET PROPN,18
186,ADJ PUNCT _,ADJ PUNCT _,18
771,DET NOUN ADP,ADP DET NOUN,17
530,ADP PRON VERB,PRON ADP PRON,17
1133,PRON VERB ADP,PUNCT PRON VERB,17
433,ADP NOUN PUNCT,ADP NOUN PUNCT,16
692,DET ADJ NOUN,ADP DET ADJ,15
177,ADJ PUNCT PRON,ADJ PUNCT PRON,15
383,ADP NOUN ADP,ADP NOUN ADP,15
111,ADJ NOUN PRON,ADJ NOUN PRON,14
351,ADP DET NOUN,PUNCT ADP DET,14
335,ADP DET NOUN,DET NOUN PUNCT,13
89,ADJ NOUN CCONJ,ADJ NOUN CCONJ,13
218,ADP ADJ NOUN,ADP ADJ NOUN,12
328,ADP DET NOUN,DET NOUN ADP,12
1018,PRON ADP PRON,ADP PRON ADP,12
167,ADJ PUNCT CCONJ,ADJ PUNCT CCONJ,12
40,ADJ CCONJ ADJ,ADJ CCONJ ADJ,11
984,DET VERB DET,PUNCT DET VERB,11
357,ADP DET NOUN,VERB DET NOUN,11
555,ADP PROPN PROPN,ADP PROPN PROPN,11
1148,PRON VERB ADV,PRON VERB ADV,11
1190,PRON VERB PRON,PUNCT PRON VERB,10
889,DET NOUN PUNCT,NOUN PUNCT _,10
137,ADJ NOUN VERB,ADJ NOUN VERB,9
524,ADP PRON VERB,ADV PRON VERB,9
779,DET NOUN ADP,NOUN ADP DET,9
603,AUX ADV VERB,AUX ADV VERB,9
806,DET NOUN ADV,PRON DET NOUN,9
407,ADP NOUN CCONJ,PUNCT ADP NOUN,9
1054,PRON AUX VERB,PRON AUX VERB,8
915,DET NOUN VERB,NOUN VERB VERB,8
1183,PRON VERB PART,PUNCT PRON VERB,8
742,DET ADV _,PRON ADV _,8
739,DET ADV PUNCT,DET ADV PUNCT,8
1224,PRON VERB VERB,VERB PRON VERB,8
399,ADP NOUN CCONJ,ADP NOUN CCONJ,8
921,DET NOUN VERB,PUNCT DET NOUN,8
1162,PRON VERB DET,PUNCT PRON VERB,8
811,DET NOUN CCONJ,DET NOUN CCONJ,8
586,ADP VERB DET,ADP VERB DET,8
1135,PRON VERB ADV,ADP PRON VERB,8
1124,PRON VERB ADJ,PUNCT PRON VERB,8
472,ADP PART VERB,PART VERB ADP,7
792,DET NOUN ADP,PRON NOUN ADP,7
170,ADJ PUNCT DET,ADJ PUNCT DET,7
1234,_ _ _,PUNCT _ _,7
741,DET ADV _,DET ADV _,7
1160,PRON VERB DET,PRON VERB DET,7
690,DET ADJ NOUN,ADJ NOUN VERB,7
816,DET NOUN CCONJ,NOUN CCONJ NOUN,7
979,DET VERB ADV,PUNCT DET VERB,7
860,DET NOUN PRON,DET NOUN PRON,7
127,ADJ NOUN PUNCT,NOUN NOUN PUNCT,7
1013,PRON ADP DET,ADP PRON ADP,7
886,DET NOUN PUNCT,NOUN PUNCT PRON,7
666,CCONJ PRON VERB,PUNCT CCONJ PRON,7
347,ADP DET NOUN,PRON ADP DET,7
162,ADJ PUNCT ADP,ADJ PUNCT ADP,6
685,DET ADJ NOUN,ADJ NOUN ADP,6
487,ADP PRON CCONJ,ADP PRON CCONJ,6
658,CCONJ PRON VERB,CCONJ PRON VERB,6
165,ADJ PUNCT ADV,ADJ PUNCT ADV,6
475,ADP PART VERB,PART VERB DET,6
32,ADJ ADP VERB,ADJ ADP VERB,6
154,ADJ PRON VERB,ADJ PRON VERB,6
1080,PRON NOUN PUNCT,DET NOUN PUNCT,6
911,DET NOUN VERB,NOUN VERB ADV,6
835,DET NOUN NOUN,ADP DET NOUN,6
714,DET ADJ PUNCT,ADP DET ADJ,6
444,ADP NOUN PUNCT,PUNCT ADP NOUN,6
982,DET VERB DET,DET VERB DET,6
372,ADP DET PUNCT,ADP DET PUNCT,6
983,DET VERB DET,PRON VERB DET,5
579,ADP VERB ADP,ADP VERB ADP,5
355,ADP DET NOUN,VERB ADP DET,5
42,ADJ CCONJ ADV,ADJ CCONJ ADV,5
1002,DET VERB VERB,PRON VERB VERB,5
1003,DET VERB VERB,PUNCT DET VERB,5
861,DET NOUN PRON,NOUN PRON VERB,5
882,DET NOUN PUNCT,NOUN PUNCT CCONJ,5
1209,PRON VERB VERB,DET VERB VERB,5
344,ADP DET NOUN,PART VERB ADP,5
1037,PRON ADV PUNCT,ADP PRON ADV,5
72,ADJ NOUN ADP,DET ADJ NOUN,5
1142,PRON VERB ADV,DET VERB ADV,5
608,CCONJ ADJ NOUN,CCONJ ADJ NOUN,5
1085,PRON PART VERB,ADP PRON PART,5
303,ADP DET DET,ADP DET DET,5
334,ADP DET NOUN,DET NOUN PRON,5
978,DET VERB ADV,PRON VERB ADV,5
1132,PRON VERB ADP,PRON VERB ADP,5
173,ADJ PUNCT NOUN,ADJ PUNCT NOUN,5
1129,PRON VERB ADP,DET VERB ADP,5
1156,PRON VERB DET,ADV VERB DET,5
