,id,total,precision,recall,f1,span,error_type
10,RP,336,0.71,0.39,0.51,Padded error,Replace punctuation (n = 336)
10,RP,336,0.7,0.47,0.56,Error + unigram,Replace punctuation (n = 336)
10,RP,336,0.71,0.38,0.5,Error + bigram,Replace punctuation (n = 336)
2,TV,267,0.78,0.39,0.52,Padded error,Incorrect tense of verb (n = 267)
2,TV,267,0.77,0.41,0.54,Error + unigram,Incorrect tense of verb (n = 267)
2,TV,267,0.79,0.29,0.42,Error + bigram,Incorrect tense of verb (n = 267)
6,MD,209,1.0,0.26,0.41,Padded error,Missing determiner (n = 209)
6,MD,209,0.98,0.45,0.61,Error + unigram,Missing determiner (n = 209)
6,MD,209,0.98,0.4,0.57,Error + bigram,Missing determiner (n = 209)
16,MP,152,0.88,0.33,0.48,Padded error,Missing punctuation (n = 152)
16,MP,152,0.85,0.29,0.43,Error + unigram,Missing punctuation (n = 152)
16,MP,152,0.84,0.27,0.41,Error + bigram,Missing punctuation (n = 152)
11,FV,132,0.41,0.38,0.39,Padded error,Wrong verb form (n = 132)
11,FV,132,0.3,0.28,0.29,Error + unigram,Wrong verb form (n = 132)
11,FV,132,0.31,0.21,0.25,Error + bigram,Wrong verb form (n = 132)
18,FN,93,0.79,0.56,0.66,Padded error,Wrong noun form (n = 93)
18,FN,93,0.77,0.78,0.78,Error + unigram,Wrong noun form (n = 93)
18,FN,93,0.77,0.56,0.65,Error + bigram,Wrong noun form (n = 93)
20,AGV,88,0.74,0.37,0.49,Padded error,Verb agreement error (n = 88)
20,AGV,88,0.77,0.31,0.45,Error + unigram,Verb agreement error (n = 88)
20,AGV,88,0.92,0.22,0.36,Error + bigram,Verb agreement error (n = 88)
22,UD,75,0.0,0.0,0.0,Padded error,Unnecessary determiner (n = 75)
22,UD,75,0.0,0.0,0.0,Error + unigram,Unnecessary determiner (n = 75)
22,UD,75,0.0,0.0,0.0,Error + bigram,Unnecessary determiner (n = 75)
3,MT,75,0.9,0.27,0.41,Padded error,Missing preposition (n = 75)
3,MT,75,0.79,0.28,0.42,Error + unigram,Missing preposition (n = 75)
3,MT,75,0.8,0.36,0.49,Error + bigram,Missing preposition (n = 75)
1,UP,65,0.17,0.5,0.25,Padded error,Unnecessary punctuation (n = 65)
1,UP,65,0.09,0.33,0.14,Error + unigram,Unnecessary punctuation (n = 65)
1,UP,65,0.08,0.17,0.11,Error + bigram,Unnecessary punctuation (n = 65)
13,AGN,62,0.63,0.29,0.4,Padded error,Noun agreement error (n = 62)
13,AGN,62,0.59,0.41,0.49,Error + unigram,Noun agreement error (n = 62)
13,AGN,62,0.63,0.41,0.5,Error + bigram,Noun agreement error (n = 62)
17,MA,62,0.71,0.41,0.52,Padded error,Missing anaphor (n = 62)
17,MA,62,0.62,0.24,0.35,Error + unigram,Missing anaphor (n = 62)
17,MA,62,0.8,0.2,0.31,Error + bigram,Missing anaphor (n = 62)
7,UT,59,0.1,0.14,0.12,Padded error,Unnecessary preposition (n = 59)
7,UT,59,0.0,0.0,0.0,Error + unigram,Unnecessary preposition (n = 59)
7,UT,59,0.15,0.29,0.2,Error + bigram,Unnecessary preposition (n = 59)
19,M,57,0.68,0.32,0.44,Padded error,Missing error (n = 57)
19,M,57,0.65,0.38,0.48,Error + unigram,Missing error (n = 57)
19,M,57,0.68,0.32,0.44,Error + bigram,Missing error (n = 57)
36,MV,54,0.77,0.21,0.33,Padded error,Missing verb (n = 54)
36,MV,54,0.82,0.3,0.44,Error + unigram,Missing verb (n = 54)
36,MV,54,0.78,0.3,0.43,Error + bigram,Missing verb (n = 54)
8,DJ,47,0.92,0.56,0.7,Padded error,Derivation of adjective error (n = 47)
