,correct_trigram_poss,error_type,count
117,ADP DET NOUN,MT,60
429,DET NOUN PUNCT,MD,43
388,DET NOUN ADP,MD,37
1026,VERB DET NOUN,TV,35
750,PART VERB ADP,FV,27
950,VERB ADP DET,TV,25
829,PRON VERB DET,MA,25
761,PART VERB DET,FV,24
1016,VERB DET NOUN,FV,22
964,VERB ADP PRON,FV,19
604,NOUN PUNCT ADP,AGN,16
1014,VERB DET NOUN,AGV,16
515,NOUN ADP PRON,AGN,14
489,NOUN ADP DET,AGN,13
821,PRON VERB ADP,MA,13
796,PRON DET NOUN,MA,12
669,NOUN PUNCT VERB,MP,12
969,VERB ADP PRON,TV,12
943,VERB ADP DET,FV,12
438,DET NOUN PUNCT,UT,12
116,ADP DET NOUN,M,12
443,DET NOUN VERB,W,12
1112,VERB VERB ADP,TV,11
503,NOUN ADP NOUN,AGN,10
1022,VERB DET NOUN,RT,10
773,PART VERB PUNCT,FV,10
734,NUM PUNCT NUM,MP,9
1121,VERB VERB DET,TV,9
783,PRON ADP DET,MA,9
394,DET NOUN ADP,UT,9
195,ADP VERB DET,MT,9
432,DET NOUN PUNCT,R,9
390,DET NOUN ADP,R,9
688,NOUN PUNCT _,UD,8
389,DET NOUN ADP,MQ,8
676,NOUN PUNCT _,AGN,8
500,NOUN ADP DET,UD,7
756,PART VERB ADP,UT,7
431,DET NOUN PUNCT,MQ,7
551,NOUN CCONJ NOUN,UD,7
119,ADP DET NOUN,R,7
353,CCONJ PUNCT ADV,MP,7
648,NOUN PUNCT PRON,AGN,7
1117,VERB VERB DET,MV,7
1004,VERB DET ADJ,TV,7
1075,VERB PUNCT ADV,MP,7
887,PUNCT ADP DET,UN,7
491,NOUN ADP DET,FN,7
713,NOUN VERB VERB,UD,7
1020,VERB DET NOUN,MV,7
956,VERB ADP NOUN,FV,7
154,ADP NOUN PUNCT,MT,7
452,DET PROPN PROPN,MD,7
998,VERB DET ADJ,AGV,6
193,ADP VERB ADP,MT,6
627,NOUN PUNCT DET,AGN,6
1023,VERB DET NOUN,RV,6
801,PRON NOUN ADP,RQ,6
828,PRON VERB ADV,W,6
1128,VERB VERB PUNCT,TV,6
679,NOUN PUNCT _,FN,6
765,PART VERB DET,UT,6
920,PUNCT _ _,U,6
366,DET ADJ NOUN,W,6
940,VERB ADP DET,AGV,6
921,PUNCT _ _,UN,6
945,VERB ADP DET,MV,6
632,NOUN PUNCT DET,MP,5
910,PUNCT PRON VERB,UN,5
789,PRON ADV PRON,MA,5
176,ADP PRON VERB,S,5
1070,VERB PUNCT ADP,MP,5
658,NOUN PUNCT PRON,UD,5
499,NOUN ADP DET,S,5
701,NOUN VERB ADV,UD,5
1111,VERB VERB ADP,RV,5
471,INTJ PUNCT ADP,MP,5
629,NOUN PUNCT DET,FN,5
1021,VERB DET NOUN,R,5
1107,VERB PUNCT _,TV,5
626,NOUN PUNCT CCONJ,UD,5
586,NOUN NOUN PUNCT,W,5
923,PUNCT _ _,UY,5
1058,VERB PART PUNCT,RV,5
544,NOUN CCONJ DET,AGN,5
58,ADJ PUNCT ADV,MP,5
875,PROPN PUNCT PRON,RP,5
618,NOUN PUNCT CCONJ,AGN,5
1126,VERB VERB PUNCT,MV,5
425,DET NOUN PRON,UT,5
947,VERB ADP DET,RV,5
428,DET NOUN PUNCT,DD,5
396,DET NOUN ADV,MD,5
267,ADV PUNCT ADP,MP,5
999,VERB DET ADJ,FV,5
78,ADJ PUNCT _,DJ,5
395,DET NOUN ADP,W,4
600,NOUN PRON VERB,UD,4
351,CCONJ PUNCT ADP,MP,4
130,ADP DET NOUN,W,4
141,ADP NOUN ADP,R,4
879,PROPN PUNCT VERB,MP,4
611,NOUN PUNCT ADV,FN,4
613,NOUN PUNCT ADV,MP,4
158,ADP NUM NOUN,MT,4
549,NOUN CCONJ DET,UD,4
554,NOUN CCONJ PRON,AGN,4
754,PART VERB ADP,R,4
845,PRON VERB VERB,R,4
844,PRON VERB VERB,M,4
949,VERB ADP DET,SX,4
581,NOUN NOUN PUNCT,RP,4
434,DET NOUN PUNCT,RP,4
777,PART VERB PUNCT,UT,4
591,NOUN PART NOUN,W,4
173,ADP PRON VERB,R,4
954,VERB ADP DET,W,4
797,PRON DET NOUN,R,4
163,ADP PRON ADP,MT,4
322,CCONJ ADP DET,MC,4
790,PRON ADV PUNCT,MA,4
815,PRON PUNCT PROPN,MP,4
77,ADJ PUNCT VERB,MP,4
650,NOUN PUNCT PRON,FN,4
112,ADP DET DET,MT,4
684,NOUN PUNCT _,RN,4
464,DET VERB DET,MA,4
1091,VERB PUNCT PRON,DJ,4
1109,VERB VERB ADP,MV,4
61,ADJ PUNCT CCONJ,S,4
651,NOUN PUNCT PRON,MP,4
1055,VERB PART DET,RV,4
3,ADJ ADP DET,DJ,4
1095,VERB PUNCT PRON,TV,3
948,VERB ADP DET,S,3
938,VERB ADP ADV,TV,3
259,ADV PRON VERB,R,3
955,VERB ADP NOUN,AGV,3
409,DET NOUN DET,UT,3
810,PRON PUNCT ADV,MP,3
960,VERB ADP NOUN,TV,3
244,ADV DET NOUN,MY,3
763,PART VERB DET,R,3
963,VERB ADP PRON,AGV,3
1085,VERB PUNCT CCONJ,TV,3
749,PART VERB ADJ,UT,3
232,ADV ADP VERB,S,3
742,PART DET NOUN,MY,3
841,PRON VERB PUNCT,MA,3
215,ADV ADP DET,S,3
483,NOUN ADP ADJ,AGN,3
992,VERB ADV PUNCT,TV,3
204,ADV ADJ NOUN,W,3
73,ADJ PUNCT PRON,S,3
1078,VERB PUNCT ADV,TV,3
539,NOUN ADV PUNCT,UD,3
616,NOUN PUNCT ADV,UD,3
655,NOUN PUNCT PRON,S,3
893,PUNCT ADV PRON,RP,3
391,DET NOUN ADP,RD,3
678,NOUN PUNCT _,DN,3
872,PROPN PUNCT DET,RP,3
