,incorrect_trigram_poss,count
290,VERB DET NOUN,185
44,ADP DET NOUN,130
275,VERB ADP DET,98
132,DET NOUN PUNCT,86
154,NOUN ADP DET,83
124,DET NOUN ADP,66
278,VERB ADP PRON,60
285,VERB DET ADJ,58
187,NOUN PUNCT _,57
155,NOUN ADP NOUN,50
177,NOUN PUNCT ADP,50
183,NOUN PUNCT PRON,49
157,NOUN ADP PRON,45
133,DET NOUN VERB,44
276,VERB ADP NOUN,40
126,DET NOUN CCONJ,31
180,NOUN PUNCT DET,30
101,ADV PRON VERB,28
62,ADP PART VERB,28
125,DET NOUN ADV,27
179,NOUN PUNCT CCONJ,25
40,ADP DET ADJ,25
57,ADP NOUN PUNCT,25
121,DET DET NOUN,22
128,DET NOUN NOUN,22
130,DET NOUN PRON,22
50,ADP NOUN ADP,21
109,ADV PUNCT _,20
167,NOUN DET NOUN,20
178,NOUN PUNCT ADV,20
309,VERB PUNCT _,18
158,NOUN ADP PROPN,18
86,ADV ADP DET,17
269,PUNCT _ _,16
108,ADV PUNCT PRON,14
116,CCONJ PRON VERB,14
94,ADV DET NOUN,14
166,NOUN CCONJ PRON,13
165,NOUN CCONJ DET,13
282,VERB ADV ADP,13
289,VERB DET DET,12
305,VERB PUNCT PRON,12
127,DET NOUN DET,12
283,VERB ADV PUNCT,11
236,PROPN PROPN PUNCT,11
22,ADJ PUNCT _,10
163,NOUN ADV ADP,10
151,NOUN ADP ADJ,10
83,ADV ADJ PUNCT,9
52,ADP NOUN CCONJ,9
286,VERB DET ADP,9
196,NUM NUM NOUN,9
2,ADJ ADP DET,9
184,NOUN PUNCT PUNCT,8
299,VERB PUNCT ADV,8
136,DET PRON VERB,8
88,ADV ADP PRON,8
300,VERB PUNCT CCONJ,8
140,DET VERB ADP,8
279,VERB ADP PROPN,8
185,NOUN PUNCT VERB,8
220,PRON PRON VERB,8
295,VERB DET VERB,7
216,PRON NOUN PUNCT,7
150,NOUN ADJ PUNCT,7
129,DET NOUN PART,7
105,ADV PUNCT DET,7
253,PUNCT ADV PRON,7
146,INTJ PRON VERB,7
87,ADV ADP NOUN,6
160,NOUN ADP VERB,6
97,ADV NOUN VERB,6
152,NOUN ADP ADP,6
60,ADP NUM NOUN,6
298,VERB PUNCT ADP,6
271,VERB ADP ADJ,6
207,PRON ADP NOUN,6
181,NOUN PUNCT NOUN,5
95,ADV NOUN ADP,5
36,ADP ADV PRON,5
19,ADJ PUNCT PRON,5
37,ADP ADV PUNCT,5
123,DET NOUN ADJ,5
103,ADV PUNCT ADV,5
30,ADP ADP NOUN,5
254,PUNCT DET NOUN,5
308,VERB PUNCT VERB,5
46,ADP DET PRON,5
162,NOUN ADV ADJ,5
56,ADP NOUN PRON,5
247,PROPN PUNCT _,5
58,ADP NOUN VERB,5
190,NUM NOUN ADP,5
258,PUNCT NOUN PUNCT,5
153,NOUN ADP ADV,5
70,ADP VERB ADP,5
287,VERB DET ADV,5
147,NOUN ADJ ADP,4
231,PROPN DET NOUN,4
273,VERB ADP ADV,4
141,DET VERB PUNCT,4
223,PROPN ADP DET,4
238,PROPN PUNCT ADV,4
250,PUNCT ADP PRON,4
237,PROPN PUNCT ADP,4
239,PROPN PUNCT CCONJ,4
139,DET PROPN PUNCT,4
307,VERB PUNCT PUNCT,4
156,NOUN ADP NUM,4
240,PROPN PUNCT DET,4
243,PROPN PUNCT PRON,4
82,ADV ADJ PRON,4
249,PUNCT ADP NOUN,4
303,VERB PUNCT NOUN,4
53,ADP NOUN DET,4
54,ADP NOUN NOUN,4
76,ADP VERB VERB,4
296,VERB PART DET,4
45,ADP DET NUM,4
28,ADJ VERB PUNCT,3
43,ADP DET DET,3
73,ADP VERB NOUN,3
164,NOUN AUX ADV,3
72,ADP VERB DET,3
202,PART DET NOUN,3
67,ADP PROPN PUNCT,3
252,PUNCT ADV ADV,3
189,NUM NOUN ADJ,3
63,ADP PROPN ADP,3
3,ADJ ADP NOUN,3
191,NUM NOUN ADV,3
256,PUNCT DET VERB,3
66,ADP PROPN PROPN,3
81,ADV ADJ PART,3
233,PROPN DET PROPN,3
91,ADV ADV PRON,3
24,ADJ VERB ADV,3
23,ADJ VERB ADP,3
104,ADV PUNCT CCONJ,3
32,ADP ADV ADP,3
122,DET DET VERB,3
277,VERB ADP NUM,3
301,VERB PUNCT DET,3
246,PROPN PUNCT VERB,3
280,VERB ADP PUNCT,3
193,NUM NOUN NOUN,3
14,ADJ PUNCT ADP,3
38,ADP ADV VERB,3
235,PROPN PROPN DET,3
182,NOUN PUNCT PART,2
214,PRON CCONJ VERB,2
213,PRON AUX VERB,2
245,PROPN PUNCT PUNCT,2
251,PUNCT ADV ADP,2
195,NUM NOUN PUNCT,2
175,NOUN PROPN PUNCT,2
255,PUNCT DET PUNCT,2
169,NOUN PRON ADP,2
176,NOUN PUNCT ADJ,2
172,NOUN PRON CCONJ,2
186,NOUN PUNCT X,2
272,VERB ADP ADP,2
159,NOUN ADP PUNCT,2
292,VERB DET PROPN,2
61,ADP NUM PUNCT,2
55,ADP NOUN PART,2
48,ADP DET VERB,2
47,ADP DET PROPN,2
42,ADP DET ADV,2
41,ADP DET ADP,2
33,ADP ADV CCONJ,2
302,VERB PUNCT INTJ,2
27,ADJ VERB PART,2
304,VERB PUNCT PART,2
21,ADJ PUNCT VERB,2
306,VERB PUNCT PROPN,2
18,ADJ PUNCT NOUN,2
17,ADJ PUNCT DET,2
16,ADJ PUNCT CCONJ,2
13,ADJ PUNCT ADJ,2
9,ADJ DET ADJ,2
6,ADJ ADP VERB,2
5,ADJ ADP PROPN,2
64,ADP PROPN CCONJ,2
226,PROPN ADP PRON,2
262,PUNCT PUNCT DET,2
135,DET NUM PUNCT,2
284,VERB CCONJ DET,2
89,ADV ADP PROPN,2
281,VERB ADP VERB,2
102,ADV PUNCT ADP,2
274,VERB ADP CCONJ,2
263,PUNCT VERB ADP,2
115,CCONJ DET NOUN,2
118,DET ADP NOUN,2
312,X VERB ADV,1
234,PROPN DET VERB,1
310,X NOUN DET,1
261,PUNCT PROPN PUNCT,1
311,X PUNCT CCONJ,1
232,PROPN DET NUM,1
291,VERB DET PRON,1
260,PUNCT PRON PUNCT,1
229,PROPN ADP VERB,1
259,PUNCT PRON ADV,1
228,PROPN ADP PUNCT,1
227,PROPN ADP PROPN,1
313,X VERB VERB,1
230,PROPN DET DET,1
266,PUNCT VERB PUNCT,1
264,PUNCT VERB DET,1
265,PUNCT VERB NOUN,1
288,VERB DET CCONJ,1
267,PUNCT VERB VERB,1
241,PROPN PUNCT INTJ,1
268,PUNCT X PUNCT,1
242,PROPN PUNCT NOUN,1
