,incorrect_trigram_poss,correct_trigram_poss,count
1139,VERB DET NOUN,VERB DET NOUN,81
1014,VERB ADP DET,VERB ADP DET,46
1047,VERB ADP PRON,VERB ADP PRON,36
660,NOUN ADP DET,NOUN ADP DET,29
530,DET NOUN PUNCT,ADP DET NOUN,23
1093,VERB DET ADJ,VERB DET ADJ,20
779,NOUN PUNCT ADP,DET NOUN PUNCT,18
782,NOUN PUNCT ADP,NOUN PUNCT ADP,18
436,DET NOUN ADP,ADP DET NOUN,17
1133,VERB DET NOUN,PART VERB DET,17
659,NOUN ADP DET,DET NOUN ADP,16
803,NOUN PUNCT DET,NOUN PUNCT DET,16
1090,VERB DET ADJ,PRON VERB DET,15
708,NOUN ADP PRON,NOUN ADP PRON,15
681,NOUN ADP NOUN,NOUN ADP NOUN,14
113,ADP DET NOUN,DET NOUN PUNCT,13
1029,VERB ADP NOUN,VERB ADP NOUN,13
106,ADP DET NOUN,DET NOUN ADP,12
1147,VERB DET NOUN,VERB VERB DET,12
132,ADP DET NOUN,VERB DET NOUN,11
1128,VERB DET NOUN,DET NOUN VERB,11
548,DET NOUN PUNCT,NOUN PUNCT _,10
707,NOUN ADP PRON,DET NOUN ADP,10
471,DET NOUN ADV,PRON DET NOUN,9
1207,VERB PUNCT _,VERB PUNCT _,9
445,DET NOUN ADP,NOUN ADP DET,9
838,NUM NUM NOUN,NUM PUNCT NUM,9
1019,VERB ADP DET,VERB VERB ADP,8
1134,VERB DET NOUN,PRON VERB DET,8
575,DET NOUN VERB,NOUN VERB VERB,8
1008,VERB ADP DET,PART VERB ADP,8
1146,VERB DET NOUN,VERB PUNCT ADV,7
545,DET NOUN PUNCT,NOUN PUNCT PRON,7
680,NOUN ADP NOUN,DET NOUN ADP,7
458,DET NOUN ADP,PRON NOUN ADP,7
216,ADP PART VERB,PART VERB ADP,7
481,DET NOUN CCONJ,NOUN CCONJ NOUN,7
749,NOUN CCONJ PRON,NOUN CCONJ PRON,7
125,ADP DET NOUN,PRON ADP DET,7
1119,VERB DET NOUN,ADP VERB DET,7
1041,VERB ADP PRON,ADP VERB ADP,6
219,ADP PART VERB,PART VERB DET,6
498,DET NOUN NOUN,ADP DET NOUN,6
536,DET NOUN PUNCT,DET NOUN PUNCT,6
390,ADV PUNCT _,PUNCT _ _,6
864,PRON NOUN PUNCT,DET NOUN PUNCT,6
1044,VERB ADP PRON,PART VERB ADP,6
571,DET NOUN VERB,NOUN VERB ADV,6
792,NOUN PUNCT ADV,NOUN PUNCT ADV,6
622,INTJ PRON VERB,ADP PRON VERB,6
473,DET NOUN CCONJ,ADP DET NOUN,5
800,NOUN PUNCT DET,DET NOUN PUNCT,5
122,ADP DET NOUN,PART VERB ADP,5
1009,VERB ADP DET,PRON VERB ADP,5
1095,VERB DET ADJ,VERB VERB DET,5
665,NOUN ADP DET,NOUN PART NOUN,5
1036,VERB ADP NOUN,VERB VERB ADP,5
867,PRON PART VERB,ADP PRON PART,5
85,ADP DET NOUN,ADP ADP DET,5
1066,VERB ADV ADP,VERB ADV ADP,5
193,ADP NOUN PUNCT,DET NOUN PUNCT,5
112,ADP DET NOUN,DET NOUN PRON,5
738,NOUN ADV ADP,DET NOUN ADV,5
522,DET NOUN PRON,NOUN PRON VERB,5
1191,VERB PUNCT PRON,VERB PUNCT PRON,5
260,ADV ADJ ADP,VERB ADV ADJ,5
541,DET NOUN PUNCT,NOUN PUNCT CCONJ,5
784,NOUN PUNCT ADP,PUNCT ADP DET,5
615,DET VERB NOUN,PRON VERB NOUN,5
130,ADP DET NOUN,VERB ADP DET,5
1114,VERB DET DET,VERB DET DET,5
1137,VERB DET NOUN,VERB ADP DET,5
1024,VERB ADP NOUN,PART VERB ADP,5
984,PUNCT _ _,ADV PUNCT _,4
986,PUNCT _ _,NOUN PUNCT _,4
283,ADV ADP DET,ADP DET NOUN,4
1016,VERB ADP DET,VERB DET NOUN,4
1003,VERB ADP DET,ADP DET NOUN,4
903,PROPN PROPN PUNCT,DET PROPN PROPN,4
350,ADV PRON VERB,PRON ADV PRON,4
384,ADV PUNCT _,ADV PUNCT _,4
108,ADP DET NOUN,DET NOUN CCONJ,4
413,DET DET NOUN,ADP DET DET,4
807,NOUN PUNCT NOUN,NOUN PUNCT NOUN,4
672,NOUN ADP DET,VERB ADP DET,4
1203,VERB PUNCT _,ADJ PUNCT _,4
1074,VERB ADV PUNCT,VERB ADV PUNCT,4
637,NOUN ADP ADJ,NOUN ADP ADJ,4
760,NOUN DET NOUN,NOUN PUNCT VERB,4
442,DET NOUN ADP,DET NOUN ADP,4
570,DET NOUN VERB,NOUN VERB ADP,4
801,NOUN PUNCT DET,NOUN NOUN PUNCT,4
761,NOUN DET NOUN,VERB DET NOUN,4
547,DET NOUN PUNCT,NOUN PUNCT VERB,4
1173,VERB PUNCT CCONJ,ADJ PUNCT CCONJ,4
849,PRON ADP NOUN,ADP PRON ADP,4
480,DET NOUN CCONJ,NOUN CCONJ DET,4
462,DET NOUN ADV,ADP DET NOUN,4
221,ADP PART VERB,PART VERB PART,3
215,ADP PART VERB,PART VERB ADJ,3
1054,VERB ADP PROPN,PART VERB ADP,3
1056,VERB ADP PROPN,VERB ADP PROPN,3
187,ADP NOUN PUNCT,ADJ ADP NOUN,3
223,ADP PART VERB,PART VERB PUNCT,3
1089,VERB DET ADJ,PART VERB DET,3
1011,VERB ADP DET,PROPN PUNCT VERB,3
1027,VERB ADP NOUN,PRON VERB ADP,3
156,ADP NOUN ADP,DET NOUN ADP,3
605,DET VERB ADP,PRON VERB ADP,3
876,PRON PRON VERB,DET PRON VERB,3
1006,VERB ADP DET,ADV ADP DET,3
642,NOUN ADP ADP,DET NOUN ADP,3
540,DET NOUN PUNCT,NOUN PUNCT ADV,3
791,NOUN PUNCT ADV,DET NOUN PUNCT,3
764,NOUN DET PRON,NOUN DET PRON,3
759,NOUN DET NOUN,NOUN PUNCT CCONJ,3
747,NOUN CCONJ PRON,CCONJ PRON VERB,3
739,NOUN ADV ADP,NOUN ADV ADP,3
736,NOUN ADV ADJ,ADV ADJ NOUN,3
649,NOUN ADP DET,ADJ ADP DET,3
513,DET NOUN PART,NOUN PART VERB,3
653,NOUN ADP DET,ADP DET NOUN,3
719,NOUN ADP PROPN,NOUN ADP PROPN,3
718,NOUN ADP PROPN,DET NOUN ADP,3
666,NOUN ADP DET,NOUN PUNCT VERB,3
714,NOUN ADP PRON,PROPN ADP PRON,3
674,NOUN ADP NOUN,ADJ ADP NOUN,3
686,NOUN ADP NOUN,NOUN NOUN PUNCT,3
520,DET NOUN PRON,ADV PRON VERB,3
486,DET NOUN DET,ADP DET NOUN,3
1001,VERB ADP DET,ADJ ADP DET,3
387,ADV PUNCT _,PRON ADV PUNCT,3
315,ADV DET NOUN,ADP DET NOUN,3
321,ADV DET NOUN,PRON DET NOUN,3
