,incorrect_trigram_poss,error_type,count
1001,VERB DET NOUN,TV,41
117,ADP DET NOUN,UT,39
990,VERB DET NOUN,FV,35
424,DET NOUN PUNCT,UD,32
179,ADP PART VERB,UT,28
893,VERB ADP DET,TV,27
915,VERB ADP PRON,FV,25
414,DET NOUN PUNCT,MT,23
881,VERB ADP DET,FV,19
994,VERB DET NOUN,MP,18
619,NOUN PUNCT ADP,MD,17
438,DET NOUN VERB,UD,17
988,VERB DET NOUN,AGV,16
356,DET NOUN ADP,MT,16
959,VERB DET ADJ,MA,16
616,NOUN PUNCT ADP,AGN,16
382,DET NOUN CCONJ,UD,15
359,DET NOUN ADP,R,15
998,VERB DET NOUN,RV,15
112,ADP DET NOUN,RT,15
1003,VERB DET NOUN,W,14
536,NOUN ADP PRON,AGN,14
364,DET NOUN ADP,UD,14
103,ADP DET NOUN,ID,13
925,VERB ADP PRON,TV,13
490,NOUN ADP DET,AGN,13
111,ADP DET NOUN,R,13
497,NOUN ADP DET,MD,13
993,VERB DET NOUN,MA,12
115,ADP DET NOUN,U,12
898,VERB ADP NOUN,FV,12
598,NOUN DET NOUN,MP,10
510,NOUN ADP DET,W,10
135,ADP NOUN ADP,R,9
735,NUM NUM NOUN,MP,9
890,VERB ADP DET,RV,9
968,VERB DET ADJ,TV,9
511,NOUN ADP NOUN,AGN,9
366,DET NOUN ADV,MA,8
540,NOUN ADP PRON,MD,8
417,DET NOUN PUNCT,R,8
698,NOUN PUNCT _,AGN,8
119,ADP DET NOUN,W,8
956,VERB DET ADJ,FV,8
434,DET NOUN VERB,R,8
499,NOUN ADP DET,MP,7
886,VERB ADP DET,MP,7
493,NOUN ADP DET,FN,7
362,DET NOUN ADP,RQ,7
627,NOUN PUNCT ADP,UN,7
651,NOUN PUNCT DET,AGN,7
255,ADV DET NOUN,R,7
672,NOUN PUNCT PRON,MD,7
860,PUNCT _ _,M,7
105,ADP DET NOUN,MA,7
668,NOUN PUNCT PRON,AGN,7
995,VERB DET NOUN,MT,7
707,NOUN PUNCT _,MD,6
636,NOUN PUNCT ADV,S,6
955,VERB DET ADJ,AGV,6
505,NOUN ADP DET,S,6
465,INTJ PRON VERB,S,6
715,NOUN PUNCT _,S,6
1068,VERB PUNCT _,RV,6
920,VERB ADP PRON,MT,6
373,DET NOUN ADV,UD,6
391,DET NOUN NOUN,MT,6
999,VERB DET NOUN,S,6
878,VERB ADP DET,AGV,6
1000,VERB DET NOUN,SX,6
519,NOUN ADP NOUN,MD,6
109,ADP DET NOUN,MV,6
702,NOUN PUNCT _,FN,6
997,VERB DET NOUN,R,5
656,NOUN PUNCT DET,MD,5
306,ADV PUNCT _,MA,5
531,NOUN ADP NOUN,W,5
525,NOUN ADP NOUN,RN,5
90,ADP DET ADJ,R,5
313,ADV PUNCT _,UY,5
144,ADP NOUN CCONJ,UT,5
407,DET NOUN PRON,UD,5
653,NOUN PUNCT DET,FN,5
454,DET VERB ADP,RA,5
577,NOUN ADV ADP,MD,5
717,NOUN PUNCT _,UN,5
562,NOUN ADP PROPN,W,5
162,ADP NOUN PUNCT,R,5
928,VERB ADP PROPN,FV,5
580,NOUN CCONJ DET,AGN,5
638,NOUN PUNCT CCONJ,AGN,5
909,VERB ADP NOUN,TV,5
972,VERB DET ADP,FV,5
299,ADV PUNCT PRON,MP,5
404,DET NOUN PRON,R,5
760,PRON NOUN PUNCT,DD,5
377,DET NOUN CCONJ,MT,5
885,VERB ADP DET,MA,5
679,NOUN PUNCT PRON,RP,5
989,VERB DET NOUN,AS,4
891,VERB ADP DET,S,4
588,NOUN CCONJ PRON,AGN,4
888,VERB ADP DET,R,4
168,ADP NOUN PUNCT,UT,4
270,ADV PRON VERB,MA,4
713,NOUN PUNCT _,RN,4
272,ADV PRON VERB,MP,4
274,ADV PRON VERB,R,4
281,ADV PRON VERB,W,4
327,CCONJ PRON VERB,UC,4
765,PRON PRON VERB,R,4
670,NOUN PUNCT PRON,FN,4
370,DET NOUN ADV,R,4
380,DET NOUN CCONJ,R,4
394,DET NOUN NOUN,RP,4
396,DET NOUN NOUN,UD,4
629,NOUN PUNCT ADV,FN,4
862,PUNCT _ _,MN,4
669,NOUN PUNCT PRON,DJ,4
682,NOUN PUNCT PRON,S,4
1051,VERB PUNCT PRON,TV,4
421,DET NOUN PUNCT,RQ,4
473,NOUN ADJ PUNCT,MP,4
643,NOUN PUNCT CCONJ,MD,4
659,NOUN PUNCT DET,RP,4
789,PROPN PROPN PUNCT,MD,4
367,DET NOUN ADV,MT,4
951,VERB ADV PUNCT,TV,4
683,NOUN PUNCT PRON,UN,4
597,NOUN DET NOUN,FV,4
92,ADP DET ADJ,U,4
336,DET DET NOUN,MT,4
506,NOUN ADP DET,SX,4
84,ADP DET ADJ,ID,4
