,ngram,count
0,PROPN NUM,31387
1,NUM _,3688
2,_ _,212721
3,VERB ADP,133595
4,ADP DET,352409
5,DET ADJ,140966
6,ADJ ADJ,46386
7,ADJ NOUN,284272
8,NOUN PUNCT,290979
9,PUNCT ADP,47188
10,ADP NUM,34359
11,NUM PROPN,24343
12,NUM PUNCT,65324
13,DET NOUN,347330
14,NOUN ADP,382363
15,DET PROPN,143960
16,PROPN PUNCT,329209
17,PUNCT PROPN,243267
18,PROPN SYM,4643
19,SYM NOUN,2680
20,NOUN CCONJ,104766
21,CCONJ PUNCT,3690
22,PUNCT PUNCT,37103
23,PUNCT NUM,17074
24,NUM NOUN,26699
25,NOUN NOUN,113482
26,NOUN VERB,84372
27,NOUN AUX,48149
28,AUX VERB,60152
29,PROPN ADP,105954
30,ADP PUNCT,10530
31,PROPN PROPN,266616
32,PROPN CCONJ,47039
33,CCONJ PROPN,32856
34,DET VERB,27003
35,VERB NOUN,74648
36,NUM PART,1909
37,PART NUM,1926
38,PUNCT SCONJ,12855
39,SCONJ VERB,6413
40,VERB PUNCT,36933
41,PUNCT _,190039
42,ADP NOUN,131387
43,PROPN PART,27593
44,PART PROPN,5047
45,ADP PROPN,117319
46,PUNCT ADJ,38178
47,ADJ PROPN,21554
48,CCONJ DET,32663
49,PROPN _,11644
50,PUNCT DET,47475
51,X PUNCT,22037
52,PUNCT NOUN,72201
53,ADP ADJ,71254
54,NOUN _,5728
55,VERB DET,135263
56,PUNCT ADV,23810
57,ADV ADV,15483
58,ADV SCONJ,9700
59,SCONJ NOUN,9306
60,NOUN NUM,19306
61,NUM ADP,17334
62,PUNCT VERB,71803
63,DET PUNCT,6256
64,NUM SYM,3264
65,SYM NUM,4813
66,PROPN NOUN,38041
67,PROPN INTJ,1116
68,INTJ PUNCT,2510
69,PUNCT PRON,21501
70,PRON PUNCT,9467
71,ADP VERB,29223
72,AUX DET,23791
73,CCONJ SCONJ,3293
74,NOUN ADV,19685
75,ADV VERB,37186
76,DET ADV,7775
77,ADV ADJ,20188
78,CCONJ AUX,3341
79,AUX ADJ,18045
80,ADJ ADP,19961
81,ADV PUNCT,24685
82,VERB ADV,26273
83,VERB SCONJ,25714
