,ngram,count
0,NUM PUNCT NUM,28352
1,PUNCT NUM NOUN,9826
2,NUM NOUN NOUN,13801
3,NOUN NOUN _,4163
4,NOUN _ _,11152
5,NOUN NOUN NOUN,113357
6,NOUN NOUN NUM,16107
7,NOUN NUM NUM,13899
8,NUM NUM DET,2161
9,NUM DET NOUN,2215
10,DET NOUN ADP,4367
11,NOUN ADP NOUN,19837
12,ADP NOUN PART,10881
13,NOUN PART NOUN,89131
14,PART NOUN PUNCT,71339
15,NOUN PUNCT NOUN,54750
16,PUNCT NOUN PUNCT,33575
17,NOUN PUNCT NUM,17789
18,PUNCT NUM PUNCT,29689
19,NUM PUNCT VERB,20989
20,PUNCT VERB PUNCT,7395
21,VERB PUNCT NUM,4645
22,PUNCT NUM NUM,15246
23,NUM NUM PUNCT,13559
24,NUM PUNCT NOUN,16226
25,PUNCT NOUN PART,4591
26,NOUN PART VERB,26224
27,PART VERB PART,12993
28,VERB PART NOUN,49840
29,PART NOUN NOUN,42909
30,NOUN NOUN ADP,14652
31,NOUN ADP ADJ,2657
32,ADP ADJ NOUN,7329
33,ADJ NOUN ADP,3415
34,ADP NOUN VERB,15166
35,NOUN VERB PUNCT,34013
36,VERB PUNCT PROPN,7767
37,PUNCT PROPN PUNCT,153478
38,PROPN PUNCT PROPN,153566
39,PUNCT PROPN CCONJ,4093
40,PROPN CCONJ PROPN,6314
41,CCONJ PROPN PUNCT,3760
42,PROPN PUNCT ADP,1324
43,PUNCT ADP NOUN,9401
44,VERB PUNCT ADP,4229
45,PUNCT ADP NUM,1201
46,ADP NUM NOUN,1780
47,NUM NOUN VERB,12419
48,NOUN VERB VERB,28224
49,VERB VERB PUNCT,12736
50,VERB PUNCT PRON,2118
51,PUNCT PRON NOUN,1149
52,PRON NOUN VERB,1930
53,VERB PUNCT _,42802
54,PUNCT _ _,193296
55,PUNCT PROPN NOUN,20896
56,PROPN NOUN NOUN,24236
57,NOUN NOUN PUNCT,93839
58,NOUN PUNCT PROPN,23943
59,PUNCT PROPN ADJ,2900
60,PROPN ADJ NOUN,5572
61,ADJ NOUN PUNCT,34762
62,PROPN NOUN PUNCT,19591
63,PROPN NOUN ADJ,1708
64,NOUN ADJ NOUN,11956
65,PUNCT PROPN PROPN,7112
66,PROPN PROPN NOUN,6202
67,PROPN PROPN PUNCT,4908
68,PROPN ADJ PROPN,849
69,ADJ PROPN PUNCT,912
