,ngram,count
0,DT NN,2367883
1,NN VBZ,361211
2,VBZ IN,166106
3,IN CD,154290
4,CD NNP,34310
5,NNP _,3515
6,_ _,1965966
7,VBP PRP,68923
8,PRP VB,40627
9,VB PRP,127621
10,PRP .,50249
11,. WP,634
12,WP VBZ,37286
13,VBZ DT,298277
14,NN .,788423
15,. _,1918194
16,PRP$ NN,251452
17,IN PRP$,266548
18,PRP RB,134224
19,RB VBP,95986
20,VBP NN,26936
21,VB NN,124358
22,"NN ,",793092
23,", IN",524297
24,IN JJ,636267
25,JJ .,102662
26,NN VBD,64236
27,VBD IN,93869
28,IN NNP,568783
29,NNP RB,39387
30,RB IN,330272
31,IN DT,3073326
32,PRP VBD,149033
33,VBD PRP,17098
34,PRP WRB,2356
35,WRB TO,4007
36,TO VB,1064807
37,VB .,41068
38,PRP VBN,3422
39,VBN IN,539414
40,VBZ JJR,8136
41,JJR IN,29163
42,IN NN,972233
43,PRP$ JJ,119707
44,JJ NN,1579256
45,VBZ NNP,9200
46,NNP NNP,925582
47,NNP .,251837
48,VBD VBG,9271
49,VBG IN,161629
50,VB RB,106617
51,"RB ,",300536
52,PRP VBZ,283431
53,VBZ JJ,144941
54,JJ TO,116405
55,VB NNS,64459
56,NNS IN,840311
57,PRP VBP,710861
58,VBP VBG,83914
59,VBG DT,212070
60,DT JJS,30579
61,JJS .,1341
62,RB DT,125241
63,VBZ VBN,211658
64,VBN RP,43477
65,RP IN,60298
66,NN RB,115750
67,RB .,95905
68,NNS .,387306
69,DT JJ,1269925
70,VBN DT,91970
71,VBP JJ,106114
72,JJ NNS,884463
73,IN NNS,367352
74,JJ CD,13686
75,CD NNS,99301
76,NNS VBP,187549
77,VBP CD,9118
78,CD NN,82165
79,NN DT,47546
80,DT .,26508
81,VBD TO,26338
82,VB DT,548063
83,NN WRB,24141
84,WRB PRP,60255
85,VBD JJR,1210
86,JJR .,4178
87,PRP IN,88932
88,VBP DT,171783
89,VBD DT,86879
90,VBZ VBG,59903
91,VBG JJ,65480
92,JJ RB,16545
93,NN IN,2475729
94,NNS VBD,34085
95,DT NNP,1070837
96,NNP NN,130709
97,JJS NN,17122
98,VBD NN,13515
99,UH .,988
100,. PRP,17235
101,DT RB,84593
102,RB JJ,284444
103,PRP MD,422328
104,MD VB,687459
105,VB TO,140375
106,DT NNS,528880
107,DT CD,63131
108,CD VBD,3159
109,NNP CC,208223
110,CC PRP,140410
111,VBP VBN,191000
112,VBN VBN,81754
113,EX VBP,33850
114,VB IN,361692
115,IN PRP,425938
116,VBZ RB,299844
117,RB VBN,186992
118,VBN .,100853
119,VBP RB,231097
120,RB VBG,75410
121,JJ IN,320111
122,WRB VBP,3437
123,PRP VBG,5058
124,VBG RB,34832
125,RB RB,271525
126,MD PRP,17912
127,NN CC,441867
128,CC IN,162650
129,WRB RB,4750
130,PRP DT,27823
131,CD IN,65172
132,NN NNS,282367
133,RB VBZ,67815
134,NN JJ,34884
135,RB VBD,32519
136,VBD VBN,65529
137,VBN RB,73249
138,WRB VBZ,3240
139,VBZ PRP,26464
140,VBG TO,36571
141,NN NN,465526
142,"NNS ,",394216
143,", PRP",315167
144,VBP TO,110587
145,WRB JJ,15260
146,WDT NN,12085
147,NN VBP,41263
148,VB RBS,530
149,RBS .,180
150,VB VB,7849
151,VBD NNP,5872
152,NNP IN,318888
153,JJ JJ,261975
154,MD RB,228826
155,RB VB,335326
156,"JJ ,",125214
157,", RB",222366
158,JJ NNPS,8801
159,NNPS VBP,14171
160,VBP IN,198020
161,NN TO,200046
162,"UH ,",6569
163,. EX,878
164,EX VBZ,60141
165,JJ VBZ,11310
166,VB PRP$,77747
167,NNP CD,60561
168,CD VBZ,7132
169,CC DT,250835
170,NN CD,26928
171,CD .,34996
172,VBD PRP$,9026
173,JJR TO,3373
174,VB JJ,183829
175,UH VB,2919
176,PRP$ NNS,118455
177,VBG PRP$,22993
178,JJ WRB,3840
179,VBP .,12717
180,WP VBD,16970
181,RB NNS,9795
182,VBZ .,10527
183,NN UH,286
184,. WRB,478
185,VBN PRP,14804
186,IN RB,75749
187,VB RP,55794
188,RP .,9111
189,. :,11603
190,: UH,620
191,", UH",2702
192,", CC",324137
193,CC RB,141332
194,RB JJR,16065
195,RB WP,5103
196,. RB,5910
197,UH RB,364
198,", VB",32761
199,NN MD,146257
200,VB PDT,7832
201,PDT DT,61756
202,", WP",21828
203,RB PRP,40922
204,"PRP ,",47575
205,DT VBZ,141536
206,VBZ CD,14700
207,CD VBN,1912
208,", NN",87779
209,CC NN,185659
210,WRB VBD,766
211,VB VBG,29994
212,VBG .,11993
213,VBZ EX,1476
214,EX DT,1239
215,NN VBG,49167
216,VBZ RBR,4042
217,RBR JJ,47628
218,IN VBG,278222
219,VBG CC,12999
220,VBZ TO,73135
221,VB VBN,252519
222,VBD CD,5386
223,WRB POS,2
224,POS NN,94744
225,VBP NNP,9870
226,NNP JJR,507
227,VBD RB,63586
228,RP DT,34392
229,VBG NN,103116
230,. -LRB-,1152
231,-LRB- CC,506
