,ngram,count
0,DT,5983101
1,NN,6942075
2,VBZ,1492712
3,IN,7350452
4,CD,533527
5,NNP,3419390
6,_,3931932
7,VBP,1346470
8,PRP,2073989
9,VB,2323478
10,.,2007460
11,WP,173588
12,PRP$,521164
13,RB,2503856
14,",",2629678
15,JJ,3806062
16,VBD,483147
17,WRB,174643
18,TO,1091718
19,VBN,1353877
20,JJR,136171
21,VBG,892432
22,NNS,2897785
23,JJS,60426
24,RP,162241
25,UH,26272
26,MD,976647
27,CC,1723472
28,EX,122441
29,WDT,478873
30,RBS,32852
31,NNPS,144095
32,:,237393
33,PDT,66130
34,RBR,90066
35,POS,192689
36,-LRB-,88718
37,-RRB-,94431
38,_SP,63964
39,HYPH,246415
40,'',58403
41,XX,648
42,``,38397
43,NFP,5134
44,FW,15066
45,$,490
46,LS,4003
47,WP$,7079
48,SYM,12484
49,ADD,228
50,AFX,46
