,ngram,count
0,DET NOUN VERB,450976
1,NOUN VERB ADP,231766
2,VERB ADP NUM,33524
3,ADP NUM PROPN,22262
4,NUM PROPN _,338
5,PROPN _ _,3779
6,VERB PRON VERB,86106
7,PRON VERB PRON,56065
8,VERB PRON PUNCT,41518
9,PRON PUNCT PRON,5920
10,PUNCT PRON VERB,362552
11,PRON VERB DET,198141
12,VERB DET NOUN,873814
13,DET NOUN PUNCT,626610
14,NOUN PUNCT _,1146439
15,PUNCT _ _,1947737
16,VERB ADP DET,741013
17,ADP DET NOUN,1683775
18,PRON ADV VERB,102692
19,ADV VERB NOUN,67639
20,VERB NOUN PUNCT,126575
21,NOUN PUNCT ADP,223784
22,PUNCT ADP ADJ,48688
23,ADP ADJ PUNCT,46528
24,ADJ PUNCT _,104983
25,VERB ADP PROPN,92846
26,ADP PROPN ADV,8830
27,PROPN ADV ADP,4399
28,ADV ADP DET,158753
29,VERB PRON ADV,37505
30,PRON ADV PART,1691
31,ADV PART VERB,44738
32,PART VERB PUNCT,49571
33,VERB PUNCT _,181819
34,PRON VERB ADP,221829
35,NOUN VERB ADJ,74032
36,VERB ADJ ADP,143538
37,ADJ ADP NOUN,46265
38,ADP NOUN PUNCT,386070
39,DET ADJ NOUN,1141192
40,ADJ NOUN VERB,309891
41,NOUN VERB PROPN,6047
42,VERB PROPN PROPN,30602
43,PROPN PROPN PUNCT,405414
44,PROPN PUNCT _,251247
45,NOUN VERB VERB,400499
46,VERB VERB ADP,463332
47,VERB ADP ADJ,126871
48,ADP ADJ NOUN,491040
49,ADJ NOUN PUNCT,819322
50,VERB ADV PUNCT,63058
51,ADV PUNCT ADP,63705
52,PUNCT ADP DET,230869
53,PRON VERB ADJ,130524
54,VERB ADJ PART,78812
55,ADJ PART VERB,119125
56,PART VERB NOUN,112439
57,VERB NOUN ADP,233705
58,NOUN ADP DET,1551546
59,PRON VERB VERB,528847
60,VERB VERB DET,264324
61,VERB DET ADJ,434830
62,DET ADJ PUNCT,42728
63,ADV DET NOUN,89698
64,VERB VERB PART,203659
65,VERB PART ADP,54750
66,PART ADP DET,33440
67,DET NOUN ADV,87038
68,NOUN ADV PUNCT,49252
69,ADV PUNCT _,96833
70,PRON VERB NOUN,36880
71,VERB ADJ NOUN,235307
72,ADJ NOUN ADP,807002
73,NOUN ADP NOUN,750753
74,ADP NOUN ADP,389556
75,DET ADJ NUM,11910
76,ADJ NUM NOUN,9482
77,NUM NOUN VERB,21288
78,NOUN VERB NUM,7937
79,VERB NUM NOUN,23999
80,NUM NOUN DET,6886
81,NOUN DET PUNCT,7171
82,DET PUNCT _,25897
83,PRON VERB PART,108408
84,VERB PART VERB,451963
85,PART VERB DET,354029
86,NOUN ADV PRON,14251
87,ADV PRON VERB,97420
88,VERB ADJ PUNCT,78663
89,VERB PRON ADP,62180
90,PRON ADP NOUN,9657
91,PRON PUNCT _,49037
92,ADJ NOUN ADV,55137
93,VERB VERB ADJ,113387
94,VERB ADJ ADV,9366
95,ADJ ADV PUNCT,4694
96,DET NOUN ADP,1424426
97,ADP NOUN VERB,128160
98,NOUN VERB DET,135731
99,DET PROPN NOUN,85680
100,PROPN NOUN VERB,34561
101,NOUN ADP PROPN,267491
102,ADP PROPN PUNCT,165572
103,NOUN VERB NOUN,38328
104,INTJ PUNCT PRON,2329
105,VERB DET ADV,48124
106,DET ADV ADJ,84284
107,ADV ADJ NOUN,127298
108,ADP DET ADJ,706149
109,PRON ADV PUNCT,7553
110,PRON AUX VERB,78
111,AUX VERB PART,9
112,VERB DET NUM,9705
113,DET NUM VERB,2483
114,NUM VERB DET,3187
115,PROPN CCONJ PRON,6814
116,CCONJ PRON VERB,131194
117,VERB VERB VERB,251008
118,ADP NUM NOUN,53407
119,NUM NOUN PUNCT,55248
120,ADV VERB ADJ,66488
121,VERB ADP PRON,126087
122,ADP PRON ADP,20973
123,PRON ADP DET,48204
124,PRON VERB ADV,332630
125,VERB ADV VERB,439625
126,ADV VERB PUNCT,62008
127,ADV VERB DET,232828
128,ADJ ADP DET,171547
129,ADV VERB PRON,41775
130,VERB ADV ADV,139134
131,ADV ADV PUNCT,64496
132,PART VERB ADP,178555
133,VERB ADP NOUN,230511
134,ADP NOUN CCONJ,130975
