,ngram,count
0,DT NN,3862812
1,NN VBZ,210688
2,VBZ IN,480309
3,IN DT,4569681
4,DT NNP,1189455
5,NNP IN,1051038
6,NN .,543600
7,. _,1914572
8,_ _,1964017
9,. PRP,5149
10,PRP VBZ,438426
11,VBZ .,20090
12,. .,1874
13,. WP,10845
14,WP VBZ,22592
15,VBZ DT,453848
16,PRP$ NN,298107
17,VBZ RB,174265
18,RB IN,470328
19,IN PRP$,305062
20,IN NNP,1491570
21,NNP NNP,703169
22,NNP NN,18757
23,"RB ,",159205
24,", IN",752419
25,IN VBZ,152806
26,VBZ JJ,207030
27,JJ .,512714
28,NN VBD,25442
29,VBD IN,120219
30,NNP RB,96456
31,VBZ WDT,1530
32,WDT TO,2950
33,TO VB,1644309
34,VB .,41686
35,. VBP,8541
36,VBP VBN,242126
37,VBN RB,70082
38,RB JJ,329962
39,JJ IN,1229589
40,NN JJ,1277300
41,JJ VBZ,88264
42,VBZ NNP,6995
43,NNP .,373423
44,NN IN,2748081
45,RB RB,141054
46,JJ TO,55623
47,VB DT,645618
48,DT NNS,1751423
49,NNS IN,1034391
50,IN NN,1576673
51,RB DT,169377
52,DT DT,508723
53,NNS VBP,104185
54,VBN IN,277585
55,VBP DT,231745
56,NNS .,267871
57,JJ PRP,28373
58,VBZ VBN,260447
59,VBN .,37793
60,IN NNS,488058
61,DT CD,83699
62,CD NNS,145649
63,NNS JJ,739313
64,JJ VBP,51021
65,VBP IN,493261
66,NN DT,300196
67,DT .,23637
68,VBD TO,47854
69,VB NN,72310
70,IN VBD,33532
71,VBD RB,32049
72,PRP VBP,284275
73,IN PRP,243233
74,VBD DT,91718
75,PRP VBD,95940
76,VBD .,5935
77,NNP VBZ,240930
78,VBZ VBG,44196
79,VBG NN,7002
80,NNS VBZ,31560
81,VBN DT,149157
82,NN RB,212177
83,. UH,475
84,UH .,469
85,NNP JJ,108239
86,NNS VBD,13650
87,VBD CD,3247
88,CD NNP,6293
89,NNP DT,99053
90,NNP CC,260596
91,CC PRP,45856
92,PRP PRP,32922
93,VBP VBZ,5679
94,VBZ CD,11109
95,VBP RB,114802
96,RB .,51528
97,VB PRP,7483
98,PRP IN,16469
99,RB VBP,220112
100,VBP VBG,52128
101,VBG .,5878
102,VBP JJ,81835
103,. IN,18653
104,IN WP,27507
105,WP VBP,15963
106,VBG RB,19526
107,VBP TO,245166
108,VB IN,594483
109,CC IN,343652
110,DT IN,139314
111,IN IN,311284
112,"NNP ,",812156
113,", RB",263199
114,RB PRP,138854
115,VBP PRP,2541
116,PRP .,19460
117,IN WDT,12180
118,WDT PRP,5465
119,IN TO,735337
120,NNS NN,6899
121,NNS RB,107261
122,MD VB,422827
123,DT JJ,515262
124,JJ NN,503039
125,. DT,9674
126,. WDT,11601
127,WDT NN,8033
128,NN PRP,64723
129,IN JJ,222626
130,VBD JJ,21087
131,JJ DT,150405
132,PRP RB,17645
133,VBP NN,35490
134,VB RB,144324
135,"NN ,",658269
136,", VBD",34704
137,. VBZ,12977
138,WP RB,6631
139,", VBZ",129363
140,PRP JJ,6501
141,JJ PRP$,3477
142,CD IN,70309
143,VBN JJ,23290
144,NN CC,346961
145,CC DT,383767
146,VBZ PRP$,20548
147,NN CD,32939
148,CD .,21858
149,VBD PRP$,7856
150,"NNS ,",273961
151,RB VBZ,239651
152,VBZ NNS,30287
153,VBG IN,65695
154,IN VBP,148456
155,VBP .,21166
156,PRP MD,94506
157,DT VBZ,293898
158,WDT VBZ,5864
159,WP NNS,3435
160,NNS DT,183639
161,VBP NNP,5525
162,NNP NNS,9260
163,IN UH,33
164,WDT VBP,6407
165,IN RB,203847
166,. SYM,24996
167,SYM RB,6163
168,"JJ ,",458387
169,", CC",274186
170,CC RB,132787
171,", .",14015
172,DT VBP,255428
173,RB NNP,39880
174,RB MD,53985
175,VBZ TO,199559
176,", WP",9573
177,WP PRP,8913
178,", PRP",101896
179,IN CD,118680
180,CD NN,37500
181,", NN",91248
182,CC NN,73384
183,NN TO,13230
184,VB CC,31889
185,CC TO,68411
186,VB JJ,78709
187,NNS PRP,33662
188,", DT",604025
189,RB VBD,39509
190,DT VBD,53887
191,VBD VBG,3412
192,. NNP,4970
193,NNS _LRB_,3237
194,_LRB_ IN,2250
195,NN -RBR-,8807
196,-RBR- VBP,3860
197,SYM VBP,6292
198,CD RB,2801
199,PRP$ NNS,149914
200,WDT VBD,605
201,PRP$ JJ,36238
202,JJ SYM,11309
203,SYM NN,18830
204,JJ NNS,198821
