,english,spanish,en_ud,en_penn,es_ud,es_penn
0,"If we do that, we will not always need to call for more and more budgetary resources, but will be able to use the budget to produce modern policies for the future.","Si lo hacemos, no tendremos que andar siempre pidiendo más y más recursos presupuestarios, seremos capaces de usar el presupuesto para elaborar políticas modernas para el futuro.",ADP PRON VERB DET PUNCT PRON VERB ADV ADV VERB PART VERB ADP ADJ CCONJ ADJ ADJ NOUN PUNCT CCONJ VERB VERB ADJ PART VERB DET NOUN PART VERB ADJ NOUN ADP DET NOUN PUNCT ,"IN PRP VBP DT , PRP MD RB RB VB TO VB IN JJR CC JJR JJ NNS , CC MD VB JJ TO VB DT NN TO VB JJ NNS IN DT NN . ",SCONJ PRON VERB PUNCT ADV VERB SCONJ VERB ADV VERB ADV CCONJ ADV NOUN ADJ PUNCT AUX ADJ ADP VERB DET NOUN ADP VERB NOUN ADJ ADP DET NOUN PUNCT ,"IN PRP VBP , RB MD VB IN TO VB RB VBG RB CC RB NNS JJ , VBP JJ IN TO VB DT NN IN TO VB NNS JJ IN DT NN . "
1,"Mr President, ladies and gentlemen, this report is a proper, reasonable offer by Parliament to the Commission and Council for the further development of the budgetary basis of the European Union in difficult times.","Señor Presidente, Señorías, este informe es una oferta apropiada y razonable del Parlamento a la Comisión y al Consejo para que desarrollen más la base presupuestaria de la Unión Europea en tiempos difíciles.",PROPN PROPN PUNCT NOUN CCONJ NOUN PUNCT DET NOUN VERB DET ADJ PUNCT ADJ NOUN ADP PROPN ADP DET PROPN CCONJ PROPN ADP DET ADJ NOUN ADP DET ADJ NOUN ADP DET PROPN PROPN ADP ADJ NOUN PUNCT ,"NNP NNP , NNS CC NNS , DT NN VBZ DT JJ , JJ NN IN NNP IN DT NNP CC NNP IN DT JJ NN IN DT JJ NN IN DT NNP NNP IN JJ NNS . ",NOUN PROPN PUNCT PROPN PUNCT DET NOUN AUX DET NOUN ADJ CCONJ ADJ ADP PROPN ADP DET PROPN CCONJ ADP PROPN ADP SCONJ VERB ADV DET NOUN ADJ ADP DET PROPN PROPN ADP NOUN ADJ PUNCT ,"NN NNP , NNP , DT NN VBZ DT NN JJ CC JJ IN NNP IN DT NNP CC IN NNP IN IN VBP RB DT NN JJ IN DT NNP NNP IN NNS JJ . "
2,"I would like to thank the rapporteur, Mr Garriga Polledo, and the committee chair, Mrs Haug, for their work.","Me gustaría agradecer al ponente, el señor Garriga Polledo, y a la presidenta de la comisión, la señora Haug, su trabajo.",PRON VERB VERB PART VERB DET NOUN PUNCT PROPN PROPN PROPN PUNCT CCONJ DET NOUN NOUN PUNCT PROPN PROPN PUNCT ADP DET NOUN PUNCT ,"PRP MD VB TO VB DT NN , NNP NNP NNP , CC DT NN NN , NNP NNP , IN PRP$ NN . ",PRON VERB VERB ADP NOUN PUNCT DET NOUN PROPN PROPN PUNCT CCONJ ADP DET NOUN ADP DET NOUN PUNCT DET NOUN PROPN PUNCT DET NOUN PUNCT ,"PRP MD VB TO VB IN NN , DT NN NNP NNP , CC IN DT NN IN DT NN , DT NN NNP , PRP$ NN . "
3,You have both done an excellent job.,Ambos han realizado una excelente labor.,PRON VERB DET VERB DET ADJ NOUN PUNCT ,PRP VBP DT VBN DT JJ NN . ,NUM AUX VERB DET ADJ NOUN PUNCT ,DT VBP VBN DT JJ NN . 
4,"Despite all the political differences between the various groups, our work was characterised by a struggle to find joint European solutions.","A pesar de todas las diferencias políticas entre los distintos grupos, nuestro trabajo se ha caracterizado por la lucha por encontrar soluciones europeas conjuntas.",ADP DET DET ADJ NOUN ADP DET ADJ NOUN PUNCT DET NOUN VERB VERB ADP DET NOUN PART VERB ADJ ADJ NOUN PUNCT ,"IN PDT DT JJ NNS IN DT JJ NNS , PRP$ NN VBD VBN IN DT NN TO VB JJ JJ NNS . ",ADP NOUN ADP DET DET NOUN ADJ ADP DET DET NOUN PUNCT DET NOUN PRON AUX VERB ADP DET NOUN ADP VERB NOUN ADJ ADJ PUNCT ,"IN NNP IN DT DT NNS JJ IN DT DT NNS , PRP$ NN PRP VBZ VBN IN DT NN IN TO VB NNS JJ JJ . "
5,Other institutions could have a little more of this spirit.,Otras instituciones podrían contagiarse un poco de este espíritu.,ADJ NOUN VERB VERB DET ADJ ADJ ADP DET NOUN PUNCT ,JJ NNS MD VB DT JJ JJR IN DT NN . ,DET NOUN AUX VERB DET PRON ADP DET NOUN PUNCT ,DT NNS MD VB TO VB DT DT IN DT NN . 
6,"We want to have genuine own resources, as described in the Treaty.","Queremos recursos propios auténticos, como se describen en el Tratado.",PRON VERB PART VERB ADJ ADJ NOUN PUNCT ADP VERB ADP DET PROPN PUNCT ,"PRP VBP TO VB JJ JJ NNS , IN VBN IN DT NNP . ",VERB NOUN ADJ ADJ PUNCT SCONJ PRON VERB ADP DET PROPN PUNCT ,"VBP NNS JJ JJ , IN PRP VBP IN DT NNP . "
7,"Irrespective of other income, the budget is to be financed solely from own resources.","Sin perjuicio de otros ingresos, el presupuesto debe financiarse únicamente con recursos propios.",ADV ADP ADJ NOUN PUNCT DET NOUN VERB PART VERB VERB ADV ADP ADJ NOUN PUNCT ,"RB IN JJ NN , DT NN VBZ TO VB VBN RB IN JJ NNS . ",ADP NOUN ADP DET NOUN PUNCT DET NOUN AUX VERB ADV ADP NOUN ADJ PUNCT ,"IN NNP IN DT NNS , DT NN VBZ TO VB RB IN NNS JJ . "
8,"In other words, we are being faithful to the Treaty when we demand this.","En otras palabras, al exigir esto estamos siéndole leales al Tratado.",ADP ADJ NOUN PUNCT PRON VERB VERB ADJ ADP DET PROPN ADV PRON VERB DET PUNCT ,"IN JJ NNS , PRP VBP VBG JJ IN DT NNP WRB PRP VBP DT . ",ADP DET NOUN PUNCT ADP AUX PRON AUX NOUN ADJ ADP PROPN PUNCT ,"IN DT NNS , IN TO VB DT VBP NN JJ IN NNP . "
9,"By the way, let us bring an end to all of these extraordinary targeted rebates.","Por cierto, vamos a poner fin a todos estos reembolsos específicos extraordinarios.",ADP DET NOUN PUNCT VERB PRON VERB DET NOUN ADP DET ADP DET ADJ VERB NOUN PUNCT ,"IN DT NN , VB PRP VB DT NN IN DT IN DT JJ VBN NNS . ",ADP ADJ PUNCT AUX ADP VERB NOUN ADP DET DET NOUN ADJ ADJ PUNCT ,"IN JJ , VBP IN TO VB NN IN DT DT NNS JJ JJ . "
10,This debate should be conducted jointly with our colleagues in the national parliaments without prejudice and with less foaming at the mouth than is evident in some capital cities and commentaries.,Este debate debería llevarse a cabo junto con los colegas de los parlamentos nacionales sin prejuicios y echando menos espumarajos por la boca de los que se hacen evidentes en algunas capitales y en algunos comentarios.,DET NOUN VERB VERB VERB ADV ADP DET NOUN ADP DET ADJ NOUN ADP NOUN CCONJ ADP ADV VERB ADP DET NOUN ADP VERB ADJ ADP DET NOUN NOUN CCONJ NOUN PUNCT ,DT NN MD VB VBN RB IN PRP$ NNS IN DT JJ NNS IN NN CC IN RBR VBG IN DT NN IN VBZ JJ IN DT NN NNS CC NNS . ,DET NOUN AUX VERB ADP NOUN ADJ ADP DET NOUN ADP DET NOUN ADJ ADP NOUN CCONJ VERB ADV ADJ ADP DET NOUN ADP DET PRON PRON VERB ADJ ADP DET NOUN CCONJ ADP DET NOUN PUNCT ,DT NN MD VB TO VB IN NN JJ IN DT NNS IN DT NNS JJ IN NNS CC VBG RB JJ IN DT NN IN DT DT PRP VBP JJ IN DT NNS CC IN DT NNS . 
11,"At the same time, we want to know that the unity of the budget is protected and that budgetary policy is not to be taken away from the community budget.","Al mismo tiempo, queremos saber que la unidad del presupuesto está protegida y que la política presupuestaria no se va a deducir del presupuesto comunitario.",ADP DET ADJ NOUN PUNCT PRON VERB PART VERB ADP DET NOUN ADP DET NOUN VERB VERB CCONJ ADP ADJ NOUN VERB ADV PART VERB VERB ADV ADP DET NOUN NOUN PUNCT ,"IN DT JJ NN , PRP VBP TO VB IN DT NN IN DT NN VBZ VBN CC IN JJ NN VBZ RB TO VB VBN RB IN DT NN NN . ",ADP DET NOUN PUNCT VERB AUX SCONJ DET NOUN ADP NOUN AUX ADJ CCONJ SCONJ DET NOUN ADJ ADV PRON AUX ADP VERB ADP NOUN ADJ PUNCT ,"IN DT NNP , VBP TO VB IN DT NN IN NN VBZ JJ CC IN DT NN JJ RB PRP VBZ IN TO VB IN NN JJ . "
12,"When we discuss expenditure, we must refer to the obligations that result from the Treaty of Lisbon.","Cuando hablamos sobre gastos, tenemos que referirnos a las obligaciones que se derivan del Tratado de Lisboa.",ADV PRON VERB NOUN PUNCT PRON VERB VERB ADP DET NOUN DET VERB ADP DET PROPN ADP PROPN PUNCT ,"WRB PRP VBP NN , PRP MD VB IN DT NNS WDT VBP IN DT NNP IN NNP . ",SCONJ VERB ADP NOUN PUNCT VERB SCONJ VERB ADP DET NOUN PRON PRON VERB ADP PROPN ADP PROPN PUNCT ,"IN VBP IN NNS , VBP IN VBZ IN DT NNS DT PRP VBP IN NNP IN NNP . "
13,We must provide sufficient finance for the EU 2020 strategy to which we have all committed ourselves.,"Tenemos que proporcionar financiación suficiente para la Estrategia Europa 2020, a la que nos hemos comprometido.",PRON VERB VERB ADJ NOUN ADP DET PROPN NUM NOUN PART DET PRON VERB ADV VERB PRON PUNCT ,PRP MD VB JJ NN IN DT NNP CD NN TO WDT PRP VBP RB VBN PRP . ,VERB SCONJ VERB NOUN ADJ ADP DET PROPN PROPN NUM PUNCT ADP DET PRON PRON AUX VERB PUNCT ,"VBP IN TO VB NN JJ IN DT NNP NNP CD , IN DT DT PRP VBP VBN . "
14,Growth is the basis for economic and social activity.,El crecimiento es la base de la actividad económica y social.,NOUN VERB DET NOUN ADP ADJ CCONJ ADJ NOUN PUNCT ,NN VBZ DT NN IN JJ CC JJ NN . ,DET NOUN AUX DET NOUN ADP DET NOUN ADJ CCONJ ADJ PUNCT ,DT NN VBZ DT NN IN DT NN JJ CC JJ . 
15,"We must discuss European added value and the necessary synergies between the national budgets and the EU budget in greater detail than before because, irrespective of the potential savings to be achieved in the EU budget, a lot of the additional resources required can be discussed in the context of a genuine debate on synergy and potential savings between the EU budget and the national budgets.","Tenemos que profundizar más que nunca en el tema del valor añadido europeo y de las sinergias necesarias entre los presupuestos nacionales y el presupuesto comunitario porque, aparte del potencial de ahorro que se pueda conseguir en el presupuesto comunitario, muchos de los recursos adicionales requeridos pueden discutirse en el contexto de un auténtico debate sobre la sinergia y el potencial de ahorro entre el presupuesto comunitario y los presupuestos nacionales.",PRON VERB VERB ADJ VERB NOUN CCONJ DET ADJ NOUN ADP DET ADJ NOUN CCONJ DET PROPN NOUN ADP ADJ NOUN ADP ADV ADP PUNCT ADV ADP DET ADJ NOUN PART VERB VERB ADP DET PROPN NOUN PUNCT DET NOUN ADP DET ADJ NOUN VERB VERB VERB VERB ADP DET NOUN ADP DET ADJ NOUN ADP NOUN CCONJ ADJ NOUN ADP DET PROPN NOUN CCONJ DET ADJ NOUN PUNCT ,"PRP MD VB JJ VBN NN CC DT JJ NNS IN DT JJ NNS CC DT NNP NN IN JJR NN IN RB IN , RB IN DT JJ NNS TO VB VBN IN DT NNP NN , DT NN IN DT JJ NNS VBN MD VB VBN IN DT NN IN DT JJ NN IN NN CC JJ NNS IN DT NNP NN CC DT JJ NNS . ",VERB SCONJ VERB ADV SCONJ ADV ADP DET NOUN ADP NOUN ADJ ADJ CCONJ ADP DET NOUN ADJ ADP DET NOUN ADJ CCONJ DET NOUN ADJ SCONJ PUNCT ADV ADP NOUN ADP NOUN PRON PRON AUX VERB ADP DET NOUN ADJ PUNCT PRON ADP DET NOUN ADJ ADJ AUX VERB ADP DET NOUN ADP DET ADJ NOUN ADP DET NOUN CCONJ DET NOUN ADP NOUN ADP DET NOUN ADJ CCONJ DET NOUN ADJ PUNCT ,"VBP IN TO VB RB IN RB IN DT NN IN NN JJ JJ CC IN DT NNS JJ IN DT NNS JJ CC DT NN JJ IN , RB IN NN IN NN DT PRP VBZ TO VB IN DT NN JJ , DT IN DT NNS JJ VBN VBP TO VB IN DT NN IN DT JJ NN IN DT NN CC DT NN IN NN IN DT NN JJ CC DT NNS JJ . "
16,"We must tell the Council clearly that if it refuses to take the path indicated by us today, it needs to indicate which political priorities are to be struck off the agenda and no longer financed.","Debemos dejar claro al Consejo que si se niega a seguir el camino que le hemos mostrado hoy, tendrá que indicar qué prioridades políticas se deben tachar del orden del día y ya no se financiarán.",PRON VERB VERB DET PROPN ADV ADP ADP PRON VERB PART VERB DET NOUN VERB ADP PRON NOUN PUNCT PRON VERB PART VERB DET ADJ NOUN VERB PART VERB VERB PART DET NOUN CCONJ ADV ADV VERB PUNCT ,"PRP MD VB DT NNP RB IN IN PRP VBZ TO VB DT NN VBN IN PRP NN , PRP VBZ TO VB WDT JJ NNS VBP TO VB VBN RP DT NN CC RB RBR VBN . ",AUX VERB ADV ADP PROPN SCONJ SCONJ PRON VERB ADP VERB DET NOUN PRON PRON AUX VERB ADV PUNCT VERB SCONJ AUX DET NOUN ADJ PRON AUX VERB ADP NOUN ADP NOUN CCONJ ADV ADV PRON VERB PUNCT ,"VBP TO VB RB IN NNP IN IN PRP VBZ IN TO VB DT NN DT PRP VBP VBN RB , MD VB IN TO VB WDT NNS JJ PRP VBP TO VB IN NN IN NN CC RB RB PRP MD VB . "
