,ngram,count
0,DT NN VBZ,130153
1,NN VBZ IN,45290
2,VBZ IN CD,2836
3,IN CD NNP,21983
4,CD NNP _,338
5,NNP _ _,3515
6,VBP PRP VB,5483
7,PRP VB PRP,3482
8,VB PRP .,10246
9,PRP . WP,25
10,. WP VBZ,257
11,WP VBZ DT,5163
12,VBZ DT NN,137983
13,DT NN .,183454
14,NN . _,755677
15,. _ _,1918194
16,PRP$ NN VBZ,17914
17,VBZ IN PRP$,4662
18,IN PRP$ NN,128376
19,PRP$ NN .,34666
20,PRP RB VBP,63923
21,RB VBP NN,3161
22,VBP NN .,1981
23,"VB NN ,",8289
24,"NN , IN",131529
25,", IN JJ",39945
26,IN JJ .,9969
27,JJ . _,99483
28,PRP$ NN VBD,3580
29,NN VBD IN,9933
30,VBD IN NNP,7752
31,IN NNP RB,6557
32,NNP RB IN,3510
33,RB IN DT,139258
34,IN DT NN,1205569
35,PRP VBD PRP,5228
36,VBD PRP WRB,152
37,PRP WRB TO,67
38,WRB TO VB,3920
39,TO VB .,22206
40,VB . _,39930
41,VBP PRP VBN,1234
42,PRP VBN IN,1234
43,VBN IN PRP$,14705
44,NN VBZ JJR,1785
45,VBZ JJR IN,2884
46,JJR IN NN,2114
47,IN NN .,119832
48,PRP$ JJ NN,64241
49,JJ NN VBZ,83052
50,NN VBZ NNP,1717
51,VBZ NNP NNP,2132
52,NNP NNP .,99900
53,NNP . _,234492
54,NN VBD VBG,1136
55,VBD VBG IN,2438
56,VBG IN JJ,14632
57,IN JJ NN,218615
58,JJ NN .,236507
59,"VB RB ,",5487
60,"RB , IN",56654
61,", IN DT",170854
62,PRP VBZ JJ,54785
63,VBZ JJ TO,22819
64,JJ TO VB,114929
65,TO VB NNS,37860
66,VB NNS IN,26468
67,NNS IN DT,344190
68,PRP VBP VBG,51997
69,VBP VBG DT,11986
70,VBG DT JJS,1160
71,DT JJS .,843
72,JJS . _,1308
73,RB DT NN,55843
74,NN VBZ VBN,71400
75,VBZ VBN RP,5617
76,VBN RP IN,24684
77,RP IN DT,30359
78,DT NN RB,44254
79,NN RB .,15526
80,RB . _,92625
81,VBD PRP VB,880
82,PRP VB NNS,573
83,VB NNS .,4842
84,NNS . _,376774
85,DT JJ NN,804289
86,VBZ VBN DT,26710
87,VBN DT NN,44095
88,PRP VBP JJ,49587
89,VBP JJ NNS,20014
90,JJ NNS IN,233750
91,NNS IN NNS,58619
92,IN NNS IN,117393
93,PRP VBZ DT,41874
94,VBZ DT JJ,96939
95,DT JJ CD,11584
96,JJ CD NNS,8039
97,CD NNS VBP,5766
98,NNS VBP CD,732
99,VBP CD NN,1286
100,CD NN DT,780
101,NN DT .,36
102,DT . _,25646
103,PRP VBD TO,9163
104,VBD TO VB,26030
105,TO VB DT,300695
106,VB DT NN,245217
107,DT NN WRB,12477
108,NN WRB PRP,8459
109,WRB PRP VBD,9690
110,PRP VBD JJR,317
111,VBD JJR .,38
112,JJR . _,4059
113,VBP PRP IN,8833
114,PRP IN NNS,2368
115,IN NNS .,39107
116,PRP VBP PRP,35372
117,VBP PRP VBP,4403
118,PRP VBP DT,90095
119,VBP DT NN,73117
120,VBP PRP .,3201
121,PRP . _,48714
122,PRP VBD DT,23893
123,VBD DT JJ,21840
124,JJ NN WRB,4792
125,VBD PRP .,965
126,PRP VBZ VBG,6769
127,VBZ VBG JJ,2696
128,VBG JJ RB,194
129,JJ RB .,1960
130,DT NN IN,1118577
131,NN IN NNS,175819
132,IN NNS VBD,2867
133,NNS VBD DT,3114
134,VBD DT NN,42883
135,DT NNP NN,66086
136,NNP NN VBZ,11674
137,NN VBZ DT,59358
138,VBZ DT JJS,3175
139,DT JJS NN,12836
140,JJS NN IN,7526
141,NN IN NNP,188080
142,IN NNP .,66353
143,NN VBD NN,1573
144,VBD NN IN,6726
145,UH . PRP,10
146,. PRP VBZ,3861
147,VBZ DT RB,13510
148,DT RB JJ,48649
149,RB JJ NN,56335
150,PRP VBD IN,36387
151,VBD IN DT,39158
152,IN DT JJ,614833
153,JJ NN IN,528760
154,VB PRP VB,17257
155,VB PRP RB,13820
156,PRP RB .,3487
157,PRP MD VB,296064
158,MD VB TO,91279
159,VB TO VB,138889
160,DT NNS VBP,36742
161,NNS VBP DT,15338
162,VBP DT CD,1254
163,DT CD VBD,209
164,CD VBD DT,652
165,NNP CC PRP,5920
166,CC PRP VBP,60918
167,PRP VBP VBN,78104
168,VBP VBN VBN,22260
169,VBN VBN IN,37253
170,VBN IN CD,15177
171,IN CD NNS,25638
172,CD NNS .,15047
173,EX VBP JJ,7803
174,VB IN PRP,37983
175,IN PRP IN,20889
176,PRP IN DT,40237
177,PRP VBZ RB,73507
178,VBZ RB VBN,59376
179,RB VBN .,15116
180,VBN . _,98151
181,PRP VBP RB,118570
182,VBP RB VBG,22374
183,RB VBG DT,16034
184,VBG DT NN,95131
185,VBP JJ NN,9313
186,NN VBZ JJ,29038
187,VBZ JJ IN,50058
188,JJ IN PRP$,13791
189,PRP VBZ IN,34921
190,VBZ IN DT,64939
191,NN IN DT,1050291
192,WRB VBP PRP,2555
193,VBP PRP VBG,2179
194,PRP VBG RB,350
195,VBG RB RB,4496
196,RB RB .,20556
197,NN VBZ VBG,16571
198,VBZ VBG IN,10690
199,VBG IN DT,73233
200,MD PRP VB,13723
201,PRP VB TO,2461
202,TO VB IN,177654
203,VB IN NN,37568
204,IN NN CC,88651
205,NN CC IN,38567
206,CC IN NN,15449
207,WRB RB VBP,180
208,RB VBP PRP,4803
209,VBN IN NN,56593
210,DT NN VBD,26769
211,VBD VBG DT,1455
212,VBG DT JJ,51703
213,VB PRP DT,7230
214,PRP DT CD,91
215,DT CD IN,3709
216,CD IN DT,37688
217,PRP VB NN,1298
218,VB NN NNS,8436
219,NN NNS .,53330
220,NNP RB VBZ,9927
221,RB VBZ JJ,4471
222,VBZ JJ .,12799
223,JJ NN JJ,5692
224,NN JJ NN,6903
225,JJ NN RB,23092
226,NN RB VBD,3145
227,RB VBD VBN,373
228,VBD VBN .,4459
229,VBP RB VBN,53102
230,RB VBN RB,7872
231,VBN RB .,8718
232,WRB VBZ PRP,798
233,VBZ PRP VBG,385
234,PRP VBG TO,1040
235,VBG TO VB,36158
236,DT NN NN,138447
237,NN NN .,83811
238,NN NN VBD,5361
239,IN DT NNS,284968
240,"DT NNS ,",40596
241,"NNS , PRP",37034
242,", PRP VBP",123548
243,PRP VBP TO,69961
244,VBP TO VB,109579
245,VB IN NNS,13021
246,PRP VB DT,8303
247,NN VBZ RB,71097
248,VBZ RB JJ,71965
249,RB JJ .,31977
250,MD VB DT,121266
251,VB DT JJ,141633
252,WRB JJ NNS,3869
253,JJ NNS VBP,55243
254,NNS VBP RB,40004
255,VBP RB IN,15964
256,VBZ RB .,1940
257,UH . _,895
258,WDT NN VBP,426
259,NN VBP PRP,919
260,PRP VB RBS,7
261,VB RBS .,1
262,RBS . _,177
263,DT JJ NNS,193358
264,JJ NNS .,149505
265,PRP VB VB,87
266,VB VB DT,2574
267,PRP VBD NNP,1877
268,VBD NNP IN,718
269,NNP IN DT,120796
270,DT JJ JJ,99792
271,JJ JJ NN,113249
272,NN IN JJ,257235
273,MD VB IN,92054
274,VB IN JJ,23885
275,VBP PRP VBZ,7448
276,PRP MD RB,112377
277,MD RB VB,203836
278,RB VB DT,75500
279,VBP RB JJ,43348
280,"RB JJ ,",21951
281,"JJ , RB",11987
282,", RB .",3081
283,JJ NNPS VBP,653
284,NNPS VBP IN,1288
285,VBP IN PRP$,6377
286,PRP$ NN IN,71406
287,MD VB RB,36703
288,VB RB RB,12386
289,JJ NN TO,36726
290,NN TO VB,192697
291,"UH , PRP",2225
292,", PRP VBD",23792
293,NN RB RB,18960
294,UH . EX,2
295,. EX VBZ,442
296,EX VBZ DT,32061
297,DT NN TO,76985
298,WRB JJ VBZ,291
299,JJ VBZ DT,2609
300,", PRP VBZ",44203
301,PRP VB PRP$,1149
302,VB PRP$ NN,36856
303,PRP DT NN,9060
304,IN NNP NN,17914
305,NNP NN .,22034
306,NNP CD VBZ,1212
307,CD VBZ DT,1595
308,PRP IN NN,7007
309,DT NN DT,12844
310,NN DT NN,18689
311,DT NN CC,88512
312,NN CC DT,66391
313,CC DT NN,84003
314,VB DT NNS,56376
315,DT NNS IN,199586
316,NNS IN PRP,15977
317,IN PRP .,26906
318,VBP JJ .,6075
319,VB PRP$ JJ,16765
320,NN IN NN,382720
321,IN NN CD,9196
322,NN CD .,2518
323,CD . _,33748
324,PRP VBD PRP$,2404
325,VBD PRP$ NN,5290
326,PRP VBZ JJR,1346
327,VBZ JJR TO,566
328,JJR TO VB,3358
329,TO VB JJ,80123
330,VB JJ NN,39085
331,PRP VBP IN,122961
332,VBP IN NN,20540
333,IN NN DT,13205
334,NN DT NNP,7568
335,UH VB PRP$,166
336,VB PRP$ NNS,21045
337,PRP$ NNS .,23157
338,EX VBP DT,5555
339,VBP DT NNS,17950
340,RB IN NNP,19527
341,NNS VBP PRP,2321
342,PRP VBN .,306
343,PRP VBG PRP$,118
344,VBG PRP$ NNS,6318
345,VBP JJ WRB,216
346,JJ WRB PRP,1817
347,WRB PRP VBP,26638
348,PRP VBP .,6589
349,VBP . _,12316
350,PRP VB .,1049
351,WRB VBZ DT,1888
352,WP VBD PRP,1087
353,VBD PRP VBG,116
354,PRP VBG DT,797
355,VBP RB NNS,2609
356,RB NNS .,930
357,VB PRP IN,32409
358,PRP IN PRP,7520
359,IN PRP VBZ,62639
360,PRP VBZ .,2483
361,VBZ . _,10152
362,JJ NN UH,28
363,NN UH VB,28
364,UH VB .,24
365,VB . WRB,18
366,. WRB VBP,67
367,RB VBN PRP,2772
368,VBN PRP IN,4135
369,PRP IN RB,1177
370,IN RB .,3254
371,WRB RB VB,360
372,RB VB RP,6418
373,VB RP .,1518
374,RP . :,1
375,. : UH,33
376,": UH ,",390
377,"UH , UH",114
378,", UH .",178
379,"VBZ JJ ,",11893
380,"JJ , CC",20901
381,", CC RB",51690
382,CC RB JJR,1051
383,RB JJR IN,4652
384,JJR IN PRP,1796
385,RB WP VBD,270
386,PRP VB IN,10448
387,VB IN DT,159562
388,RB . RB,347
389,. RB VB,35
390,RB VB RB,13412
391,VB RB VB,1388
392,VB RP IN,16790
393,RP IN PRP,3108
394,"UH RB ,",173
395,"RB , VB",6651
396,", VB PRP",7846
397,PRP VB RB,2176
398,VB RB IN,24764
399,NN MD VB,109033
400,MD VB PDT,1632
401,VB PDT DT,6978
402,PDT DT NN,17006
403,"DT NN ,",183852
404,"NN , WP",3492
405,", WP VBZ",5680
406,WP VBZ PRP,1207
407,VBZ PRP RB,3203
408,RB PRP MD,14437
409,MD VB PRP,28529
410,RB JJ IN,81395
411,JJ IN PRP,36310
412,"IN PRP ,",20723
413,"PRP , RB",5616
414,NNS IN CD,12254
415,IN CD .,12971
416,DT VBZ CD,1638
417,VBZ CD VBN,33
