,ngram,count
0,DET NOUN,3292781
1,NOUN VERB,1233402
2,VERB ADP,1527241
3,ADP NUM,154290
4,NUM PROPN,35876
5,PROPN _,3779
6,_ _,1965966
7,VERB PRON,323438
8,PRON VERB,1701970
9,PRON PUNCT,109403
10,PUNCT PRON,399381
11,VERB DET,1592471
12,NOUN PUNCT,2613270
13,PUNCT _,1947737
14,ADP DET,3430158
15,PRON ADV,144049
16,ADV VERB,949362
17,VERB NOUN,594923
18,PUNCT ADP,597109
19,ADP ADJ,670143
20,ADJ PUNCT,300113
21,ADP PROPN,590529
22,PROPN ADV,49715
23,ADV ADP,340845
24,ADV PART,45704
25,PART VERB,1074649
26,VERB PUNCT,460716
27,VERB ADJ,618539
28,ADJ ADP,360145
29,ADP NOUN,1339585
30,DET ADJ,1454428
31,ADJ NOUN,2564399
32,VERB PROPN,90903
33,PROPN PROPN,999239
34,PROPN PUNCT,940746
35,VERB VERB,1791567
36,VERB ADV,1078929
37,ADV PUNCT,449059
38,ADJ PART,121370
39,NOUN ADP,3316040
40,ADV DET,177362
41,VERB PART,599448
42,PART ADP,60685
43,NOUN ADV,233634
44,ADJ NUM,14507
45,NUM NOUN,181466
46,VERB NUM,54142
47,NOUN DET,313150
48,DET PUNCT,94890
49,ADV PRON,107063
50,PRON ADP,90473
51,ADJ ADV,23662
52,DET PROPN,1128489
53,PROPN NOUN,185199
54,INTJ PUNCT,9708
55,DET ADV,138935
56,ADV ADJ,392416
57,PRON AUX,20638
58,AUX VERB,78
59,DET NUM,65872
60,NUM VERB,21069
61,PROPN CCONJ,223466
62,CCONJ PRON,149585
63,ADP PRON,455556
64,ADV ADV,334480
65,NOUN CCONJ,723519
66,CCONJ ADP,162650
67,PRON DET,44564
68,NUM ADP,65172
69,NOUN NOUN,795850
70,NOUN ADJ,68994
71,PROPN ADP,345659
72,ADJ ADJ,278922
73,AUX ADV,38624
74,PUNCT ADV,315019
75,ADJ PROPN,106171
76,PROPN VERB,463528
77,NOUN PART,337712
78,ADJ VERB,36283
79,PROPN NUM,61551
80,CCONJ DET,296152
81,NOUN NUM,29812
82,NUM PUNCT,112314
83,INTJ VERB,3188
84,ADV NOUN,46678
85,NOUN INTJ,345
86,ADP ADV,126264
87,PART PUNCT,22703
88,PUNCT PUNCT,96956
89,PUNCT INTJ,6384
90,PUNCT CCONJ,363396
91,CCONJ ADV,167761
92,INTJ ADV,402
93,PUNCT VERB,342979
94,DET DET,115187
95,DET VERB,582130
96,PUNCT NOUN,280288
97,CCONJ NOUN,306859
98,ADP VERB,331432
99,VERB CCONJ,94960
100,PART NOUN,146890
101,PROPN ADJ,16480
102,PART DET,47382
103,CCONJ VERB,223086
104,PART ADV,19040
105,ADP ADP,134771
106,ADJ DET,15262
107,PUNCT DET,510102
108,ADV SPACE,137
109,SPACE VERB,1283
110,VERB SPACE,469
111,SPACE DET,2836
112,ADV NUM,22341
113,PRON ADJ,21779
114,NUM NUM,32512
115,ADP PUNCT,90038
116,NOUN PRON,129576
117,PRON PART,42522
118,PRON PRON,39535
119,ADV CCONJ,40427
120,PROPN PART,186522
121,PRON NOUN,10093
122,ADJ CCONJ,171713
123,CCONJ ADJ,214718
124,ADP X,678
125,X PRON,100
126,PUNCT PROPN,299357
127,INTJ PRON,252
128,PROPN PRON,18854
129,ADJ PRON,8741
130,ADV AUX,1867
131,PUNCT ADJ,151551
132,PUNCT NUM,41892
133,ADP PART,9478
134,ADV PROPN,13458
135,NOUN _,10868
136,NUM ADV,6642
137,ADV _,1280
138,CCONJ NUM,22230
139,PROPN DET,37468
140,DET X,1399
141,X PUNCT,4271
142,DET ADP,72281
143,PART CCONJ,5677
144,NUM ADJ,28398
145,PRON PROPN,6455
146,DET PRON,93635
147,PART ADJ,41289
148,ADP SPACE,1278
149,SPACE NOUN,1942
150,SPACE PRON,1894
151,NOUN SPACE,1676
152,SPACE ADV,468
153,SPACE INTJ,83
154,INTJ ADP,714
155,INTJ NUM,49
156,X X,3788
157,X NOUN,2930
158,NOUN X,2149
159,X CCONJ,161
160,NOUN PROPN,21705
161,SPACE PROPN,29684
162,SPACE X,57
163,X ADP,973
164,NOUN SYM,907
165,SYM PART,10
166,DET SYM,96
167,SYM NOUN,844
168,ADJ SYM,267
169,CCONJ PROPN,103588
170,DET SPACE,588
171,SPACE PUNCT,15686
172,ADJ SPACE,298
173,SPACE ADP,1483
174,ADP CCONJ,15752
175,PUNCT X,5445
176,X VERB,550
177,VERB _,295
178,ADJ _,98
179,PRON CCONJ,14510
180,VERB X,536
181,X ADV,182
182,X PROPN,1033
183,PROPN X,928
184,X DET,1053
185,PROPN SPACE,20027
186,SPACE _,13
187,SPACE CCONJ,423
188,CCONJ SPACE,177
189,SPACE ADJ,468
190,X _,179
191,CCONJ PUNCT,45325
192,NUM CCONJ,22797
193,CCONJ X,142
194,NUM DET,8148
195,SPACE NUM,7573
196,ADP SYM,221
197,SYM NUM,5516
198,CCONJ SYM,59
199,X ADJ,530
200,AUX NOUN,9
201,SPACE PART,66
