,ngram,count
0,DT NN VBZ,133793
1,NN VBZ IN,44774
2,VBZ IN DT,187294
3,IN DT NNP,806099
4,DT NNP IN,249970
5,NNP IN DT,412775
6,IN DT NN,1940286
7,DT NN .,246743
8,NN . _,531151
9,. _ _,1914572
10,. PRP VBZ,2319
11,PRP VBZ .,9807
12,VBZ . .,32
13,. . WP,169
14,. WP VBZ,5628
15,WP VBZ DT,7921
16,VBZ DT NN,305437
17,PRP$ NN VBZ,15734
18,NN VBZ RB,22160
19,VBZ RB IN,43221
20,RB IN PRP$,15002
21,IN PRP$ NN,165435
22,PRP$ NN .,42719
23,IN NNP NNP,185790
24,NNP NNP NN,721
25,NNP NN .,2142
26,"VBZ RB ,",5745
27,"RB , IN",40041
28,", IN VBZ",23362
29,IN VBZ JJ,24040
30,VBZ JJ .,23272
31,JJ . _,503247
32,PRP$ NN VBD,2316
33,NN VBD IN,6131
34,VBD IN NNP,16935
35,IN NNP RB,24480
36,NNP RB IN,10730
37,RB IN DT,219692
38,PRP VBZ WDT,357
39,VBZ WDT TO,198
40,WDT TO VB,2950
41,TO VB .,37603
42,VB . _,40884
43,. VBP VBN,708
44,VBP VBN RB,23678
45,VBN RB IN,24317
46,VBZ RB JJ,55419
47,RB JJ IN,128251
48,JJ IN DT,642099
49,PRP$ NN JJ,36318
50,NN JJ VBZ,48175
51,JJ VBZ NNP,207
52,VBZ NNP NNP,896
53,NNP NNP .,89870
54,NNP . _,341325
55,PRP VBZ DT,61910
56,DT NN IN,1683470
57,NN IN DT,1209212
58,"RB RB ,",12996
59,", IN DT",285941
60,VBZ JJ TO,33376
61,JJ TO VB,55623
62,TO VB DT,570690
63,VB DT NNS,128290
64,DT NNS IN,560843
65,NNS IN NN,306344
66,IN NN .,161436
67,PRP VBZ RB,34653
68,VBZ RB DT,29458
69,RB DT NN,85829
70,RB RB DT,10194
71,RB DT DT,10660
72,DT DT NNS,118275
73,DT NNS VBP,63601
74,NNS VBP VBN,17110
75,VBP VBN IN,89447
76,VBN IN NNP,38113
77,IN NNP .,150429
78,. VBP DT,1141
79,VBP DT NNS,62663
80,DT NNS .,115050
81,NNS . _,262694
82,DT NN JJ,837091
83,NN JJ PRP,12160
84,JJ PRP VBZ,12780
85,PRP VBZ VBN,78783
86,VBZ VBN .,8183
87,VBN . _,37101
88,NNS IN NNS,73920
89,IN NNS IN,145553
90,NNS IN DT,398016
91,NN JJ .,201341
92,DT DT CD,1854
93,DT CD NNS,34023
94,CD NNS JJ,16070
95,NNS JJ VBP,28363
96,JJ VBP IN,9647
97,VBP IN DT,173947
98,DT NN DT,142551
99,NN DT DT,18364
100,DT DT .,5222
101,DT . _,23087
102,VBD TO VB,47854
103,TO VB NN,57227
104,VB NN IN,43102
105,NN IN VBD,1798
106,IN VBD RB,2364
107,VBD RB JJ,5365
108,RB JJ .,61606
109,. PRP VBP,1402
110,PRP VBP DT,28947
111,VBP IN PRP,21122
112,IN PRP VBP,45650
113,PRP VBP VBN,54759
114,VBP VBN .,8890
115,VBD DT NN,54768
116,NN JJ IN,466143
117,JJ IN PRP,20892
118,IN PRP VBD,17016
119,PRP VBD .,2787
120,VBD . _,5785
121,IN NNP VBZ,47157
122,NNP VBZ VBG,8629
123,VBZ VBG NN,2218
124,VBG NN .,444
125,IN DT NNS,1054502
126,DT NNS VBZ,14597
127,NNS VBZ VBN,3467
128,VBZ VBN DT,73224
129,VBN DT NN,84874
130,NN IN NNP,286828
131,NNP VBZ DT,51513
132,DT NN RB,139223
133,NN RB JJ,85437
134,JJ IN NNP,130739
135,NN VBD RB,2425
136,VBD RB DT,5443
137,. UH .,249
138,UH . PRP,1
