,ngram,count
0,DET NOUN,6169690
1,NOUN VERB,253403
2,VERB ADP,1220709
3,ADP DET,4210181
4,NOUN ADP,4107738
5,NOUN PUNCT,2183478
6,PUNCT _,1945473
7,_ _,1964017
8,PUNCT PRON,319443
9,PRON VERB,1086856
10,VERB PUNCT,304083
11,PUNCT PUNCT,137546
12,PRON AUX,551741
13,AUX DET,271541
14,NOUN AUX,300993
15,AUX ADV,161376
16,ADV ADP,363651
17,ADP NOUN,2696054
18,NOUN NOUN,238808
19,VERB ADV,385183
20,ADV PUNCT,221305
21,PUNCT SCONJ,185642
22,SCONJ AUX,167013
23,AUX ADJ,317427
24,ADJ PUNCT,1073313
25,AUX ADP,184369
26,ADP PROPN,760639
27,PROPN ADV,72246
28,VERB PRON,64724
29,PUNCT AUX,228116
30,AUX VERB,1006996
31,ADV ADJ,348932
32,ADJ SCONJ,127753
33,SCONJ DET,485917
34,NOUN ADJ,2092621
35,ADJ AUX,115676
36,AUX PROPN,3166
37,PROPN PROPN,611077
38,PROPN PUNCT,1019496
39,VERB DET,1436681
40,ADV ADV,128165
41,PUNCT ADP,639544
42,ADJ VERB,120686
43,ADV DET,169925
44,DET DET,207067
45,VERB ADJ,129009
46,ADJ ADP,1183033
47,PUNCT VERB,310980
48,ADJ PRON,124885
49,DET NUM,80219
50,NUM NOUN,162909
51,NOUN DET,181218
52,DET PRON,275451
53,PRON PUNCT,164144
54,VERB AUX,58587
55,AUX NOUN,76225
56,NOUN SCONJ,134814
57,VERB SCONJ,413239
58,SCONJ PRON,192743
59,VERB NOUN,333828
60,PROPN AUX,180847
61,NOUN ADV,332181
62,NOUN PRON,454329
63,PRON DET,89642
64,PUNCT INTJ,1052
65,INTJ PUNCT,2044
66,PROPN ADJ,93880
67,VERB VERB,198770
68,VERB NUM,24257
69,NUM PROPN,4427
70,PROPN DET,32709
71,PROPN CCONJ,231942
72,CCONJ PRON,103455
73,PRON PRON,259485
74,AUX NUM,10649
75,PRON ADP,124781
76,ADV AUX,317894
77,ADV VERB,272064
78,ADP PRON,274368
79,NOUN CCONJ,575735
80,CCONJ ADP,271499
81,ADP ADP,10468
82,PUNCT ADV,288191
83,ADV PRON,153230
84,ADP VERB,565846
85,DET ADJ,552305
86,ADJ NOUN,735257
87,PUNCT DET,540288
88,ADP ADJ,216379
89,SCONJ ADJ,13427
90,ADJ DET,63892
91,PRON ADV,136639
92,PRON ADJ,18659
93,NUM ADP,69544
94,CCONJ DET,358712
95,NOUN NUM,53516
96,NUM PUNCT,82793
97,SCONJ VERB,272378
98,PRON NOUN,28754
99,AUX PUNCT,29375
100,ADP INTJ,5
101,ADP ADV,80740
102,PUNCT CCONJ,296094
103,CCONJ ADV,132246
104,ADV NOUN,56562
105,SCONJ ADV,121886
106,ADP NUM,122413
107,PUNCT NOUN,257280
108,CCONJ NOUN,178992
109,VERB CCONJ,71933
110,CCONJ VERB,172195
111,AUX AUX,165760
112,SCONJ NOUN,56847
113,ADV SCONJ,108312
114,PUNCT PROPN,198429
115,AUX PRON,35132
116,NUM ADV,2930
117,PROPN SCONJ,33223
118,DET PROPN,1098181
119,PROPN VERB,185502
120,DET ADV,32354
121,PUNCT ADJ,96587
122,PRON NUM,6780
123,NUM VERB,6049
124,ADJ ADJ,163788
125,PROPN ADP,527216
126,ADJ CCONJ,366498
127,CCONJ AUX,66011
128,ADP SCONJ,204111
129,ADP PUNCT,13168
130,ADP AUX,87116
131,DET SPACE,237
132,SPACE PROPN,3157
133,DET PUNCT,17334
134,DET VERB,8846
135,ADJ ADV,83961
136,INTJ ADJ,28
137,CCONJ ADJ,145964
138,CCONJ SPACE,103
139,SPACE VERB,1142
140,VERB PROPN,13774
141,DET AUX,3056
142,PRON CCONJ,15475
143,PROPN NUM,13664
144,ADJ NUM,14347
145,PRON SPACE,24
146,VERB SPACE,64
147,SPACE DET,1825
148,SPACE NOUN,6598
149,SCONJ ADP,84887
150,ADP SPACE,1058
151,ADV SPACE,21
152,SPACE ADJ,1071
153,CCONJ NUM,18111
154,NOUN PROPN,235470
155,NUM CCONJ,18801
156,ADJ SPACE,128
157,SPACE ADP,1860
158,DET ADP,28730
159,PROPN PRON,83673
160,PUNCT NUM,40527
161,NUM NUM,11010
162,PRON SCONJ,12537
163,NOUN _,6375
164,ADJ PROPN,40003
165,NUM AUX,4700
166,INTJ VERB,84
167,INTJ DET,116
168,VERB _,154
169,NOUN SPACE,2327
170,ADV NUM,8681
171,ADV _,55
172,PUNCT SPACE,328
173,SPACE _,5
174,PART ADV,12616
175,ADV CCONJ,21755
176,SCONJ SPACE,12
177,ADP CCONJ,962
178,CCONJ PUNCT,71505
179,AUX SCONJ,130393
180,PROPN NOUN,21104
181,PUNCT PART,9998
182,SPACE PRON,384
183,SPACE AUX,615
184,SCONJ SCONJ,11818
185,SPACE ADV,314
186,AUX SPACE,27
187,ADJ _,3340
188,CCONJ PROPN,66010
189,NUM DET,3075
190,SPACE CCONJ,175
191,CCONJ SCONJ,72153
192,PROPN _,7360
193,NUM PRON,4800
194,SPACE NUM,3440
195,NUM ADJ,10353
196,SPACE SCONJ,184
197,SCONJ PROPN,30985
198,ADP _,125
199,PROPN SPACE,704
200,PRON _,35
201,SCONJ PUNCT,59071
202,SCONJ NUM,3430
203,DET _,19
204,SPACE PUNCT,18730
205,CCONJ CCONJ,978
206,NUM _,687
207,DET CCONJ,3137
208,ADJ PART,1774
209,AUX CCONJ,5775
210,VERB SYM,123
211,SYM DET,607
212,CCONJ PART,587
213,ADV PROPN,4056
214,NOUN SYM,388
215,SYM ADJ,749
216,CCONJ _,359
217,AUX PART,187
218,NOUN PART,3756
219,PART NOUN,27019
220,DET SCONJ,2217
221,DET INTJ,59
222,INTJ _,1
223,PRON PROPN,6464
224,SCONJ PART,1237
225,SYM ADP,19632
226,PART ADJ,975
227,AUX _,2
228,VERB PART,2805
229,ADJ SYM,164
230,ADV PART,359
231,NUM SYM,27501
232,SYM CCONJ,1719
233,SYM PUNCT,7154
234,PROPN PART,1190
235,SCONJ CCONJ,1147
236,PRON PART,1409
237,NUM SCONJ,1679
238,PROPN SYM,274
239,SYM PROPN,279
240,PART PUNCT,24
241,PART VERB,14
242,SYM VERB,489
243,SCONJ INTJ,28
244,INTJ PRON,76
245,SYM ADV,829
246,SYM SCONJ,264
247,SYM NOUN,563
248,DET SYM,206
249,PUNCT SYM,307
250,SYM PRON,395
251,PRON SYM,76
252,INTJ SCONJ,159
253,SYM AUX,516
254,NUM SPACE,7379
255,SPACE SYM,3751
256,NUM PART,24
257,INTJ AUX,98
258,INTJ ADP,77
259,ADP SYM,287
260,SYM SPACE,1
261,SYM SYM,1
262,SCONJ SYM,69
263,AUX SYM,36
264,CCONJ SYM,34
265,CCONJ INTJ,55
266,INTJ ADV,74
267,SYM NUM,55
268,PART SCONJ,4
269,INTJ PROPN,79
270,DET PART,28
271,ADV SYM,31
272,PART PROPN,27
273,SPACE PART,3
274,PART ADP,6
275,ADV INTJ,1
276,NOUN INTJ,8
277,PRON INTJ,41
278,INTJ NUM,2
279,INTJ NOUN,14
280,VERB INTJ,16
281,INTJ CCONJ,5
282,PART PRON,10
283,ADP PART,22
284,SCONJ _,13
285,PART DET,14
286,SYM _,14
287,SPACE INTJ,1
288,AUX INTJ,4
289,PART AUX,2
290,ADJ INTJ,2
291,SYM INTJ,1
292,PROPN INTJ,2
293,INTJ INTJ,3
294,SYM PART,1
