,ngram,count
0,ADP DET PROPN,16073
1,DET PROPN PROPN,12527
2,PROPN PROPN CCONJ,4959
3,PROPN CCONJ PROPN,8471
4,CCONJ PROPN PUNCT,6957
5,PROPN PUNCT ADJ,5980
6,PUNCT ADJ PROPN,5933
7,ADJ PROPN _,5294
8,PROPN _ _,8141
9,NUM NOUN ADP,4361
10,NOUN ADP NOUN,30100
11,ADP NOUN PUNCT,16404
12,NOUN PUNCT _,63509
13,PUNCT _ _,125304
14,ADP DET NOUN,71231
15,DET NOUN ADP,54438
16,NOUN ADP ADJ,14160
17,ADP ADJ NOUN,18955
18,ADJ NOUN PUNCT,36943
19,NOUN PUNCT PROPN,7294
20,PUNCT PROPN NOUN,1479
21,PROPN NOUN PUNCT,6415
22,NOUN PUNCT ADJ,4826
23,PUNCT ADJ SCONJ,629
24,ADJ SCONJ NUM,1166
25,SCONJ NUM NOUN,1079
26,NUM NOUN VERB,1285
27,NOUN VERB ADP,12776
28,VERB ADP DET,29012
29,PROPN PROPN ADJ,342
30,PROPN ADJ ADP,95
31,ADJ ADP DET,5254
32,ADP DET ADJ,27682
33,DET ADJ NOUN,52930
34,PUNCT PROPN PROPN,10836
35,PROPN PROPN VERB,8712
36,PROPN VERB PART,1194
37,VERB PART VERB,12999
38,PART VERB ADP,7375
39,VERB ADP CCONJ,530
40,ADP CCONJ VERB,327
41,CCONJ VERB ADP,2880
42,VERB ADP ADJ,5715
43,ADJ NOUN ADP,32943
44,NOUN ADP PROPN,29677
45,ADP PROPN PUNCT,18879
46,PROPN PUNCT DET,7538
47,PUNCT DET NOUN,11811
48,ADP PROPN PROPN,15070
49,PROPN PROPN NOUN,4403
50,PROPN NOUN CCONJ,971
51,NOUN CCONJ DET,4513
52,CCONJ DET ADV,167
53,DET ADV ADJ,2843
54,ADV ADJ NOUN,4772
55,PROPN PUNCT _,18164
56,NOUN ADP DET,57140
57,DET NOUN VERB,16300
58,NOUN VERB DET,6888
59,VERB DET ADJ,13192
60,DET NOUN PROPN,1513
61,NOUN PROPN PROPN,4825
62,PROPN PROPN PROPN,28603
63,PROPN CCONJ DET,1887
64,CCONJ DET ADJ,2452
65,ADJ NOUN PROPN,2381
66,PROPN PROPN PUNCT,25875
67,NOUN PROPN NOUN,459
68,PUNCT PROPN VERB,2488
69,PROPN VERB SCONJ,1755
70,VERB SCONJ DET,4999
71,SCONJ DET NOUN,9743
72,VERB DET NOUN,39182
73,ADP NOUN AUX,1602
74,NOUN AUX ADP,1248
75,AUX ADP ADJ,391
76,NOUN ADP NUM,3343
77,ADP NUM NOUN,3598
78,NOUN PUNCT DET,9901
79,PUNCT DET ADJ,5313
80,DET ADJ ADJ,5949
81,ADJ ADJ NOUN,12045
82,ADJ NOUN CCONJ,7846
83,DET ADJ CCONJ,1375
84,ADJ CCONJ ADJ,3833
85,CCONJ ADJ NOUN,6556
86,ADP ADJ PROPN,1360
87,ADJ PROPN PUNCT,1714
88,DET NOUN PUNCT,38843
89,NOUN PUNCT VERB,9791
90,PUNCT VERB SCONJ,1032
91,VERB SCONJ PRON,2623
92,SCONJ PRON AUX,5248
93,PRON AUX PART,4758
94,AUX PART VERB,7129
95,PART VERB SCONJ,1425
96,DET NOUN PRON,3374
97,NOUN PRON AUX,2952
98,PRON AUX ADJ,4163
99,AUX ADJ CCONJ,923
100,ADJ CCONJ PART,116
101,CCONJ PART PUNCT,181
102,PART PUNCT ADV,68
103,PUNCT ADV ADP,1147
104,ADV ADP DET,4518
105,DET NOUN AUX,14061
106,NOUN AUX PART,3576
107,AUX PART DET,826
108,PART DET ADJ,501
109,ADJ NOUN SCONJ,2479
110,NOUN SCONJ DET,3321
111,SCONJ DET PUNCT,514
112,DET PUNCT _,875
113,ADJ PROPN VERB,589
114,PROPN VERB PROPN,1175
115,VERB PROPN PUNCT,1896
116,PROPN PUNCT PROPN,16666
117,CCONJ PROPN ADP,507
118,PROPN ADP ADJ,742
119,ADP ADJ PUNCT,1101
120,ADJ PUNCT AUX,171
121,PUNCT AUX ADP,196
122,AUX ADP DET,1891
123,PROPN CCONJ AUX,215
124,CCONJ AUX VERB,815
125,AUX VERB PROPN,611
126,VERB PROPN ADP,1097
127,PROPN ADP NUM,954
128,ADP NUM PROPN,522
129,NUM PROPN ADV,23
130,PROPN ADV PRON,160
131,ADV PRON VERB,3812
132,PRON VERB ADP,6012
133,VERB ADP NOUN,10339
134,ADP NOUN ADP,12332
135,PROPN PUNCT VERB,6158
136,PUNCT VERB DET,4403
137,DET NOUN NOUN,13894
138,NOUN NOUN ADV,1202
139,NOUN ADV PUNCT,3504
140,ADV PUNCT _,6033
141,NOUN NOUN ADP,10960
142,ADP PROPN VERB,2687
143,PROPN VERB DET,5286
144,NOUN NOUN PUNCT,17681
145,DET NOUN DET,4174
146,NOUN DET NOUN,2400
147,NOUN PRON ADV,309
148,PRON ADV VERB,3123
149,ADV VERB ADP,5948
150,ADP ADJ ADJ,2487
151,ADJ ADJ VERB,98
152,ADJ VERB ADV,67
153,VERB ADV PART,508
154,ADV PART VERB,1528
155,PART VERB ADV,1945
156,VERB ADV ADP,2935
157,ADV ADP PROPN,1568
158,ADP DET NUM,1889
159,DET NUM NOUN,2078
160,NUM NOUN PUNCT,4245
161,PUNCT PROPN PUNCT,9456
162,PUNCT PROPN CCONJ,1488
163,PROPN PUNCT PRON,2837
164,PUNCT PRON VERB,8550
165,PRON VERB PART,4524
166,ADV ADP PRON,336
167,ADP PRON VERB,1202
168,PRON VERB DET,6675
169,NOUN VERB SCONJ,1970
170,VERB SCONJ ADP,870
171,SCONJ ADP NOUN,538
172,ADP ADJ CCONJ,756
173,ADJ CCONJ NOUN,372
174,CCONJ NOUN PUNCT,5871
175,PUNCT VERB ADP,5077
176,VERB ADP PROPN,10284
177,ADP PROPN AUX,2137
178,PROPN AUX ADJ,1010
179,AUX ADJ ADP,3066
180,ADJ ADP PRON,959
181,ADP PRON ADV,400
182,PRON ADV SCONJ,82
183,ADV SCONJ ADV,99
184,SCONJ ADV PUNCT,221
185,ADV PUNCT PROPN,953
186,PUNCT PROPN AUX,1467
187,PROPN AUX DET,2290
188,AUX DET ADV,804
189,PROPN NOUN NOUN,1976
190,NOUN NOUN NOUN,4301
191,PROPN ADP PROPN,10905
192,VERB SCONJ PROPN,1372
193,SCONJ PROPN PROPN,1263
194,PROPN PUNCT ADV,2266
195,PUNCT ADV VERB,1605
196,ADV VERB SCONJ,1449
197,SCONJ PROPN PUNCT,780
198,PROPN AUX VERB,5081
199,AUX VERB ADP,16316
200,NOUN ADP VERB,5174
201,ADP VERB DET,3081
202,ADJ NOUN NOUN,11675
203,NOUN NOUN VERB,5124
204,NOUN VERB NUM,451
205,VERB NUM NOUN,1509
206,DET NOUN ADJ,1234
207,NOUN ADJ PROPN,209
208,ADJ PROPN PROPN,2130
209,PROPN AUX ADV,2090
210,AUX ADV ADJ,4557
211,ADV ADJ PART,738
212,ADJ PART VERB,3446
213,PART VERB ADJ,2742
214,VERB ADJ SCONJ,577
215,ADJ SCONJ PROPN,586
216,SCONJ PROPN ADP,122
217,PROPN ADP DET,5345
218,PROPN VERB PUNCT,2448
219,VERB PUNCT _,11637
220,ADP DET AUX,198
221,DET AUX PROPN,96
222,AUX PROPN PART,192
223,PROPN PART NOUN,5828
224,PART NOUN ADP,2248
225,ADJ NOUN VERB,10262
226,NOUN VERB AUX,3059
227,VERB AUX VERB,3662
228,AUX VERB PUNCT,4694
229,DET PROPN NOUN,5310
230,PROPN NOUN VERB,2147
231,VERB DET PROPN,3536
232,DET PROPN ADJ,276
233,PROPN ADJ ADJ,85
234,NOUN CCONJ VERB,5464
235,CCONJ VERB PROPN,298
236,DET PROPN VERB,1488
237,VERB PROPN CCONJ,633
238,PROPN CCONJ VERB,1034
239,DET PROPN PUNCT,4155
240,PROPN PUNCT CCONJ,3297
241,PUNCT CCONJ ADP,1050
242,CCONJ ADP DET,1410
243,ADJ NOUN DET,3081
244,NOUN DET VERB,4476
245,DET VERB PROPN,577
246,PROPN CCONJ ADJ,629
247,ADJ NOUN ADJ,849
248,NOUN ADJ NOUN,1266
249,DET NOUN PART,8816
250,NOUN PART NOUN,4377
251,PART NOUN PUNCT,3360
252,ADP NUM DET,117
253,NUM DET PROPN,23
254,DET PROPN ADP,2982
255,PROPN ADP NOUN,1276
256,ADP NOUN VERB,2839
257,VERB ADP ADP,3189
258,ADP ADP PROPN,629
259,ADP PROPN SCONJ,646
260,PROPN SCONJ DET,714
261,SCONJ DET PROPN,1642
262,INTJ PRON VERB,56
263,PRON VERB PUNCT,3203
264,PROPN NOUN ADP,3064
265,PROPN VERB ADJ,716
266,VERB ADJ PART,259
267,ADJ PART AUX,462
268,PART AUX DET,1745
269,AUX DET NOUN,9859
270,PRON VERB PROPN,950
271,VERB PROPN PROPN,2808
272,PROPN PUNCT SCONJ,791
273,PUNCT SCONJ SCONJ,169
274,SCONJ SCONJ DET,298
275,NOUN AUX DET,3321
276,AUX DET ADJ,6755
277,NOUN PUNCT AUX,2315
278,PUNCT AUX PART,594
279,AUX PART ADP,231
280,PART ADP DET,225
281,NOUN DET ADJ,756
282,PROPN VERB ADP,4122
283,ADP ADP NOUN,748
284,ADP NOUN CCONJ,5421
285,NOUN CCONJ PROPN,1469
286,NOUN CCONJ AUX,912
287,CCONJ AUX PRON,172
288,AUX PRON ADJ,331
289,PRON ADJ NOUN,228
290,ADP NOUN SCONJ,1091
291,ADV SCONJ ADJ,315
292,SCONJ ADJ NOUN,2020
293,ADJ NOUN AUX,7799
294,NOUN AUX VERB,13384
295,AUX VERB ADJ,2045
296,VERB ADJ ADP,1360
297,ADJ ADP ADJ,906
298,NOUN PUNCT CCONJ,9623
299,AUX VERB PART,3436
300,PART VERB NUM,296
301,DET AUX VERB,1925
302,VERB ADJ NOUN,9742
303,PUNCT CCONJ DET,3256
304,NOUN PUNCT ADP,5090
305,PUNCT ADP NOUN,2176
306,PROPN PROPN PART,3047
307,PROPN PART ADV,244
308,PART ADV ADJ,599
309,NOUN ADP AUX,300
310,ADP AUX VERB,265
311,AUX VERB NOUN,2231
312,VERB NOUN ADP,11545
313,ADP PROPN CCONJ,4450
314,PUNCT DET AUX,1886
315,DET AUX ADJ,698
316,AUX ADJ NOUN,2088
317,NOUN CCONJ ADJ,3481
318,NOUN AUX SCONJ,628
319,AUX SCONJ DET,418
320,SCONJ DET ADJ,3443
321,DET ADJ PUNCT,2557
322,ADJ PUNCT ADJ,2276
323,PUNCT ADJ NOUN,6156
324,ADJ NOUN ADV,3083
325,ADV PUNCT DET,2233
326,NOUN AUX PUNCT,670
327,AUX PUNCT SCONJ,43
328,PUNCT SCONJ PROPN,505
329,AUX DET NUM,159
330,NUM NOUN NOUN,1263
331,PUNCT PRON AUX,6823
332,PRON AUX DET,5515
333,DET VERB NOUN,3795
334,VERB NOUN PART,1616
335,PART NOUN ADV,248
336,NOUN ADV ADJ,586
337,ADV ADJ ADP,2261
338,PROPN NUM PUNCT,4288
339,NUM PUNCT DET,949
340,PUNCT DET PROPN,3248
341,NOUN PUNCT PART,907
342,PUNCT PART VERB,1115
343,PART VERB NOUN,5332
344,VERB NOUN PROPN,282
345,PROPN PUNCT NUM,1165
346,PUNCT NUM PUNCT,1571
347,NUM PUNCT CCONJ,468
348,PUNCT CCONJ PROPN,1756
349,CCONJ PROPN PROPN,2536
350,NUM PUNCT ADP,506
351,ADP VERB ADJ,932
352,NUM PUNCT NOUN,806
353,PUNCT NOUN PROPN,682
354,PUNCT AUX VERB,1870
355,VERB ADP NUM,1995
356,VERB ADJ PUNCT,1402
357,ADJ PUNCT NOUN,2354
358,PUNCT NOUN ADP,3840
359,ADP PROPN ADP,4317
360,PROPN PROPN NUM,947
361,PROPN NUM ADP,361
362,NUM ADP DET,2630
363,AUX DET VERB,410
364,VERB NOUN SCONJ,765
365,NOUN SCONJ PUNCT,323
366,SCONJ PUNCT VERB,83
367,PROPN VERB NOUN,1267
368,VERB NOUN NOUN,3450
369,NOUN ADP ADP,887
370,ADP ADP PART,38
371,ADP PART NUM,97
372,PART NUM NOUN,293
373,NUM NOUN SCONJ,202
374,NOUN SCONJ VERB,439
375,SCONJ VERB PUNCT,201
376,NOUN VERB PROPN,1423
377,VERB ADP VERB,2185
378,VERB ADJ ADJ,1038
379,ADJ ADJ ADJ,2939
380,PUNCT DET VERB,2201
381,DET VERB SCONJ,350
382,VERB SCONJ NOUN,1383
383,SCONJ NOUN NOUN,628
384,NOUN VERB ADJ,1999
385,ADJ NOUN PART,3729
386,NOUN PART AUX,1198
387,PART AUX VERB,2423
388,PRON AUX PUNCT,637
389,AUX PUNCT ADJ,190
390,ADJ PROPN ADP,583
391,ADP VERB ADP,1367
392,ADP NOUN NOUN,6338
393,PROPN PUNCT X,147
394,PUNCT X PUNCT,408
395,X PUNCT _,566
396,NOUN VERB NOUN,3301
397,NOUN PUNCT ADV,4758
398,ADV VERB ADJ,1204
399,PROPN PUNCT ADP,2705
400,PUNCT ADP X,17
401,ADP X PUNCT,118
402,PUNCT PROPN PART,1035
403,PART NOUN NOUN,1062
404,VERB ADP PUNCT,2040
405,ADP PUNCT PUNCT,208
406,PUNCT PUNCT DET,1554
407,NOUN AUX NOUN,1262
408,AUX NOUN PUNCT,778
409,VERB PUNCT PUNCT,1751
410,PUNCT PUNCT _,8899
411,VERB ADP PART,433
412,ADP PART VERB,438
413,ADV PUNCT VERB,1806
414,DET PROPN CCONJ,1170
415,PRON VERB SCONJ,2384
416,VERB SCONJ VERB,325
417,SCONJ VERB ADP,644
418,NOUN ADP PUNCT,1293
419,ADP PUNCT ADJ,376
420,PUNCT ADJ CCONJ,716
421,ADJ CCONJ PROPN,205
422,PROPN PUNCT AUX,1879
423,PUNCT AUX DET,990
424,ADV ADJ PUNCT,2868
425,ADJ PUNCT PUNCT,957
426,ADJ PUNCT _,5787
427,NOUN NOUN AUX,4047
428,ADP PUNCT DET,359
429,PUNCT ADV NOUN,498
430,ADV NOUN PUNCT,448
431,NOUN PUNCT PUNCT,7783
432,PRON AUX VERB,7882
433,VERB PART AUX,3755
434,AUX VERB DET,5703
435,PUNCT DET PRON,252
436,DET PRON VERB,1409
437,PROPN CCONJ NOUN,990
438,PRON AUX ADV,4848
439,AUX ADV ADV,1391
440,ADV ADV PART,114
441,ADV PART AUX,213
442,ADP ADP DET,2443
443,NOUN PUNCT NOUN,10862
444,PUNCT NOUN CCONJ,2639
445,ADV AUX DET,1660
446,VERB ADV PUNCT,2564
447,PUNCT CCONJ VERB,2313
448,CCONJ VERB NOUN,1898
449,ADP NOUN PRON,958
450,NOUN PRON VERB,4786
451,CCONJ PROPN ADV,125
452,PROPN ADV PUNCT,490
453,PRON AUX AUX,1344
454,AUX AUX DET,491
455,NOUN VERB PRON,1691
456,VERB PRON AUX,1879
457,NOUN PART VERB,11672
458,ADP NOUN DET,1130
459,NOUN DET PUNCT,127
460,DET PUNCT SCONJ,69
461,PUNCT SCONJ ADP,334
462,SCONJ ADP DET,1531
463,PUNCT AUX ADV,756
464,AUX ADV DET,1461
465,ADV DET NOUN,4450
466,NOUN VERB CCONJ,558
467,VERB CCONJ VERB,3151
468,VERB NOUN PUNCT,6767
469,NOUN AUX ADV,5680
470,PART VERB DET,13187
471,NOUN DET AUX,2199
472,DET VERB AUX,679
473,VERB AUX ADJ,1199
474,AUX ADJ SCONJ,1056
475,ADJ SCONJ PUNCT,115
476,SCONJ PUNCT ADP,106
477,PUNCT ADP PROPN,1919
478,ADP PROPN NUM,2731
479,PUNCT VERB PROPN,1534
480,PROPN PUNCT NOUN,4068
481,PUNCT NOUN NOUN,4350
482,ADP VERB NOUN,2689
483,VERB NOUN CCONJ,2768
484,NOUN CCONJ NOUN,14173
485,CCONJ NOUN ADP,4128
486,DET NOUN ADV,5132
487,NOUN ADV ADP,1703
488,DET NOUN CCONJ,8678
