,ngram,count
0,DET NOUN,16274
1,NOUN PUNCT,111039
2,PUNCT _,129371
3,_ _,138582
4,NOUN NOUN,96800
5,VERB NUM,12541
6,NUM NUM,19094
7,NUM NOUN,22981
8,NOUN VERB,72200
9,VERB NOUN,65654
10,PUNCT NUM,2992
11,NUM ADP,863
12,ADP ADJ,2173
13,ADJ NOUN,26361
14,NOUN PROPN,12528
15,PROPN VERB,14784
16,VERB PART,34822
17,PART PROPN,5714
18,PROPN PROPN,12358
19,PROPN NOUN,34627
20,NOUN ADP,12040
21,ADP VERB,5027
22,PART VERB,13386
23,NOUN PART,50748
24,VERB ADJ,8584
25,PROPN PUNCT,21879
26,DET NUM,5221
27,PART NOUN,61030
28,VERB ADP,11016
29,ADP NOUN,24675
30,PART NUM,3969
31,NUM VERB,3291
32,PUNCT NOUN,23540
33,NOUN ADV,34832
34,ADV VERB,76711
35,VERB ADV,11740
36,ADV ADV,18935
37,VERB CCONJ,2341
38,CCONJ NOUN,13042
39,VERB PRON,12155
40,PRON PART,6976
41,PRON ADV,11013
42,VERB DET,9289
43,VERB PUNCT,51345
44,ADV PUNCT,2614
45,VERB VERB,43442
46,ADV ADP,8941
47,ADP DET,3403
48,DET VERB,1567
49,ADV PART,727
50,PUNCT PROPN,17270
51,VERB PROPN,18251
52,ADP PROPN,13265
53,PROPN PART,9988
54,PUNCT ADV,11611
55,ADP PRON,5065
56,PART PUNCT,16072
57,PUNCT PUNCT,10769
58,SCONJ ADP,216
59,PROPN PRON,358
60,PRON NOUN,2909
61,NOUN CCONJ,16140
62,CCONJ PROPN,3704
63,PRON PUNCT,2695
64,ADJ PART,3976
65,PRON VERB,17345
66,SCONJ NOUN,1036
67,NOUN ADJ,2709
68,ADV PROPN,2197
69,PART DET,1722
70,PROPN ADP,4094
71,VERB X,1131
72,X VERB,2526
73,NUM PART,3003
74,PRON ADP,3222
75,PUNCT VERB,13949
76,ADV NUM,3428
77,PROPN CCONJ,3350
78,NOUN NUM,3874
79,ADP ADP,690
80,PART X,315
81,ADV X,1658
82,PART PART,3254
83,PROPN NUM,1658
84,PROPN DET,656
85,DET ADP,422
86,PART PRON,1120
87,PART ADJ,5516
88,PRON X,293
89,X NOUN,1685
90,CCONJ NUM,1059
91,NOUN X,1383
92,ADP ADV,1162
93,CCONJ DET,950
94,PUNCT ADP,5038
95,CCONJ ADV,653
96,PART ADV,3307
97,ADV PRON,3286
98,X DET,323
99,PUNCT DET,2078
100,ADP NUM,2046
101,PROPN ADV,5365
102,NOUN DET,1258
103,DET ADJ,1569
104,NUM ADJ,2249
105,X PROPN,498
106,VERB SCONJ,211
107,SCONJ PRON,938
108,PUNCT PRON,4860
109,NUM PROPN,1936
110,ADV DET,1385
111,DET DET,496
112,DET ADV,559
113,NOUN SCONJ,398
114,ADP PUNCT,1054
115,PUNCT PART,2512
116,PUNCT SCONJ,885
117,SCONJ VERB,1241
118,PART ADP,910
119,PUNCT CCONJ,1735
120,NUM ADV,1216
121,ADV NOUN,5979
122,NUM X,92
123,NOUN _,5234
124,VERB _,2363
125,NUM PUNCT,5672
126,PUNCT ADJ,2452
127,ADP PART,69
128,X PRON,461
129,CCONJ ADP,443
130,ADJ VERB,393
131,X ADV,149
132,NOUN PRON,1284
133,PART _,116
134,DET PROPN,1029
135,ADV CCONJ,181
136,PRON DET,308
137,CCONJ VERB,3636
138,CCONJ ADJ,1283
139,NUM DET,111
140,DET PART,308
141,ADJ PROPN,871
142,PROPN ADJ,1927
143,ADJ ADJ,529
144,X PUNCT,184
145,ADJ PUNCT,180
146,PROPN _,1080
