,ngram,count
0,DJ,47
1,RB,644
2,NN,1496
3,:,23
4,IN,1289
5,_,5574
6,JJR,33
7,.,440
8,PRP$,197
9,JJ,597
10,NNS,510
11,",",409
12,DT,904
13,FJ,4
14,VBD,382
15,RBR,19
16,RJ,32
17,WRB,58
18,PRP,803
19,VBN,225
20,CC,322
21,IJ,2
22,JJS,24
23,VBG,226
24,CD,78
25,TO,241
26,VB,677
27,VBP,339
28,VBZ,249
29,MD,450
30,NNP,251
31,UH,16
32,FN,93
33,FW,1
34,WDT,100
35,POS,27
36,R,62
37,WP,43
38,RP,166
39,``,24
40,EX,30
41,RN,100
42,MJ,4
43,UJ,6
44,U,20
45,RD,42
46,PDT,11
47,FD,13
48,HYPH,12
49,DD,12
50,AGD,4
51,'',15
52,-LRB-,4
53,NFP,3
54,UP,9
55,AGV,88
56,RBS,5
57,DY,19
58,RY,54
59,FY,1
60,AGA,19
61,DA,21
62,FA,2
63,RA,33
64,UA,20
65,AGN,62
66,NNPS,2
67,AS,15
68,W,43
69,ID,12
70,X,8
71,L,9
72,CL,4
73,MA,62
74,MV,54
75,CQ,4
76,RQ,14
77,AGQ,7
78,UQ,3
79,MQ,3
80,IQ,1
81,UD,76
82,MT,75
83,TV,264
84,MP,151
85,$,3
86,UT,59
87,RV,222
88,MN,14
89,DN,29
90,CN,12
91,UN,9
92,RT,211
93,M,57
94,UY,18
95,MY,12
96,MC,20
97,RC,10
98,UC,14
99,UV,44
100,IV,13
101,DV,5
102,FV,132
