,english,spanish,en_poss,en_tags,es_poss,es_tags
0,The store opens at 10 A.M.,El almacén abre a las 10 de la mañana.,DET NOUN VERB ADP NUM PROPN ,DT NN VBZ IN CD NNP ,DET NOUN VERB ADP DET NOUN ADP DET NOUN PUNCT ,DT NN VBZ IN DT NNP IN DT NN . 
1,Do you like it? What's the price?,¿Te gusta? ¿Cuál es el precio?,VERB PRON VERB PRON PUNCT PRON VERB DET NOUN PUNCT ,VBP PRP VB PRP . WP VBZ DT NN . ,PUNCT PRON VERB PUNCT PUNCT PRON AUX DET NOUN PUNCT ,. PRP VBZ . . WP VBZ DT NN . 
2,My house is near my school.,Mi casa está cerca de mi escuela.,DET NOUN VERB ADP DET NOUN PUNCT ,PRP$ NN VBZ IN PRP$ NN . ,DET NOUN AUX ADV ADP DET NOUN PUNCT ,PRP$ NN VBZ RB IN PRP$ NN . 
3,I sometimes drink beer.,A veces bebo cerveza.,PRON ADV VERB NOUN PUNCT ,PRP RB VBP NN . ,ADP NOUN NOUN NOUN PUNCT ,IN NNP NNP NN . 
4,"Come tomorrow, if possible.","Venga mañana, si es posible.",VERB NOUN PUNCT ADP ADJ PUNCT ,"VB NN , IN JJ . ",VERB ADV PUNCT SCONJ AUX ADJ PUNCT ,"VBZ RB , IN VBZ JJ . "
5,My father went to Seoul early in the morning.,Mi padre fue a Seul temprano por la mañana.,DET NOUN VERB ADP PROPN ADV ADP DET NOUN PUNCT ,PRP$ NN VBD IN NNP RB IN DT NN . ,DET NOUN AUX ADP PROPN ADV ADP DET NOUN PUNCT ,PRP$ NN VBD IN NNP RB IN DT NN . 
6,I taught her how to drive.,Le enseñé cómo conducir.,PRON VERB PRON ADV PART VERB PUNCT ,PRP VBD PRP WRB TO VB . ,PRON VERB PRON VERB PUNCT ,PRP VBZ WDT TO VB . 
7,Have you looked inside your bag?,¿Has mirado dentro de tu bolso?,VERB PRON VERB ADP DET NOUN PUNCT ,VBP PRP VBN IN PRP$ NN . ,PUNCT AUX VERB ADV ADP DET NOUN PUNCT ,. VBP VBN RB IN PRP$ NN . 
8,Oil is lighter than water.,El aceite es más ligero que el agua.,NOUN VERB ADJ ADP NOUN PUNCT ,NN VBZ JJR IN NN . ,DET NOUN AUX ADV ADJ SCONJ DET NOUN PUNCT ,DT NN VBZ RB JJ IN DT NN . 
9,My favorite singer is Yongpil Jo.,Mi cantante preferido es Yongpil Jo.,DET ADJ NOUN VERB PROPN PROPN PUNCT ,PRP$ JJ NN VBZ NNP NNP . ,DET NOUN ADJ AUX PROPN PROPN PUNCT ,PRP$ NN JJ VBZ NNP NNP . 
