,ngram,count
0,DJ,47
1,NOUN,1600
2,PUNCT,694
3,ADP,968
4,_,5679
5,ADJ,512
6,FJ,4
7,ADV,563
8,RJ,32
9,PRON,520
10,VERB,1705
11,CCONJ,220
12,IJ,2
13,NUM,62
14,DET,941
15,PART,236
16,AUX,17
17,PROPN,203
18,FN,93
19,X,10
20,R,62
21,RN,100
22,INTJ,10
23,MJ,4
24,UJ,6
25,U,20
26,RD,42
27,FD,13
28,DD,12
29,AGD,4
30,CD,1
31,RP,113
32,UP,9
33,AGV,88
34,DY,19
35,RY,54
36,FY,1
37,AGA,19
38,DA,21
39,FA,2
40,RA,33
41,UA,20
42,AGN,62
43,AS,15
44,W,43
45,ID,12
46,L,9
47,CL,4
48,MA,62
49,MV,54
50,CQ,4
51,RQ,14
52,AGQ,7
53,UQ,3
54,MQ,3
55,IQ,1
56,UD,76
57,MT,75
58,TV,264
59,MP,151
60,MD,209
61,SYM,3
62,UT,59
63,RV,222
64,MN,14
65,DN,29
66,CN,12
67,IN,9
68,UN,9
69,RT,211
70,M,57
71,UY,18
72,MY,12
73,MC,20
74,RC,10
75,UC,14
76,UV,44
77,IV,13
78,DV,5
79,FV,132
