,ngram,count
0,PROPN PROPN NOUN,3973
1,PROPN NOUN PROPN,1276
2,NOUN PROPN PUNCT,1336
3,PROPN PUNCT NOUN,3546
4,PUNCT NOUN PUNCT,6252
5,NOUN PUNCT VERB,9122
6,PUNCT VERB PUNCT,1633
7,VERB PUNCT _,10081
8,PUNCT _ _,109217
9,PROPN PROPN VERB,8290
10,PROPN VERB SCONJ,1673
11,VERB SCONJ PROPN,1302
12,SCONJ PROPN AUX,817
13,PROPN AUX ADJ,904
14,AUX ADJ PART,1946
15,ADJ PART VERB,3075
16,PART VERB ADP,6476
17,VERB ADP DET,26220
18,ADP DET NOUN,63892
19,DET NOUN CCONJ,7812
20,NOUN CCONJ NOUN,12963
21,CCONJ NOUN ADP,3811
22,NOUN ADP PROPN,26195
23,ADP PROPN ADP,3861
24,PROPN ADP ADJ,679
25,ADP ADJ NOUN,17418
26,ADJ NOUN PUNCT,33533
27,NOUN PUNCT _,55856
28,ADV ADP VERB,486
29,ADP VERB NOUN,2443
30,VERB NOUN PUNCT,6121
31,NOUN PUNCT DET,9420
32,PUNCT DET ADJ,4876
33,DET ADJ NOUN,47760
34,NOUN PUNCT ADP,4783
35,PUNCT ADP PROPN,1711
36,ADP PROPN NOUN,2680
37,PROPN NOUN ADP,2685
38,ADP PROPN PART,3689
39,PROPN PART PROPN,2162
40,PART PROPN NOUN,329
41,PROPN NOUN PUNCT,5624
42,PUNCT VERB DET,4058
43,VERB DET NOUN,35188
44,DET NOUN ADP,49056
45,NOUN ADP NOUN,27248
46,ADP NOUN VERB,2573
47,NOUN VERB NOUN,2908
48,NOUN PUNCT NOUN,9869
49,PUNCT NOUN PART,278
50,NOUN PART VERB,10526
51,PART VERB NOUN,4731
52,VERB NOUN NOUN,3256
53,NOUN NOUN DET,1148
54,NOUN DET VERB,3829
55,DET VERB ADP,1400
56,VERB ADP ADJ,5086
57,ADJ NOUN ADP,29908
58,ADP NOUN CCONJ,4873
59,CCONJ NOUN PRON,249
60,NOUN PRON VERB,4068
61,PRON VERB PRON,2870
62,VERB PRON ADP,2677
63,PRON ADP DET,1678
64,ADP DET ADJ,25146
65,NUM ADJ NOUN,1746
66,NOUN ADP DET,51915
67,ADP DET VERB,1847
68,DET VERB AUX,595
69,VERB AUX DET,1214
70,AUX DET NOUN,8364
71,DET NOUN NOUN,13200
72,NOUN NOUN NOUN,4612
73,NOUN NOUN ADP,10846
74,DET NOUN PUNCT,34295
75,NOUN PUNCT ADJ,4420
76,PUNCT ADJ NOUN,5723
77,ADJ NOUN AUX,6915
78,NOUN AUX PART,3145
79,AUX PART VERB,6183
80,NOUN PUNCT PRON,5773
81,PUNCT PRON VERB,7842
82,PRON VERB DET,5721
83,ADP NOUN ADP,11223
84,ADP NOUN NOUN,5901
85,NOUN NOUN PUNCT,16588
86,NOUN PUNCT CCONJ,8802
87,PUNCT CCONJ PART,279
88,CCONJ PART ADV,88
89,PART ADV ADV,147
90,ADV ADV PUNCT,2279
91,ADV PUNCT _,5153
92,ADJ ADP VERB,592
93,ADP VERB DET,2846
94,NOUN ADP ADJ,13223
95,ADJ NOUN NOUN,11236
