,ngram,count
0,PROPN ADP PUNCT PROPN,27
1,ADP PUNCT PROPN PROPN,21
2,PUNCT PROPN PROPN PUNCT,1248
3,PROPN PROPN PUNCT _,409
4,PROPN PUNCT _ _,3868
5,PROPN VERB PUNCT NOUN,327
6,VERB PUNCT NOUN VERB,708
7,PUNCT NOUN VERB NOUN,776
8,NOUN VERB NOUN VERB,1673
9,VERB NOUN VERB ADP,248
10,NOUN VERB ADP NOUN,1201
11,VERB ADP NOUN NOUN,1386
12,ADP NOUN NOUN PART,1604
13,NOUN NOUN PART PART,495
14,NOUN PART PART NOUN,1305
15,PART PART NOUN NOUN,430
16,PART NOUN NOUN PUNCT,5120
17,NOUN NOUN PUNCT _,13762
18,NOUN PUNCT _ _,58352
19,VERB NUM NUM VERB,526
20,NUM NUM VERB NOUN,478
21,NUM VERB NOUN CCONJ,26
22,VERB NOUN CCONJ NOUN,1668
23,NOUN CCONJ NOUN PART,1370
24,CCONJ NOUN PART NOUN,877
25,NOUN PART NOUN NOUN,4529
26,ADP PROPN VERB NOUN,617
27,PROPN VERB NOUN PROPN,59
28,VERB NOUN PROPN NOUN,269
29,NOUN PROPN NOUN PUNCT,418
30,PROPN NOUN PUNCT ADV,317
31,NOUN PUNCT ADV ADV,1055
32,PUNCT ADV ADV VERB,1326
33,ADV ADV VERB PRON,523
34,ADV VERB PRON NOUN,251
35,VERB PRON NOUN PUNCT,221
36,PRON NOUN PUNCT PART,1
37,NOUN PUNCT PART DET,6
38,PUNCT PART DET NOUN,5
39,PART DET NOUN VERB,107
40,DET NOUN VERB PUNCT,518
41,NOUN VERB PUNCT _,9050
42,VERB PUNCT _ _,29554
43,VERB VERB NOUN NOUN,3074
44,VERB NOUN NOUN NOUN,3105
45,NOUN NOUN NOUN NOUN,4435
46,NOUN NOUN NOUN PART,2344
47,NOUN NOUN PART ADJ,770
48,NOUN PART ADJ NOUN,2319
49,PART ADJ NOUN PUNCT,2766
50,ADJ NOUN PUNCT VERB,707
51,NOUN PUNCT VERB ADP,332
52,PUNCT VERB ADP ADJ,32
53,VERB ADP ADJ NOUN,348
54,ADP ADJ NOUN VERB,479
55,ADJ NOUN VERB NOUN,848
56,NOUN VERB NOUN PUNCT,5412
57,VERB NOUN PUNCT _,11160
58,NOUN NOUN ADV VERB,5564
59,NOUN ADV VERB PROPN,945
60,ADV VERB PROPN PUNCT,569
61,VERB PROPN PUNCT PROPN,520
62,PROPN PUNCT PROPN PUNCT,1998
63,PUNCT PROPN PUNCT PROPN,1591
64,PROPN PUNCT PROPN PART,308
65,PUNCT PROPN PART NOUN,602
66,PROPN PART NOUN NOUN,1530
67,DET NOUN NOUN ADV,290
68,NOUN ADV VERB NOUN,4529
69,ADV VERB NOUN NOUN,3934
70,NOUN NOUN NOUN PUNCT,5565
71,ADV DET NUM NUM,71
72,DET NUM NUM PROPN,48
73,NUM NUM PROPN NOUN,577
74,NUM PROPN NOUN ADV,149
75,PROPN NOUN ADV VERB,1792
76,ADV VERB NOUN PUNCT,4723
77,VERB NOUN PUNCT VERB,1277
78,NOUN PUNCT VERB NOUN,2304
79,PUNCT VERB NOUN PUNCT,1024
80,ADV ADV VERB VERB,2153
81,ADV VERB VERB NOUN,3445
82,VERB VERB NOUN PART,1862
83,VERB NOUN PART VERB,693
84,NOUN PART VERB NUM,341
85,PART VERB NUM NOUN,139
86,VERB NUM NOUN PUNCT,1227
87,NUM NOUN PUNCT _,3719
88,ADV VERB PROPN NOUN,1361
89,VERB PROPN NOUN PROPN,441
90,PROPN NOUN PROPN PUNCT,770
91,NOUN PROPN PUNCT PROPN,1148
92,PROPN PUNCT PROPN PROPN,1219
93,PROPN PROPN PUNCT PART,141
94,PROPN PUNCT PART NOUN,326
95,PUNCT PART NOUN PUNCT,580
96,PART NOUN PUNCT PROPN,593
97,NOUN PUNCT PROPN NOUN,1597
98,PUNCT PROPN NOUN NOUN,1253
99,PROPN NOUN NOUN ADV,665
100,NOUN NOUN ADV ADV,1391
101,NOUN ADV ADV VERB,4476
102,ADV ADV VERB NOUN,2670
103,VERB NOUN NOUN PUNCT,6182
104,NOUN VERB VERB PROPN,651
105,VERB VERB PROPN ADV,80
106,VERB PROPN ADV NOUN,14
107,PROPN ADV NOUN NOUN,27
108,ADV NOUN NOUN NOUN,219
109,NOUN NOUN NOUN ADJ,163
110,NOUN NOUN ADJ NOUN,553
111,NOUN ADJ NOUN PUNCT,745
112,ADJ NOUN PUNCT _,5445
113,NUM NOUN PUNCT ADV,414
114,NOUN PUNCT ADV VERB,3184
115,PUNCT ADV VERB NOUN,1565
116,NOUN NOUN PUNCT VERB,2172
117,PUNCT VERB NOUN NOUN,1403
118,VERB NOUN NOUN ADJ,106
119,NOUN ADJ NOUN NUM,16
120,ADJ NOUN NUM X,1
121,NOUN NUM X VERB,7
122,NUM X VERB NOUN,10
123,X VERB NOUN NOUN,81
124,VERB NOUN NOUN VERB,1927
125,NOUN NOUN VERB VERB,2174
126,NOUN VERB VERB NOUN,2582
127,VERB VERB NOUN DET,46
128,VERB NOUN DET PART,3
129,NOUN DET PART ADJ,3
130,DET PART ADJ NOUN,14
131,ADJ NOUN PUNCT NOUN,813
132,NOUN PUNCT NOUN PUNCT,2784
133,PUNCT NOUN PUNCT NOUN,1946
134,NOUN PUNCT NOUN CCONJ,1398
135,PUNCT NOUN CCONJ NOUN,1358
136,NOUN CCONJ NOUN PUNCT,2567
137,CCONJ NOUN PUNCT VERB,156
138,NOUN PUNCT VERB ADJ,317
139,PUNCT VERB ADJ NOUN,458
140,VERB ADJ NOUN _,85
141,ADJ NOUN _ _,338
142,ADP PROPN PART NUM,45
