,ngram,count
0,PROPN PROPN ADP PROPN,5374
1,PROPN ADP PROPN PROPN,3809
2,ADP PROPN PROPN PROPN,3738
3,PROPN PROPN PROPN _,352
4,PROPN PROPN _ _,1161
5,DET NOUN NOUN AUX,1342
6,NOUN NOUN AUX VERB,1861
7,NOUN AUX VERB ADP,5508
8,AUX VERB ADP PROPN,2449
9,VERB ADP PROPN CCONJ,724
10,ADP PROPN CCONJ ADP,159
11,PROPN CCONJ ADP DET,121
12,CCONJ ADP DET ADV,31
13,ADP DET ADV ADJ,1078
14,DET ADV ADJ NOUN,2212
15,ADV ADJ NOUN NOUN,371
16,ADJ NOUN NOUN CCONJ,928
17,NOUN NOUN CCONJ NOUN,1653
18,NOUN CCONJ NOUN NOUN,2606
19,CCONJ NOUN NOUN ADP,637
20,NOUN NOUN ADP PROPN,3776
21,NOUN ADP PROPN CCONJ,2389
22,ADP PROPN CCONJ PROPN,2629
23,PROPN CCONJ PROPN PROPN,2109
24,CCONJ PROPN PROPN PUNCT,1062
25,PROPN PROPN PUNCT _,6521
26,PROPN PUNCT _ _,19712
27,NOUN VERB DET NOUN,4866
28,VERB DET NOUN VERB,2007
29,DET NOUN VERB VERB,1710
30,NOUN VERB VERB DET,1133
31,VERB VERB DET NOUN,2807
32,VERB DET NOUN CCONJ,2667
33,DET NOUN CCONJ VERB,2022
34,NOUN CCONJ VERB PROPN,124
35,CCONJ VERB PROPN DET,7
36,VERB PROPN DET ADV,7
37,PROPN DET ADV ADJ,12
38,ADJ NOUN NOUN PUNCT,4746
39,NOUN NOUN PUNCT _,9028
40,NOUN PUNCT _ _,69676
41,NOUN VERB PRON VERB,285
42,VERB PRON VERB DET,509
43,PRON VERB DET NOUN,4615
44,VERB DET NOUN PART,2915
45,DET NOUN PART VERB,4737
46,NOUN PART VERB ADV,396
47,PART VERB ADV ADJ,218
48,VERB ADV ADJ NOUN,536
49,ADV ADJ NOUN ADP,1507
50,ADJ NOUN ADP DET,14914
51,NOUN ADP DET PROPN,9539
52,ADP DET PROPN PROPN,8373
53,DET PROPN PROPN CCONJ,833
54,PROPN PROPN CCONJ PROPN,3427
55,CCONJ PROPN PROPN PROPN,634
56,PROPN PROPN PROPN PUNCT,7699
57,PROPN PROPN PUNCT VERB,2467
58,PROPN PUNCT VERB PROPN,521
59,PUNCT VERB PROPN PROPN,693
60,VERB PROPN PROPN CCONJ,249
61,PROPN PROPN CCONJ ADV,94
62,PROPN CCONJ ADV VERB,108
63,CCONJ ADV VERB ADJ,99
64,ADV VERB ADJ NOUN,888
65,VERB ADJ NOUN ADV,280
66,ADJ NOUN ADV PUNCT,836
67,NOUN ADV PUNCT _,1840
68,ADV PUNCT _ _,6476
69,ADJ CCONJ ADJ NOUN,2744
70,CCONJ ADJ NOUN NOUN,875
71,ADJ NOUN NOUN VERB,1354
72,NOUN NOUN VERB PART,379
73,NOUN VERB PART AUX,900
74,VERB PART AUX NOUN,186
75,PART AUX NOUN ADP,192
76,AUX NOUN ADP DET,1307
77,NOUN ADP DET NOUN,36095
78,ADP DET NOUN AUX,2896
79,DET NOUN AUX ADV,2329
80,NOUN AUX ADV PART,155
81,AUX ADV PART VERB,218
82,ADV PART VERB ADP,277
83,PART VERB ADP VERB,186
84,VERB ADP VERB ADP,296
85,ADP VERB ADP PRON,47
86,VERB ADP PRON PUNCT,1032
87,ADP PRON PUNCT SCONJ,77
88,PRON PUNCT SCONJ ADP,12
89,PUNCT SCONJ ADP NOUN,58
90,SCONJ ADP NOUN SCONJ,19
91,ADP NOUN SCONJ DET,359
92,NOUN SCONJ DET ADJ,740
93,SCONJ DET ADJ NOUN,3061
94,DET ADJ NOUN VERB,4578
95,ADJ NOUN VERB ADV,628
96,NOUN VERB ADV VERB,683
97,VERB ADV VERB PRON,151
98,ADV VERB PRON ADJ,47
99,VERB PRON ADJ NOUN,115
100,PRON ADJ NOUN PART,14
101,ADJ NOUN PART VERB,2997
102,NOUN PART VERB DET,4382
103,PART VERB DET NOUN,9833
104,VERB DET NOUN ADJ,471
105,DET NOUN ADJ PUNCT,221
106,NOUN ADJ PUNCT _,361
107,ADJ PUNCT _ _,6226
108,DET ADJ NOUN NOUN,5243
109,ADJ NOUN NOUN ADV,282
110,NOUN NOUN ADV VERB,353
111,NOUN ADV VERB DET,756
112,ADV VERB DET NOUN,3739
113,VERB DET NOUN PRON,485
114,DET NOUN PRON VERB,2026
115,NOUN PRON VERB PART,548
116,PRON VERB PART VERB,3460
117,VERB PART VERB PART,174
118,PART VERB PART VERB,733
119,VERB PART VERB DET,4548
120,PART VERB DET ADJ,3180
121,VERB DET ADJ ADJ,1142
122,DET ADJ ADJ NOUN,4932
123,ADJ ADJ NOUN ADP,2796
124,ADP DET NOUN SCONJ,1698
125,DET NOUN SCONJ DET,1355
126,NOUN SCONJ DET NOUN,2057
127,SCONJ DET NOUN ADV,234
128,DET NOUN ADV VERB,1269
129,NOUN ADV VERB ADJ,203
130,VERB ADJ NOUN PUNCT,2807
131,ADJ NOUN PUNCT _,18752
132,ADP PROPN PUNCT DET,1985
133,PROPN PUNCT DET ADJ,2080
134,PUNCT DET ADJ NOUN,4438
135,ADJ NOUN VERB ADP,3209
136,NOUN VERB ADP DET,5714
137,VERB ADP DET PROPN,3983
138,ADP DET PROPN PUNCT,2691
139,DET PROPN PUNCT VERB,528
140,PROPN PUNCT VERB NOUN,809
141,PUNCT VERB NOUN NOUN,558
142,VERB NOUN NOUN ADP,1002
143,NOUN NOUN ADP DET,5197
144,ADP DET NOUN NOUN,7121
145,DET NOUN NOUN VERB,1843
146,NOUN NOUN VERB PUNCT,310
147,NOUN VERB PUNCT PUNCT,278
148,VERB PUNCT PUNCT DET,234
149,PUNCT PUNCT DET NOUN,779
150,PUNCT DET NOUN AUX,2186
151,DET NOUN AUX VERB,5165
152,NOUN AUX VERB SCONJ,557
153,AUX VERB SCONJ DET,946
154,VERB SCONJ DET ADJ,1247
155,ADJ NOUN NOUN PART,284
156,NOUN NOUN PART VERB,995
157,VERB DET NOUN NOUN,3575
158,NOUN NOUN VERB AUX,531
159,NOUN VERB AUX VERB,1906
160,VERB AUX VERB ADP,1779
161,AUX VERB ADP NOUN,2658
162,VERB ADP NOUN CCONJ,1150
163,ADP NOUN CCONJ ADJ,622
164,NOUN CCONJ ADJ NOUN,3294
165,CCONJ ADJ NOUN PUNCT,2628
166,ADJ NOUN PUNCT PUNCT,2265
167,NOUN PUNCT PUNCT _,4446
168,PUNCT PUNCT _ _,9847
169,ADV ADV DET ADJ,100
170,ADV DET ADJ NOUN,1583
171,ADJ NOUN NOUN AUX,992
172,AUX VERB ADP DET,7508
173,VERB ADP DET NOUN,19453
174,ADP DET NOUN PUNCT,25623
175,DET NOUN PUNCT VERB,2891
176,NOUN PUNCT VERB SYM,14
177,PUNCT VERB SYM NUM,15
178,VERB SYM NUM NUM,86
179,SYM NUM NUM ADP,116
180,NUM NUM ADP DET,52
181,NUM ADP DET NOUN,1218
182,DET NOUN NOUN PUNCT,4682
183,NOUN NOUN PUNCT PUNCT,1082
184,NOUN PUNCT PUNCT DET,519
185,PUNCT PUNCT DET AUX,166
186,PUNCT DET AUX PART,189
187,DET AUX PART AUX,91
188,AUX PART AUX VERB,390
189,PART AUX VERB PUNCT,605
190,AUX VERB PUNCT SCONJ,123
191,VERB PUNCT SCONJ DET,119
192,PUNCT SCONJ DET NOUN,1021
193,SCONJ DET NOUN VERB,1938
194,NOUN VERB VERB NOUN,547
195,VERB VERB NOUN NOUN,240
196,VERB NOUN NOUN PART,163
197,NOUN PART VERB ADP,2039
198,PART VERB ADP NOUN,1292
199,VERB ADP NOUN PUNCT,3308
200,ADP NOUN PUNCT VERB,1283
201,NOUN PUNCT VERB PROPN,575
202,VERB PROPN PROPN PUNCT,857
203,PROPN PROPN PUNCT NOUN,1513
204,PROPN PUNCT NOUN ADP,1181
205,PUNCT NOUN ADP DET,1418
206,VERB NOUN NOUN PUNCT,1300
207,PRON VERB ADJ NOUN,667
208,VERB ADJ NOUN ADP,3713
209,ADJ NOUN ADP PROPN,7598
210,NOUN ADP PROPN PUNCT,9919
211,PROPN PUNCT DET NOUN,3302
212,PUNCT DET NOUN NOUN,1403
213,PROPN VERB DET NOUN,3802
214,DET NOUN VERB PART,1197
215,NOUN VERB PART VERB,2400
216,VERB PART VERB NOUN,1605
217,PART VERB NOUN PART,289
218,VERB NOUN PART VERB,1308
219,DET NOUN VERB ADP,4479
220,NOUN VERB ADP NOUN,2166
221,VERB ADP NOUN NOUN,1585
222,ADP NOUN NOUN ADP,1434
223,NOUN ADP DET VERB,1168
224,ADP DET VERB PUNCT,125
225,DET VERB PUNCT ADJ,36
226,VERB PUNCT ADJ PUNCT,134
227,PUNCT ADJ PUNCT NOUN,599
228,ADJ PUNCT NOUN PUNCT,601
229,PUNCT NOUN PUNCT ADJ,372
230,NOUN PUNCT ADJ NOUN,2632
231,PUNCT ADJ NOUN NOUN,823
232,NOUN NOUN PUNCT DET,1510
233,NOUN PUNCT DET PROPN,1186
234,PUNCT DET PROPN PROPN,1584
235,DET PROPN PROPN PROPN,4561
236,NOUN NOUN PUNCT ADV,616
237,NOUN PUNCT ADV PUNCT,770
238,PUNCT ADV PUNCT VERB,292
239,ADV PUNCT VERB ADP,300
240,PUNCT VERB ADP DET,2447
241,DET NOUN NOUN NOUN,1502
242,NOUN NOUN NOUN VERB,542
243,NOUN NOUN VERB ADP,1761
244,NOUN VERB ADP NUM,457
245,VERB ADP NUM SCONJ,23
246,ADP NUM SCONJ PRON,8
247,NUM SCONJ PRON VERB,17
248,SCONJ PRON VERB NOUN,211
249,PRON VERB NOUN DET,33
250,VERB NOUN DET NOUN,163
251,NOUN DET NOUN ADP,569
252,DET NOUN ADP VERB,2506
253,NOUN ADP VERB NOUN,1681
254,ADP VERB NOUN ADP,870
255,VERB NOUN ADP DET,5189
256,ADP DET NOUN ADP,22360
257,DET NOUN ADP DET,23655
258,DET NOUN NOUN DET,400
259,NOUN NOUN DET VERB,626
260,NOUN DET VERB VERB,611
261,DET VERB VERB ADV,59
262,VERB VERB ADV ADP,179
263,VERB ADV ADP VERB,152
264,ADV ADP VERB ADP,94
265,ADP PRON PUNCT _,1692
266,PRON PUNCT _ _,3716
