,ngram,count
0,PROPN NOUN NOUN,10957
1,NOUN NOUN PART,15371
2,NOUN PART ADJ,3072
3,PART ADJ NOUN,6563
4,ADJ NOUN _,430
5,NOUN _ _,5827
6,DET NOUN NOUN,2661
7,NOUN NOUN VERB,20759
8,NOUN VERB PROPN,4945
9,VERB PROPN CCONJ,751
10,PROPN CCONJ PROPN,2581
11,CCONJ PROPN NOUN,1452
12,PROPN NOUN CCONJ,1195
13,NOUN CCONJ NOUN,12877
14,CCONJ NOUN NUM,70
15,NOUN NUM VERB,182
16,NUM VERB NOUN,1045
17,VERB NOUN NOUN,20745
18,NOUN PART NOUN,29125
19,PART NOUN NOUN,15330
20,NOUN NOUN CCONJ,4674
21,CCONJ NOUN NOUN,5490
22,PART NOUN PUNCT,29978
23,NOUN PUNCT _,72929
24,PUNCT _ _,140373
25,VERB VERB PUNCT,8353
26,VERB PUNCT DET,660
27,PUNCT DET NUM,624
28,DET NUM NUM,1723
29,NUM NUM NOUN,10999
30,NUM NOUN ADV,2798
31,NOUN ADV VERB,28172
32,ADV VERB NOUN,18756
33,VERB NOUN VERB,10578
34,NOUN VERB CCONJ,676
35,VERB CCONJ VERB,1666
36,CCONJ VERB PROPN,263
37,VERB PROPN VERB,2225
38,PROPN VERB NOUN,3481
39,VERB NOUN ADV,3159
40,ADV VERB PUNCT,17625
41,VERB PUNCT _,36878
42,VERB ADV VERB,8634
43,VERB PUNCT PRON,1460
44,PUNCT PRON VERB,2891
45,PRON VERB PROPN,1088
46,VERB PROPN ADV,676
47,PROPN ADV ADP,623
48,ADV ADP DET,606
49,ADP DET NUM,807
50,NUM NOUN ADP,1103
51,NOUN ADP PROPN,3662
52,ADP PROPN VERB,3243
53,PROPN VERB CCONJ,128
54,VERB CCONJ PROPN,59
55,PROPN NOUN PART,5123
56,PART NOUN ADV,5818
57,NOUN ADV NUM,549
58,ADV NUM PART,329
59,NUM PART NOUN,2108
60,NOUN PUNCT ADV,8722
61,PUNCT ADV ADP,1617
62,ADV ADP PROPN,2001
63,ADP PROPN NOUN,5174
64,PROPN NOUN VERB,7606
65,NOUN VERB NOUN,18609
66,VERB NOUN PUNCT,22241
67,NOUN PUNCT CCONJ,1333
68,PUNCT CCONJ ADV,143
69,CCONJ ADV VERB,508
70,ADV VERB PRON,3523
71,VERB PRON NOUN,1129
72,PRON NOUN PART,737
73,ADP ADV VERB,874
