,en,zhs,en_ud
0,-26.588854227672485,-inf,VERB VERB ADP NOUN ADP ADJ NOUN ADP DET ADJ NOUN PUNCT PRON AUX VERB ADP NOUN CCONJ AUX PART VERB PUNCT 
1,-23.070462783798984,-inf,ADV ADP DET ADJ NOUN ADP PROPN PART NOUN PUNCT ADJ NOUN AUX PART VERB NOUN ADP DET ADJ NOUN PUNCT 
2,-34.80943298667154,-inf,PROPN PROPN PUNCT ADJ NOUN ADP DET ADJ NOUN NOUN PUNCT VERB SCONJ DET NOUN AUX ADJ ADP NOUN PUNCT VERB DET NOUN ADP DET NUM NOUN PUNCT 
3,-61.74912432170978,-inf,PROPN PUNCT DET NOUN PRON AUX ADP DET NOUN AUX VERB DET DET NOUN PUNCT CCONJ DET VERB VERB ADJ PUNCT SCONJ PRON VERB PRON VERB VERB DET NOUN DET VERB DET ADJ NOUN PUNCT 
4,-inf,-inf,DET NOUN ADP DET NOUN ADJ AUX AUX ADV VERB ADP DET NOUN PUNCT 
5,-41.03087730592783,-inf,ADV ADJ NOUN PUNCT DET NOUN ADP NOUN ADP PROPN PROPN PROPN VERB DET ADJ NOUN PUNCT CCONJ DET NOUN ADP DET NOUN PUNCT VERB DET NOUN ADP PROPN PROPN PUNCT PROPN PUNCT 
6,-16.863188263803114,-inf,NOUN PUNCT NOUN CCONJ NOUN ADP NOUN CCONJ NOUN VERB AUX VERB ADJ NOUN PUNCT 
7,-inf,-inf,NOUN ADP ADV CCONJ ADV SCONJ PROPN PROPN PART CCONJ NOUN VERB DET NOUN ADP NOUN NOUN PROPN ADV ADJ PUNCT PROPN PART NOUN AUX ADJ NOUN ADP DET NOUN PUNCT 
8,-inf,-inf,SCONJ NUM PRON AUX VERB ADP NOUN NOUN ADP DET ADJ NOUN PUNCT PRON AUX DET NOUN PART VERB PROPN ADP PROPN PUNCT 
9,-21.0264825959709,-inf,PROPN ADV AUX DET ADJ NOUN ADP ADV PRON VERB ADP DET PROPN NOUN PROPN PUNCT 
10,-inf,-inf,ADP DET PROPN PROPN PUNCT NOUN ADJ SCONJ PROPN PUNCT PROPN PUNCT PROPN CCONJ PROPN AUX VERB PRON PUNCT SCONJ NOUN ADJ SCONJ PROPN CCONJ PROPN AUX ADV VERB PRON SCONJ PRON VERB SCONJ DET NOUN AUX PART VERB ADJ NOUN PUNCT 
11,-17.415842055115835,-inf,ADV AUX NUM ADP DET PROPN NOUN ADV VERB ADP ADP NOUN PUNCT 
12,-24.339718846029747,-inf,NOUN VERB SCONJ DET ADJ NOUN ADP VERB ADP NOUN VERB NOUN ADP ADJ NOUN ADP NOUN NOUN PUNCT 
13,-inf,-inf,PRON VERB ADP DET ADJ NOUN ADP DET NOUN DET AUX ADV CCONJ ADV ADJ ADP NOUN PART NOUN PUNCT CCONJ ADP DET ADJ CCONJ ADJ NOUN PUNCT PUNCT 
14,-48.566035207274716,-inf,PUNCT PRON VERB ADV VERB VERB ADP NOUN CCONJ VERB NOUN ADP DET NOUN ADP ADV DET ADJ NOUN AUX VERB PRON ADP DET NOUN ADP NOUN ADP VERB NOUN ADP ADJ NOUN PUNCT 
15,-16.109786051703185,-inf,DET AUX ADJ PUNCT PUNCT PROPN PUNCT PROPN PROPN PUNCT PROPN PUNCT PROPN NUM PUNCT NUM 
16,-63.7435904998961,-inf,DET NOUN AUX SCONJ NOUN NOUN NOUN VERB VERB NOUN VERB ADP NOUN SCONJ ADP NOUN NOUN CCONJ DET PUNCT ADJ NOUN PUNCT SCONJ NUM NOUN NOUN VERB PRON PUNCT PUNCT 
17,-60.341883601640426,-inf,PRON ADV AUX ADJ PART AUX NOUN ADP DET NOUN ADP DET PROPN PROPN PART ADJ NOUN PUNCT PROPN PART NOUN ADP NOUN PUNCT ADJ NOUN PUNCT CCONJ PROPN NOUN ADP DET ADJ VERB PROPN PUNCT 
18,-inf,-inf,VERB ADP DET PUNCT PROPN VERB VERB ADV NUM PART NUM NOUN ADP NOUN ADP DET ADJ NOUN NOUN PUNCT 
19,-60.02973779349233,-inf,DET NOUN AUX VERB ADP VERB DET NOUN ADP VERB DET PROPN PROPN PART ADV VERB CCONJ VERB ADJ ADJ NOUN ADP NUM NOUN NOUN PUNCT NOUN PUNCT CCONJ NOUN VERB PROPN PROPN ADP PROPN PUNCT 
20,-30.468740390721173,-inf,DET ADJ NOUN AUX PROPN PART NOUN NOUN PROPN PROPN PROPN PRON AUX VERB NOUN NOUN PUNCT 
21,-7.77734595764356,-inf,DET NOUN AUX NOUN ADP DET ADJ NOUN PROPN PROPN NUM PUNCT 
22,0.0,0.0,PROPN ADP PROPN PROPN 
23,-20.546806538581144,-inf,PRON VERB PART VERB PART AUX ADP DET NOUN VERB ADP DET NOUN PRON AUX PUNCT 
24,-26.909110995502004,-28.147159486728974,PROPN PUNCT NOUN PROPN PROPN PUNCT PRON VERB NOUN PUNCT PRON VERB PUNCT VERB PRON ADJ NOUN NOUN 
25,-24.322734568480204,-inf,ADP NOUN PUNCT NOUN CCONJ NOUN AUX VERB NUM NOUN ADP DET ADJ NOUN ADP NOUN CCONJ ADJ ADJ NOUN PUNCT 
26,-inf,-inf,PUNCT DET NOUN AUX ADJ PUNCT PUNCT ADJ PROPN VERB NOUN VERB VERB NOUN ADP PROPN 
27,-4.917544871030244,-inf,PRON AUX NOUN ADP ADV PUNCT 
28,-inf,-inf,ADJ VERB PROPN PART NOUN ADV ADP VERB ADP NOUN NOUN PRON ADV VERB DET NUM NUM NOUN VERB DET NOUN ADP PROPN PUNCT 
29,0.0,0.0,NOUN ADP NOUN PUNCT 
30,0.0,0.0,PRON VERB PUNCT 
31,-82.43040714859637,-inf,SCONJ NOUN NOUN PUNCT PROPN PUNCT CCONJ NOUN NOUN AUX VERB ADP NOUN ADP NOUN CCONJ NOUN ADP DET NOUN PUNCT NUM NOUN ADP ADJ ADJ CCONJ ADJ NOUN AUX ADV VERB PART VERB DET NOUN PART VERB NOUN ADP DET NOUN VERB DET PROPN PROPN ADP ADJ NOUN PUNCT PROPN PUNCT 
32,-33.34834938483811,-inf,NOUN VERB PRON VERB AUX ADJ PART VERB SCONJ DET PROPN VERB NOUN PART VERB DET NOUN ADP ADP DET NOUN PUNCT NOUN PUNCT 
33,-21.807265517008403,-inf,PROPN PUNCT PRON AUX PRON VERB ADP DET ADJ NOUN VERB ADJ NOUN ADP DET PROPN NOUN PUNCT 
34,-16.726939625163645,-inf,PROPN PROPN AUX DET NOUN ADP DET NOUN ADP PROPN PROPN PART ADJ ADJ NOUN NOUN PUNCT 
35,-35.66204448886282,-inf,ADV ADJ NOUN PUNCT ADV ADP ADP DET NOUN PRON VERB ADV VERB PART VERB ADP PRON ADJ SCONJ DET NOUN PUNCT 
36,-18.602323307193117,-inf,NOUN ADP DET NOUN PUNCT NUM NOUN PUNCT ADJ PROPN PROPN PROPN VERB PUNCT 
