language,method,n,accuracy
en,laplace,5,0.9159055431930652
en,laplace,4,0.933973230595503
en,laplace,1,0.9581852602211963
en,laplace,3,0.9412135906207446
en,laplace,2,0.9590820020591849
en,unsmoothed,3,0.9415125045667408
en,unsmoothed,2,0.9592148527018499
zhs,unsmoothed,5,0.720349397190209
zhs,interpolation,5,0.8337374207047726
zhs,interpolation,4,0.8901989438373908
zhs,unsmoothed,4,0.8655551496230363
en,unsmoothed,1,0.9581852602211963
en,unsmoothed,5,0.6981633398651566
zhs,interpolation,1,0.8613039290577568
en,unsmoothed,4,0.900362018001262
zhs,unsmoothed,1,0.8613039290577568
zhs,unsmoothed,3,0.9175661762263775
zhs,interpolation,3,0.9241422830382942
zhs,interpolation,2,0.925736490750274
zhs,unsmoothed,2,0.9206217410076721
en,interpolation,4,0.935999202896144
en,interpolation,5,0.9264671692849314
zhs,laplace,4,0.8871765917167624
zhs,laplace,5,0.8354312663987512
en,interpolation,2,0.9535022750672556
zhs,laplace,1,0.8613039290577568
en,interpolation,3,0.9374605599654589
en,interpolation,1,0.9581852602211963
zhs,laplace,2,0.9206217410076721
zhs,laplace,3,0.9191271712776911
