,en,zhs,zhs_ud
0,-11.367349822446986,-6.3756789098597615,NUM PROPN NOUN NOUN ADV VERB VERB PUNCT 
1,-13.254695842692962,-9.288579437429616,NOUN ADP NOUN NOUN NOUN ADV VERB ADJ NOUN PUNCT 
2,-63.987301109140674,-44.63232903893659,NOUN PART NOUN NOUN NOUN ADJ NOUN PROPN VERB VERB PUNCT NOUN ADP NOUN PART VERB VERB PART PUNCT VERB NUM NUM NOUN NOUN VERB NOUN PUNCT 
3,-18.150334152554525,-11.745567599333071,VERB PUNCT PRON CCONJ NOUN PART NOUN ADV VERB PUNCT 
4,-24.25578324768292,-17.291551063694993,NUM NUM PUNCT PROPN NOUN NOUN ADV ADP PRON VERB NOUN NOUN PUNCT 
5,-18.00867420744675,-15.507821653407774,ADJ PART NOUN ADV ADP DET NOUN NOUN PART NOUN VERB PUNCT 
6,-1.1151415906193203,-3.065465611568666,X NOUN NOUN PUNCT NOUN 
7,-17.10531956744661,-14.800549868858905,ADV VERB PART VERB NUM NOUN VERB NOUN NOUN CCONJ NOUN PUNCT 
8,-17.334639857532636,-12.25276490253539,SCONJ X PROPN VERB VERB PROPN ADV ADV VERB PUNCT 
9,-8.130678988825064,-4.9367941749330235,PROPN ADV VERB NOUN VERB NOUN PUNCT 
10,-21.255528172111678,-16.593379027536614,PROPN PART PROPN PUNCT PROPN PUNCT PROPN CCONJ PROPN ADV ADV VERB PROPN PUNCT 
11,-20.419386062197553,-10.847916514881796,PRON VERB DET NOUN NOUN ADV VERB PART PROPN NOUN PUNCT 
12,-18.43178859072215,-9.223339164277048,VERB NOUN ADP NOUN VERB CCONJ VERB PART NOUN PUNCT 
13,-30.167107306261524,-22.218425516379828,PRON VERB NOUN ADV VERB NOUN NOUN PUNCT VERB ADP NOUN PART NOUN CCONJ NOUN NOUN NOUN PUNCT 
14,-60.434836929200486,-43.37117632329764,PRON ADV VERB VERB NOUN CCONJ VERB NOUN PUNCT ADP NOUN ADV VERB NOUN PART NOUN NOUN PUNCT VERB NOUN VERB PUNCT NOUN VERB PUNCT NOUN NOUN PART PUNCT 
15,-3.1924425678000454,-1.4028236630711013,PRON ADP NOUN VERB PUNCT 
16,-34.26069556778239,-27.48657987088453,ADV VERB NOUN PUNCT ADP DET NOUN VERB NUM PUNCT NUM PUNCT VERB NOUN PART NOUN PART PUNCT 
17,-53.34510079969418,-40.81372632929924,VERB VERB PROPN PART NOUN NOUN PUNCT PROPN VERB NOUN PART NOUN PUNCT PROPN PART NOUN PUNCT PROPN ADP PRON NOUN VERB NOUN PART NOUN PUNCT 
18,-2.6406488503271133,-1.4208221880691203,VERB NOUN CCONJ NOUN NOUN PUNCT 
19,-51.63195584340885,-38.10738427469759,ADP VERB NOUN NOUN ADP PROPN PROPN PART NUM NUM NOUN PUNCT NOUN PUNCT NOUN NOUN NOUN ADV VERB VERB ADJ NOUN NOUN NOUN PART NOUN PUNCT 
20,-4.435035583878738,-2.9396876178725724,NOUN ADV VERB NOUN NOUN PUNCT 
21,0.0,0.0,NOUN VERB NUM 
22,-20.292155013148232,-22.15682887883835,NOUN ADP PROPN DET VERB ADP VERB NOUN NOUN VERB VERB PUNCT 
