,en,zhs,zhs_ud
0,-inf,-4.958903147834901,NUM PROPN NOUN NOUN ADV VERB VERB PUNCT 
1,-11.179172340097496,-8.229232956109215,NOUN ADP NOUN NOUN NOUN ADV VERB ADJ NOUN PUNCT 
2,-inf,-43.3416685363958,NOUN PART NOUN NOUN NOUN ADJ NOUN PROPN VERB VERB PUNCT NOUN ADP NOUN PART VERB VERB PART PUNCT VERB NUM NUM NOUN NOUN VERB NOUN PUNCT 
3,-inf,-8.550829037319351,VERB PUNCT PRON CCONJ NOUN PART NOUN ADV VERB PUNCT 
4,-20.80106501557095,-13.948932865632305,NUM NUM PUNCT PROPN NOUN NOUN ADV ADP PRON VERB NOUN NOUN PUNCT 
5,-inf,-12.190826476695864,ADJ PART NOUN ADV ADP DET NOUN NOUN PART NOUN VERB PUNCT 
6,-1.845826690498331,-0.8873031950009028,X NOUN NOUN PUNCT NOUN 
7,-17.30462200116898,-13.938482302798452,ADV VERB PART VERB NUM NOUN VERB NOUN NOUN CCONJ NOUN PUNCT 
8,-inf,-inf,SCONJ X PROPN VERB VERB PROPN ADV ADV VERB PUNCT 
9,-5.489144316385703,-3.5580909145245165,PROPN ADV VERB NOUN VERB NOUN PUNCT 
10,-inf,-12.630516627909998,PROPN PART PROPN PUNCT PROPN PUNCT PROPN CCONJ PROPN ADV ADV VERB PROPN PUNCT 
11,-inf,-11.405653818797772,PRON VERB DET NOUN NOUN ADV VERB PART PROPN NOUN PUNCT 
12,-inf,-9.264489078609417,VERB NOUN ADP NOUN VERB CCONJ VERB PART NOUN PUNCT 
13,-25.524937204173447,-19.580453510126752,PRON VERB NOUN ADV VERB NOUN NOUN PUNCT VERB ADP NOUN PART NOUN CCONJ NOUN NOUN NOUN PUNCT 
14,-56.294568850231286,-42.25287168679761,PRON ADV VERB VERB NOUN CCONJ VERB NOUN PUNCT ADP NOUN ADV VERB NOUN PART NOUN NOUN PUNCT VERB NOUN VERB PUNCT NOUN VERB PUNCT NOUN NOUN PART PUNCT 
15,-inf,-1.6718555420025338,PRON ADP NOUN VERB PUNCT 
16,-32.87841122224071,-28.57702953519952,ADV VERB NOUN PUNCT ADP DET NOUN VERB NUM PUNCT NUM PUNCT VERB NOUN PART NOUN PART PUNCT 
17,-inf,-39.0477853473065,VERB VERB PROPN PART NOUN NOUN PUNCT PROPN VERB NOUN PART NOUN PUNCT PROPN PART NOUN PUNCT PROPN ADP PRON NOUN VERB NOUN PART NOUN PUNCT 
18,-1.9043663934066484,-1.0932311097635927,VERB NOUN CCONJ NOUN NOUN PUNCT 
19,-inf,-37.62223799522743,ADP VERB NOUN NOUN ADP PROPN PROPN PART NUM NUM NOUN PUNCT NOUN PUNCT NOUN NOUN NOUN ADV VERB VERB ADJ NOUN NOUN NOUN PART NOUN PUNCT 
20,-1.9924301646902063,-1.3603585061443573,NOUN ADV VERB NOUN NOUN PUNCT 
21,0.0,0.0,NOUN VERB NUM 
22,-14.274516569608362,-inf,NOUN ADP PROPN DET VERB ADP VERB NOUN NOUN VERB VERB PUNCT 
