setup,hidden,learning_rate,batch_size,train_percentage,epoch,nlt_tp,nlt_fp,nlt_tn,nlt_fn,eval_accuracy,eval_accuracy_2,precision,recall,f1-score
NLLoss,8,0.001,32,100%,8,456,207,707,1001,0.9517586104,,0.6877828054,0.31297186,0.4301886792
NLLoss,16,0.0001,1,100%,9,514,231,683,943,0.9516423661,95.16,0.6899328859,0.3527796843,0.4668483197
NLLoss,16,0.001,16,100%,6,452,200,714,1005,0.9516257597,,0.6932515337,0.3102264928,0.4286391655
BCEwithLL,32,0.001,1,100%,4,482,212,702,975,0.9515427281,,0.6945244957,0.3308167467,0.4481636448
NLLoss,16,0.0001,1,100%,7,534,244,670,923,0.9513600585,,0.6863753213,0.3665065202,0.477852349
BCEwithLL,16,0.001,4,100%,9,458,207,707,999,0.9513268458,95.13,0.6887218045,0.3143445436,0.4316682375
BCEwithLL,32,0.001,16,100%,5,524,234,680,933,0.9513102395,,0.691292876,0.3596431023,0.4731376975
NLLoss,16,0.001,4,100%,7,442,197,717,1015,0.9512604205,,0.6917057903,0.3033630748,0.4217557252
NLLoss,8,0.001,2,100%,5,462,213,701,995,0.9512604205,,0.6844444444,0.3170899108,0.4333958724
BCEwithLL,16,0.001,4,100%,5,482,213,701,975,0.9512106015,,0.6935251799,0.3308167467,0.4479553903
NLLoss,8,0.001,8,100%,7,450,195,719,1007,0.9512106015,,0.6976744186,0.3088538092,0.4281636537
NLLoss,32,0.001,16,100%,4,472,208,706,985,0.9511939952,,0.6941176471,0.3239533288,0.4417407581
NLLoss,16,0.0001,8,100%,9,547,251,663,910,0.9511773888,95.12,0.6854636591,0.3754289636,0.4851441242
BCEwithLL,8,0.001,8,100%,9,483,212,702,974,0.9511773888,95.12,0.6949640288,0.3315030885,0.4488847584
BCEwithLL,32,0.0001,1,100%,7,578,269,645,879,0.9511607825,,0.6824085006,0.3967055594,0.5017361111
BCEwithLL,64,0.001,4,100%,1,601,276,638,856,0.9511275698,,0.685290764,0.4124914207,0.5149957155
NLLoss,64,0.0001,4,100%,9,525,228,686,932,0.9511275698,95.11,0.6972111554,0.3603294441,0.4751131222
NLLoss,64,0.0001,2,100%,8,532,246,668,925,0.9511275698,,0.6838046272,0.3651338367,0.4760626398
NLLoss,64,0.0001,1,100%,6,536,246,668,921,0.9511275698,,0.6854219949,0.3678792038,0.478785172
NLLoss,64,0.0001,2,100%,9,536,250,664,921,0.9510943572,95.11,0.6819338422,0.3678792038,0.477931342
BCEwithLL,8,0.001,8,100%,5,490,223,691,967,0.9510943572,,0.6872370266,0.3363074811,0.4516129032
NLLoss,128,0.0001,1,100%,4,557,262,652,900,0.9510777508,,0.6800976801,0.3822923816,0.4894551845
NLLoss,16,0.0001,4,100%,9,530,244,670,927,0.9510611445,95.11,0.684754522,0.3637611531,0.4751232631
NLLoss,64,0.0001,4,100%,7,542,245,669,915,0.9510611445,,0.6886912325,0.3719972546,0.4830659537
NLLoss,16,0.0001,2,100%,9,522,233,681,935,0.9510445382,95.1,0.6913907285,0.3582704187,0.4719710669
NLLoss,128,0.0001,2,100%,7,531,241,673,926,0.9510445382,,0.6878238342,0.3644474949,0.4764468371
NLLoss,128,0.0001,2,100%,8,538,249,665,919,0.9510445382,,0.6836086404,0.3692518874,0.4795008913
BCEwithLL,16,0.001,8,100%,8,452,201,713,1005,0.9510279318,,0.6921898928,0.3102264928,0.428436019
BCEwithLL,64,0.001,32,100%,8,522,235,679,935,0.9510113255,,0.6895640687,0.3582704187,0.4715447154
BCEwithLL,32,0.001,4,100%,4,541,244,670,916,0.9510113255,,0.6891719745,0.3713109128,0.4826048171
NLLoss,64,0.0001,1,100%,7,531,242,672,926,0.9510113255,,0.6869340233,0.3644474949,0.4762331839
BCEwithLL,16,0.001,32,100%,7,493,219,695,964,0.9509781129,,0.6924157303,0.3383665065,0.4545873675
NLLoss,64,0.001,16,100%,8,458,203,711,999,0.9509781129,,0.6928895613,0.3143445436,0.432483475
NLLoss,32,0.001,4,100%,5,473,210,704,984,0.9509781129,,0.6925329429,0.3246396706,0.4420560748
NLLoss,32,0.0001,4,100%,9,531,243,671,926,0.9509781129,95.1,0.6860465116,0.3644474949,0.4760197221
NLLoss,128,0.0001,16,100%,9,562,267,647,895,0.9509781129,95.1,0.6779252111,0.3857240906,0.4916885389
NLLoss,64,0.0001,2,100%,7,546,247,667,911,0.9509781129,,0.6885245902,0.3747426218,0.4853333333
NLLoss,512,0.0001,4,100%,9,550,255,659,907,0.9509781129,95.1,0.6832298137,0.377487989,0.4862953139
BCEwithLL,8,0.001,4,100%,3,507,226,688,950,0.9509781129,,0.6916780355,0.3479752917,0.4630136986
NLLoss,8,0.001,8,100%,9,448,200,714,1009,0.9509781129,95.1,0.6913580247,0.3074811256,0.4256532067
BCEwithLL,32,0.001,32,100%,7,531,236,678,926,0.9509615065,,0.6923076923,0.3644474949,0.4775179856
NLLoss,32,0.001,8,100%,9,433,184,730,1024,0.9509449002,95.09,0.7017828201,0.2971859986,0.4175506268
NLLoss,16,0.0001,2,100%,7,536,246,668,921,0.9509449002,,0.6854219949,0.3678792038,0.478785172
NLLoss,128,0.0001,1,100%,6,542,258,656,915,0.9509449002,,0.6775,0.3719972546,0.4802835623
NLLoss,16,0.001,2,100%,8,470,205,709,987,0.9509282939,,0.6962962963,0.3225806452,0.4409005629
NLLoss,64,0.0001,1,100%,5,554,263,651,903,0.9509282939,,0.6780905753,0.3802333562,0.4872471416
NLLoss,512,0.0001,4,100%,8,578,263,651,879,0.9509282939,,0.6872770511,0.3967055594,0.5030461271
BCEwithLL,64,0.001,4,100%,7,472,207,707,985,0.9509116875,,0.6951399116,0.3239533288,0.4419475655
NLLoss,64,0.001,8,100%,3,515,234,680,942,0.9508950812,,0.6875834446,0.3534660261,0.4669084316
BCEwithLL,16,0.001,16,100%,4,530,237,677,927,0.9508950812,,0.6910039113,0.3637611531,0.476618705
NLLoss,32,0.0001,8,100%,9,514,234,680,943,0.9508950812,95.09,0.6871657754,0.3527796843,0.4662131519
NLLoss,16,0.0001,2,100%,8,531,240,674,926,0.9508950812,,0.6887159533,0.3644474949,0.4766606822
NLLoss,32,0.0001,2,100%,8,532,245,669,925,0.9508950812,,0.6846846847,0.3651338367,0.4762757386
NLLoss,256,0.0001,2,100%,5,560,259,655,897,0.9508950812,,0.6837606838,0.384351407,0.4920913884
NLLoss,8,0.001,8,100%,3,502,230,684,955,0.9508950812,,0.6857923497,0.3445435827,0.458656921
NLLoss,8,0.001,8,100%,4,474,213,701,983,0.9508950812,,0.6899563319,0.3253260124,0.4421641791
NLLoss,8,0.001,16,100%,4,467,211,703,990,0.9508950812,,0.6887905605,0.3205216198,0.437470726
BCEwithLL,8,0.0001,1,100%,8,589,275,639,868,0.9508950812,,0.681712963,0.4042553191,0.5075398535
BCEwithLL,16,0.001,1,100%,6,497,223,691,960,0.9508784749,,0.6902777778,0.3411118737,0.4565916399
NLLoss,32,0.001,32,100%,7,463,210,704,994,0.9508784749,,0.6879643388,0.3177762526,0.434741784
BCEwithLL,16,0.0001,2,100%,5,597,281,633,860,0.9508784749,,0.6799544419,0.4097460535,0.5113490364
NLLoss,16,0.001,16,100%,5,418,187,727,1039,0.9508618685,,0.6909090909,0.2868908717,0.4054316198
NLLoss,32,0.0001,4,100%,8,531,245,669,926,0.9508618685,,0.6842783505,0.3644474949,0.4755933721
BCEwithLL,256,0.0001,2,100%,9,583,270,644,874,0.9508618685,95.09,0.6834701055,0.4001372684,0.5047619048
BCEwithLL,8,0.0001,1,100%,7,597,275,639,860,0.9508618685,,0.6846330275,0.4097460535,0.5126663804
BCEwithLL,32,0.001,16,100%,9,468,209,705,989,0.9508452622,95.08,0.6912850812,0.3212079616,0.4386129335
BCEwithLL,16,0.001,16,100%,9,475,213,701,982,0.9508452622,95.08,0.6904069767,0.3260123542,0.4428904429
NLLoss,16,0.001,2,100%,0,555,251,663,902,0.9508452622,,0.6885856079,0.380919698,0.4904993372
BCEwithLL,128,0.0001,1,100%,3,616,282,632,841,0.9508452622,,0.6859688196,0.4227865477,0.5231422505
BCEwithLL,128,0.0001,1,100%,8,573,266,648,884,0.9508452622,,0.6829558999,0.3932738504,0.4991289199
NLLoss,8,0.0001,1,100%,6,563,266,648,894,0.9508452622,,0.6791314837,0.3864104324,0.4925634296
NLLoss,16,0.001,16,100%,9,464,202,712,993,0.9508286559,95.08,0.6966966967,0.3184625944,0.4371172869
NLLoss,16,0.001,32,100%,2,526,244,670,931,0.9508286559,,0.6831168831,0.3610157859,0.4723843736
NLLoss,16,0.0001,2,100%,4,568,259,655,889,0.9508286559,,0.6868198307,0.3898421414,0.4973730298
BCEwithLL,256,0.0001,1,100%,7,617,293,621,840,0.9508286559,,0.678021978,0.4234728895,0.5213350232
BCEwithLL,8,0.01,32,100%,5,541,231,683,916,0.9508286559,,0.7007772021,0.3713109128,0.4854194706
NLLoss,8,0.0001,4,100%,7,554,247,667,903,0.9508286559,,0.6916354557,0.3802333562,0.4906997343
NLLoss,64,0.0001,1,100%,9,533,240,674,924,0.9508120496,95.08,0.6895213454,0.3658201784,0.4780269058
NLLoss,8,0.001,16,100%,2,534,241,673,923,0.9508120496,,0.6890322581,0.3665065202,0.4784946237
NLLoss,32,0.001,8,100%,4,456,200,714,1001,0.9507954432,,0.6951219512,0.31297186,0.4316138192
NLLoss,32,0.001,8,100%,5,462,205,709,995,0.9507954432,,0.6926536732,0.3170899108,0.4350282486
NLLoss,64,0.001,8,100%,4,488,216,698,969,0.9507954432,,0.6931818182,0.3349347975,0.451642758
BCEwithLL,16,0.001,2,100%,5,495,216,698,962,0.9507788369,,0.6962025316,0.3397391901,0.4566420664
BCEwithLL,16,0.001,16,100%,5,529,237,677,928,0.9507788369,,0.6906005222,0.3630748113,0.4759334233
NLLoss,64,0.0001,4,100%,6,543,252,662,914,0.9507788369,,0.6830188679,0.3726835964,0.4822380107
NLLoss,64,0.0001,2,100%,5,561,258,656,896,0.9507788369,,0.684981685,0.3850377488,0.492970123
NLLoss,128,0.0001,4,100%,6,552,250,664,905,0.9507788369,,0.6882793017,0.3788606726,0.4887118194
NLLoss,128,0.0001,1,100%,8,527,235,679,930,0.9507788369,,0.6916010499,0.3617021277,0.4749887337
NLLoss,512,0.0001,4,100%,6,589,278,636,868,0.9507788369,,0.6793540946,0.4042553191,0.5068846816
NLLoss,8,0.001,16,100%,9,452,194,720,1005,0.9507788369,95.08,0.6996904025,0.3102264928,0.4298621018
NLLoss,8,0.0001,8,100%,9,569,262,652,888,0.9507788369,95.08,0.6847172082,0.3905284832,0.4973776224
BCEwithLL,16,0.001,8,100%,4,535,239,675,922,0.9507622306,,0.6912144703,0.367192862,0.479605558
NLLoss,16,0.001,32,100%,8,484,218,696,973,0.9507622306,,0.6894586895,0.3321894303,0.4483557202
BCEwithLL,64,0.0001,1,100%,7,560,258,656,897,0.9507622306,,0.684596577,0.384351407,0.4923076923
NLLoss,256,0.0001,16,100%,8,589,274,640,868,0.9507622306,,0.6825028969,0.4042553191,0.5077586207
BCEwithLL,8,0.001,16,100%,4,526,240,674,931,0.9507622306,,0.6866840731,0.3610157859,0.473234368
BCEwithLL,8,0.001,16,100%,7,509,226,688,948,0.9507622306,,0.6925170068,0.3493479753,0.4644160584
BCEwithLL,32,0.001,32,100%,5,499,224,690,958,0.9507456242,,0.6901798064,0.3424845573,0.4577981651
NLLoss,32,0.001,4,100%,6,462,202,712,995,0.9507456242,,0.6957831325,0.3170899108,0.4356435644
NLLoss,16,0.0001,4,100%,4,583,270,644,874,0.9507456242,,0.6834701055,0.4001372684,0.5047619048
NLLoss,32,0.0001,1,100%,6,538,243,671,919,0.9507456242,,0.6888604353,0.3692518874,0.4807864164
NLLoss,128,0.0001,2,100%,4,569,266,648,888,0.9507456242,,0.6814371257,0.3905284832,0.4965095986
BCEwithLL,8,0.001,16,100%,5,530,235,679,927,0.9507456242,,0.6928104575,0.3637611531,0.4770477048
NLLoss,8,0.001,16,100%,8,446,193,721,1011,0.9507456242,,0.6979655712,0.306108442,0.4255725191
BCEwithLL,64,0.001,8,100%,3,511,231,683,946,0.9507290179,,0.6886792453,0.3507206589,0.4647567076
BCEwithLL,16,0.001,2,100%,9,467,202,712,990,0.9507290179,95.07,0.6980568012,0.3205216198,0.4393226717
BCEwithLL,64,0.0001,2,100%,9,582,267,647,875,0.9507290179,95.07,0.6855123675,0.3994509266,0.5047701648
NLLoss,64,0.0001,16,100%,6,596,276,638,861,0.9507290179,,0.6834862385,0.4090597117,0.5118076428
NLLoss,32,0.0001,32,100%,9,583,271,643,874,0.9507290179,95.07,0.6826697892,0.4001372684,0.5045434877
BCEwithLL,256,0.0001,1,100%,3,649,313,601,808,0.9507290179,,0.6746361746,0.445435827,0.5365853659
BCEwithLL,64,0.001,4,100%,9,463,200,714,994,0.9507124116,95.07,0.6983408748,0.3177762526,0.4367924528
BCEwithLL,16,0.001,1,100%,7,472,208,706,985,0.9507124116,,0.6941176471,0.3239533288,0.4417407581
BCEwithLL,16,0.001,16,100%,7,484,224,690,973,0.9507124116,,0.6836158192,0.3321894303,0.447113164
BCEwithLL,64,0.0001,2,100%,7,592,269,645,865,0.9507124116,,0.68757259,0.4063143445,0.5107851596
NLLoss,64,0.0001,8,100%,8,555,258,656,902,0.9507124116,,0.6826568266,0.380919698,0.4889867841
NLLoss,8,0.001,4,100%,3,455,194,720,1002,0.9507124116,,0.7010785824,0.3122855182,0.4320987654
NLLoss,8,0.0001,4,100%,8,539,245,669,918,0.9507124116,,0.6875,0.3699382292,0.4810352521
NLLoss,8,0.001,1,100%,4,478,220,694,979,0.9507124116,,0.6848137536,0.3280713795,0.4436194896
NLLoss,16,0.001,4,100%,3,485,213,701,972,0.9506958052,,0.6948424069,0.3328757721,0.4501160093
BCEwithLL,16,0.001,16,100%,3,520,239,675,937,0.9506958052,,0.6851119895,0.3568977351,0.4693140794
NLLoss,64,0.0001,8,100%,9,545,247,667,912,0.9506958052,95.07,0.6881313131,0.37405628,0.4846598488
NLLoss,16,0.0001,1,100%,2,593,276,638,864,0.9506958052,,0.6823935558,0.4070006863,0.5098882201
BCEwithLL,8,0.001,1,100%,4,467,205,709,990,0.9506958052,,0.6949404762,0.3205216198,0.4387036167
BCEwithLL,8,0.0001,1,100%,6,620,286,628,837,0.9506958052,,0.6843267108,0.4255319149,0.5247566653
NLLoss,8,0.001,2,100%,7,478,211,703,979,0.9506958052,,0.6937590711,0.3280713795,0.4454799627
NLLoss,16,0.001,8,100%,3,489,216,698,968,0.9506791989,,0.6936170213,0.3356211393,0.4523589269
NLLoss,32,0.0001,16,100%,6,574,267,647,883,0.9506791989,,0.6825208086,0.3939601922,0.499564839
NLLoss,32,0.0001,16,100%,9,563,260,654,894,0.9506791989,95.07,0.6840826245,0.3864104324,0.4938596491
NLLoss,64,0.0001,2,100%,3,607,285,629,850,0.9506791989,,0.6804932735,0.4166094715,0.5168156662
NLLoss,128,0.0001,4,100%,8,549,251,663,908,0.9506791989,,0.68625,0.3768016472,0.4864864865
