,student_id,error_type,correct_trigram_poss,incorrect_trigram_poss,en,es,correct_sentence,incorrect_sentence
0,TR25*0102*2000*02,TV,ADJ ADP DET,NOUN ADP DET,-1.5614557259996151,-1.453720561512487,"Firstly, I think the International Arts Festival is a wonderful idea because I have the opportunity to enjoy different arts events. But it is also true I could just see stars and artists on stage from only six countries, not stars from around the world as you  | announced in your advertisement. ","Firstly, I think the International Arts Festival is a wonderful idea because I have the opportunity to enjoy different arts events. But it is also true I could just see stars and artists on stage from only six countries, not stars from around the world as you  | announce in your advertisement. "
1,TR25*0102*2000*02,RV,ADV ADP DET,ADJ ADP DET,-1.9705470936314105,-1.6337604849099614,"Firstly, I think the International Arts Festival is a wonderful idea because I have the opportunity to enjoy different arts events. But it is also true I could just see stars and artists on stage from only six countries, not stars from around the world as you  | said in your advertisement. ","Firstly, I think the International Arts Festival is a wonderful idea because I have the opportunity to enjoy different arts events. But it is also true I could just see stars and artists on stage from only six countries, not stars from around the world as you  |  announced in your advertisement. "
2,TR25*0102*2000*02,MP,ADV PUNCT PRON,PROPN ADV VERB,-2.454250658402555,-3.5226145000449334,"Secondly | , I really enjoyed the jazz and classical concerts in spite of the fact that some of them took place in too small concert halls. Thirdly, all the plays and films shown were interesting , . In my opinion you should include some more films and plays in your festival next year. Finally, I think it was a good idea buying only one ticket for all the events since I spent the time watching and enjoying all of them. ","Secondly |  I really enjoyed the jazz and classical concerts in spite of the fact that some of them took place in too small concert halls. Thirdly, all the plays and films shown were interesting , . In my opinion you should include some more films and plays in your festival next year. Finally, I think it was a good idea buying only one ticket for all the events since I spent the time watching and enjoying all of them. "
3,TR25*0102*2000*02,UV,NOUN NOUN ADP,NOUN VERB NOUN,-1.8589867129139686,-2.391465993649178,"Secondly, I really enjoyed the jazz and classical concerts in spite of the fact that some of them  |  took place in too small concert halls. Thirdly, all the plays and films shown were interesting , . In my opinion you should include some more films and plays in your festival next year. Finally, I think it was a good idea buying only one ticket for all the events since I spent the time watching and enjoying all of them. ","Secondly, I really enjoyed the jazz and classical concerts in spite of the fact that some of them  | were took place in too small concert halls. Thirdly, all the plays and films shown were interesting , . In my opinion you should include some more films and plays in your festival next year. Finally, I think it was a good idea buying only one ticket for all the events since I spent the time watching and enjoying all of them. "
4,TR25*0102*2000*02,TV,NOUN NOUN ADP,ADJ NOUN ADP,-1.2036117395053607,-1.9153382937395889,"Secondly, I really enjoyed the jazz and classical concerts in spite of the fact that some of them  | took place in too small concert halls. Thirdly, all the plays and films shown were interesting , . In my opinion you should include some more films and plays in your festival next year. Finally, I think it was a good idea buying only one ticket for all the events since I spent the time watching and enjoying all of them. ","Secondly, I really enjoyed the jazz and classical concerts in spite of the fact that some of them  | taken place in too small concert halls. Thirdly, all the plays and films shown were interesting , . In my opinion you should include some more films and plays in your festival next year. Finally, I think it was a good idea buying only one ticket for all the events since I spent the time watching and enjoying all of them. "
5,TR25*0102*2000*02,IV,ADJ VERB ADJ,VERB VERB ADJ,-2.169749013786873,-2.8868310968849196,"Secondly, I really enjoyed the jazz and classical concerts in spite of the fact that some of them took place in too small concert halls. Thirdly, all the plays and films  | shown were interesting , . In my opinion you should include some more films and plays in your festival next year. Finally, I think it was a good idea buying only one ticket for all the events since I spent the time watching and enjoying all of them. ","Secondly, I really enjoyed the jazz and classical concerts in spite of the fact that some of them took place in too small concert halls. Thirdly, all the plays and films  | showed were interesting , . In my opinion you should include some more films and plays in your festival next year. Finally, I think it was a good idea buying only one ticket for all the events since I spent the time watching and enjoying all of them. "
6,TR25*0102*2000*02,U,NOUN ADV NUM,DET NOUN VERB,-0.7382319344797966,-0.5875723651769996,"Secondly, I really enjoyed the jazz and classical concerts in spite of the fact that some of them took place in too small concert halls. Thirdly, all the plays and films shown were interesting , . In my opinion you should include some more films and plays in your festival next year. Finally, I think it was a good idea  |  buying only one ticket for all the events since I spent the time watching and enjoying all of them. ","Secondly, I really enjoyed the jazz and classical concerts in spite of the fact that some of them took place in too small concert halls. Thirdly, all the plays and films shown were interesting , . In my opinion you should include some more films and plays in your festival next year. Finally, I think it was a good idea  | the fact buying only one ticket for all the events since I spent the time watching and enjoying all of them. "
7,TR25*0102*2000*02,FV,NOUN ADV NUM,NOUN VERB ADV,-1.7134290623106612,-2.2537697200309865,"Secondly, I really enjoyed the jazz and classical concerts in spite of the fact that some of them took place in too small concert halls. Thirdly, all the plays and films shown were interesting , . In my opinion you should include some more films and plays in your festival next year. Finally, I think it was a good idea  | buying only one ticket for all the events since I spent the time watching and enjoying all of them. ","Secondly, I really enjoyed the jazz and classical concerts in spite of the fact that some of them took place in too small concert halls. Thirdly, all the plays and films shown were interesting , . In my opinion you should include some more films and plays in your festival next year. Finally, I think it was a good idea  | to buy only one ticket for all the events since I spent the time watching and enjoying all of them. "
8,TR25*0102*2000*02,UY,PROPN DET NOUN,PROPN VERB DET,-1.8791533582826465,-2.156842365942164,"Secondly, I really enjoyed the jazz and classical concerts in spite of the fact that some of them took place in too small concert halls. Thirdly, all the plays and films shown were interesting , . In my opinion you should include some more films and plays in your festival next year. Finally, I think it was a good idea buying only one ticket for all the events since I  |  spent the time watching and enjoying all of them. ","Secondly, I really enjoyed the jazz and classical concerts in spite of the fact that some of them took place in too small concert halls. Thirdly, all the plays and films shown were interesting , . In my opinion you should include some more films and plays in your festival next year. Finally, I think it was a good idea buying only one ticket for all the events since I  | just spent the time watching and enjoying all of them. "
9,TR25*0102*2000*02,MT,NOUN VERB ADP,VERB ADP PRON,-2.054161835024529,-1.9960272477710568,I look forward  | to hearing from you. ,I look forward  |  hearing from you. 
