,english,spanish,en_pos,es_pos
0,The store opens at 10 A.M.,El almacén abre a las 10 de la mañana.,DET NOUN VERB ADP NUM PROPN ,DET NOUN VERB ADP DET NUM ADP DET NOUN PUNCT 
1,Do you like it? What's the price?,¿Te gusta? ¿Cuál es el precio?,VERB PRON VERB PRON PUNCT PRON VERB DET NOUN PUNCT ,PUNCT PRON VERB PUNCT PUNCT PRON AUX DET NOUN PUNCT 
2,My house is near my school.,Mi casa está cerca de mi escuela.,DET NOUN VERB ADP DET NOUN PUNCT ,DET NOUN AUX ADV ADP DET NOUN PUNCT 
3,I sometimes drink beer.,A veces bebo cerveza.,PRON ADV VERB NOUN PUNCT ,ADP NOUN ADJ NOUN PUNCT 
4,"Come tomorrow, if possible.","Venga mañana, si es posible.",VERB NOUN PUNCT ADP ADJ PUNCT ,VERB ADV PUNCT SCONJ AUX ADJ PUNCT 
5,My father went to Seoul early in the morning.,Mi padre fue a Seul temprano por la mañana.,DET NOUN VERB ADP PROPN ADV ADP DET NOUN PUNCT ,DET NOUN AUX ADP PROPN ADV ADP DET NOUN PUNCT 
6,I taught her how to drive.,Le enseñé cómo conducir.,PRON VERB PRON ADV PART VERB PUNCT ,PRON VERB PRON VERB PUNCT 
7,Have you looked inside your bag?,¿Has mirado dentro de tu bolso?,VERB PRON VERB ADP DET NOUN PUNCT ,PUNCT VERB ADJ ADV ADP DET NOUN PUNCT 
8,Oil is lighter than water.,El aceite es más ligero que el agua.,NOUN VERB ADJ ADP NOUN PUNCT ,DET NOUN AUX ADV ADJ SCONJ DET NOUN PUNCT 
9,My favorite singer is Yongpil Jo.,Mi cantante preferido es Yongpil Jo.,DET ADJ NOUN VERB PROPN PROPN PUNCT ,DET NOUN ADJ AUX PROPN PROPN PUNCT 
10,My chest was hurting since last night.,Me duele el pecho desde el ayer por la noche.,DET NOUN VERB VERB ADP ADJ NOUN PUNCT ,PRON VERB DET NOUN ADP DET NOUN ADP DET NOUN PUNCT 
11,"Sit there, in the middle.","Sientate allí, en el centro.",VERB ADV PUNCT ADP DET NOUN PUNCT ,PROPN ADV PUNCT ADP DET NOUN PUNCT 
12,It is good to read books in the fall.,Es bueno leer los libros en otoño.,PRON VERB ADJ PART VERB NOUN ADP DET NOUN PUNCT ,AUX ADJ VERB DET NOUN ADP NOUN PUNCT 
13,I like skiing the most.,Me gusta más el esquí.,PRON VERB VERB DET ADV PUNCT ,PRON VERB ADV DET NOUN PUNCT 
14,Almost every home is hooked up to the internet now.,Ahora casi todos los hogares estan conectados al internet.,ADV DET NOUN VERB VERB PART ADP DET NOUN ADV PUNCT ,ADV ADV DET DET NOUN VERB ADJ ADP NOUN PUNCT 
15,Did you bring towels?,¿Trajiste las toallas?,VERB PRON VERB NOUN PUNCT ,PUNCT VERB DET NOUN PUNCT 
16,The whole family has caught a cold.,La familia entera se ha resfriado.,DET ADJ NOUN VERB VERB DET NOUN PUNCT ,DET NOUN ADJ PRON AUX VERB PUNCT 
17,They sell various kinds of things at the shop.,Venden varias clases de cosas en la tienda.,PRON VERB ADJ NOUN ADP NOUN ADP DET NOUN PUNCT ,VERB DET NOUN ADP NOUN ADP DET NOUN PUNCT 
18,She has a beautiful voice.,Ella tiene una voz hermosa.,PRON VERB DET ADJ NOUN PUNCT ,PRON VERB DET NOUN ADJ PUNCT 
19,The other three classes are one hour each.,Las otras tres clases restantes son de una hora cada una.,DET ADJ NUM NOUN VERB NUM NOUN DET PUNCT ,DET DET NUM NOUN ADJ AUX ADP DET NOUN DET PRON PUNCT 
20,I wanted to be a nurse when I was younger.,Deseé ser enfermera cuando era más joven.,PRON VERB PART VERB DET NOUN ADV PRON VERB ADJ PUNCT ,VERB AUX NOUN SCONJ AUX ADV ADJ PUNCT 
21,Do you like ribs?,¿Te gustan las costillas?,VERB PRON ADP NOUN PUNCT ,PUNCT PRON VERB DET NOUN PUNCT 
22,I think I have a cold.,Creo que me he resfriado.,PRON VERB PRON VERB DET NOUN PUNCT ,VERB SCONJ PRON AUX VERB PUNCT 
23,Thank you.,Gracias.,VERB PRON PUNCT ,NOUN PUNCT 
24,I got a strange feeling when I saw him.,Tuve una sensación extraña cuando lo vi.,PRON VERB DET ADJ NOUN ADV PRON VERB PRON PUNCT ,VERB DET NOUN ADJ SCONJ PRON VERB PUNCT 
25,It's getting cold suddenly.,De repente está haciendo frío.,PRON VERB VERB ADJ ADV PUNCT ,ADP NOUN AUX VERB NOUN PUNCT 
26,The price of vegetables rose this year.,El precio de los vegetales ha subido este año.,DET NOUN ADP NOUN VERB DET NOUN PUNCT ,DET NOUN ADP DET NOUN AUX VERB DET NOUN PUNCT 
27,The Han river is the biggest river in Korea.,El río de Han es el río más grande de Corea.,DET PROPN NOUN VERB DET ADJ NOUN ADP PROPN PUNCT ,DET NOUN ADP PROPN AUX DET NOUN ADV ADJ ADP PROPN PUNCT 
28,My teacher emphasized process over results.,Mi profesor acentuó más el proceso que los resultados.,DET NOUN VERB NOUN ADP NOUN PUNCT ,DET NOUN VERB ADV DET NOUN PRON DET NOUN PUNCT 
29,Wow! she has a very strong serve.,¡Waw! Ella tiene un saque muy fuerte.,INTJ PUNCT PRON VERB DET ADV ADJ NOUN PUNCT ,PUNCT INTJ PUNCT PRON VERB DET NOUN ADV ADJ PUNCT 
30,We went to the same school as children.,Fuimos a la misma escuela de niños.,PRON VERB ADP DET ADJ NOUN ADP NOUN PUNCT ,VERB ADP DET DET NOUN ADP NOUN PUNCT 
31,Let's do it together.,Hagámoslo juntos.,VERB PRON VERB PRON ADV PUNCT ,CONJ ADJ PUNCT 
32,I'd like to raise a dog.,Quisiera criar un perro.,PRON AUX VERB PART VERB DET NOUN PUNCT ,VERB VERB DET NOUN PUNCT 
33,These candies cost a hundred won a piece.,Estos caramelos costaron cien won cada uno.,DET NOUN VERB DET NUM VERB DET NOUN PUNCT ,DET NOUN VERB NUM NOUN DET PRON PUNCT 
34,Hyean and I have been married for three months.,Hyean y yo nos casamos hace tres meses.,PROPN CCONJ PRON VERB VERB VERB ADP NUM NOUN PUNCT ,VERB CONJ PRON PRON VERB AUX NUM NOUN PUNCT 
35,See you there.,Te veo allí.,VERB PRON ADV PUNCT ,PRON VERB ADV PUNCT 
36,There are many cars in this street.,Hay muchos coches en esta calle.,ADV VERB ADJ NOUN ADP DET NOUN PUNCT ,AUX DET NOUN ADP DET NOUN PUNCT 
37,Look at yourself in the mirror.,Mirar se en el espejo.,VERB ADP PRON ADP DET NOUN PUNCT ,VERB PRON ADP DET NOUN PUNCT 
38,It's almost finished.,Casi listo.,PRON VERB ADV VERB PUNCT ,ADV ADJ PUNCT 
39,I'm not telling a lie.,No estoy mintiendo.,PRON VERB ADV VERB DET NOUN PUNCT ,ADV AUX VERB PUNCT 
40,You look worried today.,Hoy pareces preocupado.,PRON VERB ADJ NOUN PUNCT ,ADV NOUN ADJ PUNCT 
41,Alcohol is bad for your health.,El alcohol es malo para tu salud.,NOUN VERB ADJ ADP DET NOUN PUNCT ,DET NOUN AUX ADJ ADP DET NOUN PUNCT 
42,It is at the back of this building.,Está en la parte posterior de este edificio.,PRON VERB ADP DET NOUN ADP DET NOUN PUNCT ,AUX ADP DET NOUN ADJ ADP DET NOUN PUNCT 
43,Why are you walking so fast?,¿Por qué estás caminando tan rápido?,ADV VERB PRON VERB ADV ADV PUNCT ,PUNCT ADP PRON AUX VERB ADV ADJ PUNCT 
44,Hang clothes on a hanger.,Cuelga la ropa en la percha.,VERB NOUN ADP DET NOUN PUNCT ,VERB DET NOUN ADP DET NOUN PUNCT 
45,A picture is hanging on the wall.,El cuadro está colgado en la pared.,DET NOUN VERB VERB ADP DET NOUN PUNCT ,DET NOUN AUX ADJ ADP DET NOUN PUNCT 
46,Would you like to go on foot or by car?,¿Prefieres ir a pie o en coche?,VERB PRON VERB PART VERB ADP NOUN CCONJ ADP NOUN PUNCT ,PUNCT NOUN VERB ADP NOUN CONJ ADP NOUN PUNCT 
47,How far have we come on foot?,¿Cuánto hemos venido a pie?,ADV ADV VERB PRON VERB ADP NOUN PUNCT ,PUNCT PRON AUX VERB ADP NOUN PUNCT 
48,A man was carrying a black bag.,Un hombre llevaba un bolso negro.,DET NOUN VERB VERB DET ADJ NOUN PUNCT ,DET NOUN VERB DET NOUN ADJ PUNCT 
49,Show me another one in the same color.,Muéstrame otro en el mismo color.,VERB PRON DET NOUN ADP DET ADJ NOUN PUNCT ,NOUN PRON ADP DET DET NOUN PUNCT 
50,Do you like computer games?,¿A ti te gustan los juegos de computadora?,VERB PRON ADP NOUN NOUN PUNCT ,PUNCT ADP PRON PRON VERB DET NOUN ADP NOUN PUNCT 
51,Winter in Korea sure is cold. ,El invierno en Corea es muy frío.,NOUN ADP PROPN ADV VERB ADJ PUNCT ,DET NOUN ADP PROPN AUX ADV ADJ PUNCT 
52,The married couple next door finally got divorced.,"La pareja de la puerta de al lado, finalmente se divorciaron.",DET ADJ NOUN ADJ NOUN ADV VERB VERB PUNCT ,DET NOUN ADP DET NOUN ADP ADP NOUN PUNCT ADV PRON VERB PUNCT 
53,I haven't decided yet.,No lo he decidido todavía.,PRON VERB ADV VERB ADV PUNCT ,ADV PRON AUX VERB ADV PUNCT 
54,Will you marry me?,¿Te casarías conmigo?,VERB PRON VERB PRON PUNCT ,PUNCT DET NOUN ADJ PUNCT 
55,Where is he going to have the wedding ceremony?,¿En dónde se va a realizar la boda?,ADV VERB PRON VERB PART VERB DET NOUN NOUN PUNCT ,PUNCT ADP PRON PRON AUX ADP VERB DET NOUN PUNCT 
56,The soccer game ended in a tie.,El partido del fútbol terminó en un empate.,DET NOUN NOUN VERB ADP DET NOUN PUNCT ,DET NOUN ADP NOUN VERB ADP DET NOUN PUNCT 
57,"In some cases, I tend to jump to conclusions.",En ciertos casos tomo las decisiones muy rápido.,ADP DET NOUN PUNCT PRON VERB PART VERB ADP NOUN PUNCT ,ADP DET NOUN SCONJ DET NOUN ADV ADJ PUNCT 
58,Did you call the police?,¿Llamaste a policía?,VERB PRON VERB DET NOUN PUNCT ,PUNCT VERB ADP NOUN PUNCT 
59,The scenery is really beautiful.,El paisaje es realmente hermoso.,DET NOUN VERB ADV ADJ PUNCT ,DET NOUN AUX ADV ADJ PUNCT 
60,It would be a good experience.,Sería una buena experiencia.,PRON VERB VERB DET ADJ NOUN PUNCT ,AUX DET ADJ NOUN PUNCT 
61,How many eggs are there in the refrigerator?,¿Cuántos huevos hay en el refrigerador?,ADV ADJ NOUN VERB ADV ADP DET NOUN PUNCT ,PUNCT NOUN NOUN AUX ADP DET NOUN PUNCT 
62,My nose bleeds continuously.,Mi nariz está sangrando continuamente.,DET NOUN VERB ADV PUNCT ,DET NOUN AUX VERB ADV PUNCT 
63,Goodbye.,Adiós.,INTJ PUNCT ,INTJ PUNCT 
64,What season do you like best?,¿Qué estación te gusta más?,DET NOUN VERB PRON VERB ADJ PUNCT ,PUNCT DET NOUN PRON VERB ADV PUNCT 
65,Any special plans?,¿Algún plan en especial?,DET ADJ NOUN PUNCT ,PUNCT DET NOUN ADP ADJ PUNCT 
66,Let's go have some meat.,Vayamos a comer carne.,VERB PRON VERB VERB DET NOUN PUNCT ,AUX ADP VERB NOUN PUNCT 
67,I learned Japanese as a second foreign language in high school.,Aprendí japonés como segundo idioma extranjero en la secundaria.,PRON VERB PROPN ADP DET ADJ ADJ NOUN ADP ADJ NOUN PUNCT ,PROPN ADJ SCONJ ADJ NOUN ADJ ADP DET NOUN PUNCT 
68,I'll be in high school next year.,Seré un estudiante secundario el próximo año.,PRON AUX VERB ADP ADJ NOUN ADJ NOUN PUNCT ,VERB DET NOUN ADJ DET ADJ NOUN PUNCT 
69,Thank you.,Gracias.,VERB PRON PUNCT ,NOUN PUNCT 
70,I think it is the cat.,Yo pienso que es el gato.,PRON VERB PRON VERB DET NOUN PUNCT ,PRON VERB SCONJ AUX DET NOUN PUNCT 
71,I couldn’t endure the pain.,No puedo aguantar el dolor.,PRON AUX ADV VERB DET NOUN PUNCT ,ADV AUX VERB DET NOUN PUNCT 
72,"I'm really hungry, too.",Yo también tengo hambre.,PRON VERB ADV ADJ PUNCT ADV PUNCT ,PRON ADV VERB NOUN PUNCT 
73,Many Koreans return to their hometown during Chusok.,Muchos coreanos vuelven a su ciudad natal durante Chusok.,ADJ PROPN VERB ADP DET NOUN ADP PROPN PUNCT ,DET NOUN VERB ADP DET NOUN ADJ ADP PROPN PUNCT 
74,I'll be there soon.,Estaré allí pronto.,PRON AUX VERB ADV ADV PUNCT ,VERB ADV ADV PUNCT 
75,This city is a good place to live.,Esta ciudad es un buen lugar a vivir.,DET NOUN VERB DET ADJ NOUN PART VERB PUNCT ,DET NOUN AUX DET ADJ NOUN ADP VERB PUNCT 
76,"Sorry, I threw the ball too hard.","Perdón, lancé la bola demasiado fuerte.",INTJ PUNCT PRON VERB DET NOUN ADV ADV PUNCT ,NOUN PUNCT VERB DET NOUN ADV ADJ PUNCT 
77,Wow! There's a lot to study.,¡Waw! Hay mucho para estudiar.,INTJ PUNCT ADV VERB DET NOUN PART VERB PUNCT ,PUNCT INTJ PUNCT AUX ADV ADP VERB PUNCT 
78,How big is the park?,¿Qué tan grande es el parque?,ADV ADJ VERB DET NOUN PUNCT ,PUNCT PRON ADV ADJ AUX DET NOUN PUNCT 
79,I worked in a shoe factory.,Trabajé en una fábrica de zapato.,PRON VERB ADP DET NOUN NOUN PUNCT ,NOUN ADP DET NOUN ADP NOUN PUNCT 
80,"These days, it is hard to find a pay phone.","Actualmente, es duro encontrar un teléfono público.",DET NOUN PUNCT PRON VERB ADJ PART VERB DET NOUN NOUN PUNCT ,ADV PUNCT AUX ADJ VERB DET NOUN ADJ PUNCT 
81,Can I borrow your notebook?,¿Me prestas tu cuaderno?,VERB PRON VERB DET NOUN PUNCT ,PUNCT PRON VERB DET NOUN PUNCT 
82,Can you give me a ride to Incheon airport?,¿Puede llevarme hasta el aeropuerto de Incheon?,VERB PRON VERB PRON DET NOUN ADP PROPN NOUN PUNCT ,PUNCT AUX ADJ ADP DET NOUN ADP PROPN PUNCT 
83,March 1 is a national holiday in Korea.,El 1 de marzo es feriado nacional en Corea.,PROPN NUM VERB DET ADJ NOUN ADP PROPN PUNCT ,DET NUM ADP NOUN AUX VERB ADJ ADP PROPN PUNCT 
84,What lesson are we on today?,¿Qué lección nos toca hoy?,DET NOUN VERB PRON ADP NOUN PUNCT ,PUNCT DET NOUN PRON VERB ADV PUNCT 
